preds,trues
393.11212,283.75
565.25214,645.4375
424.70624,376.75006
352.26862,378.8125
679.0955,1130.9375
717.74506,799.5625
449.54016,534.0
459.6729,379.50006
600.492,592.00006
859.4348,659.125
724.0079,142.84375
1249.9841,839.06256
743.24445,647.875
1659.3525,1789.375
1372.2217,1184.9375
1465.37,1350.4062
1327.4563,1691.5
1616.4067,1707.625
1241.3307,899.5625
878.088,1068.6875
883.6103,977.8125
1417.6864,2125.9688
2342.4348,2930.1875
2358.2366,2385.625
2223.5425,2436.6875
2400.0586,2013.4375
2125.1294,2151.5
1036.9619,1686.625
1445.7153,1177.75
1109.9983,1502.8125
327.84668,249.15625
350.35785,481.5
610.0354,424.9375
510.43683,429.62506
1392.494,1171.4375
512.5962,489.25006
1242.4944,1577.9688
1221.4746,767.43756
677.56586,873.6875
888.34436,616.4375
467.87402,348.75006
329.91193,284.125
355.57867,297.0
228.44153,272.5625
307.27905,273.9375
347.06573,359.59375
380.13885,399.0625
607.32825,1173.5625
1101.41,957.5625
534.29663,640.9375
436.57117,472.06256
817.9529,690.50006
539.2026,0.6876221
838.6369,715.00006
1023.64154,1280.5
872.8367,452.25006
741.23926,1632.125
2056.282,1773.3125
580.4105,1143.5
1305.9121,769.87506
1193.1294,1564.3125
1055.2881,1243.5
1061.1423,807.31256
116.31372,27.9375
85.82263,137.625
40.879517,179.5625
12.480225,0.34375
11.752563,0.0
11.711792,0.0
11.709717,0.0
11.709595,0.0
15.111694,10.8125
27.90979,0.0
261.0652,532.56256
540.9588,388.25006
347.0343,31.375122
6397.528,6763.4375
4410.5044,3473.25
4947.795,7457.625
5121.894,4418.625
3997.6318,2997.25
5334.1826,3729.125
3659.0566,3511.6875
2861.901,3313.9062
2937.7166,3160.4688
3150.6714,2814.125
2132.1948,2477.875
1614.3704,2132.25
2785.1262,2869.375
2572.8748,1985.125
806.40375,1777.0938
1047.7609,1808.9375
880.1886,1088.9375
476.19293,227.125
256.16846,231.3125
626.1745,525.56256
278.26636,191.4375
373.7019,294.875
256.44116,412.37506
1026.208,503.25006
854.94525,1126.75
347.81653,289.3125
324.359,214.5
187.11023,189.3125
231.42029,180.25
226.29553,140.4375
