preds,trues
1003.7075,789.125
2440.4556,1525.125
1825.0393,1202.1875
1074.9683,1490.875
4289.416,5102.625
2310.2917,2252.1875
2689.6597,3202.75
2338.15,1256.0625
911.7235,824.0625
1675.917,1890.6875
1191.7227,742.9375
907.2684,477.625
708.08203,858.3125
1168.5515,1477.625
1723.668,2345.0625
1725.8512,1409.875
1559.738,1055.375
781.78577,443.8125
599.55505,516.5
661.5673,789.81256
1393.529,1032.625
1087.2344,1168.0
1498.6372,1672.6875
821.59454,594.8125
887.8101,903.0625
562.7484,637.4375
895.53577,868.09375
1737.5847,1459.125
833.6363,710.84375
721.2113,586.4063
494.41302,503.25006
621.1128,530.84375
599.6716,437.875
741.8389,856.9375
546.1267,398.75
601.0164,565.46875
974.0475,1120.375
1207.4584,971.5
222.99182,185.125
233.23706,895.25
893.1356,847.84375
584.2461,396.65625
696.0786,1520.2188
811.85126,688.4375
942.2452,1241.75
1173.3557,874.40625
623.3318,452.5625
464.8069,278.15637
604.00525,505.6563
546.3405,348.37506
1152.5659,781.375
438.11023,407.40625
734.5513,696.8125
566.0564,554.25
491.38055,408.12506
784.8873,694.75
577.4306,376.0
579.79596,704.50006
1012.81433,1332.25
1239.0591,1170.0625
1599.7941,2082.25
608.6696,360.62506
734.22205,915.625
720.8584,981.3125
1431.9852,1295.9375
501.13354,384.37506
1123.364,916.3125
1360.6371,1400.0625
2945.751,2448.2188
3096.8567,3057.0312
3407.7666,3588.9688
3223.8882,5171.875
1927.7631,1558.6875
1992.9995,2433.625
2199.7085,1536.6562
1020.1637,888.3125
1373.7439,1377.0
1555.9124,1490.1875
1201.4714,1174.9375
1399.9979,929.625
847.8068,942.875
1386.0519,1215.75
1021.0221,1313.375
445.7456,408.12506
445.0138,503.18756
821.43695,1169.375
1090.1525,947.75
694.2068,794.0
931.33276,945.0
988.89557,1020.4375
982.59894,453.75006
574.1844,1130.1875
695.05585,452.18756
654.6093,784.25
780.42834,840.8125
1138.3265,1187.5625
844.6854,891.875
1117.47,1290.3125
1438.2078,1546.125
959.35394,1077.8125
391.30817,386.50006
1209.8563,1616.0
1412.3251,1300.75
1912.3958,1638.4375
1452.6519,1925.6875
1934.3467,1989.3125
570.80164,596.87506
1218.0625,1165.125
1022.251,1004.40625
1031.9554,1091.8125
1026.4841,877.34375
391.68365,533.21875
608.87,606.2813
555.9506,566.84375
392.2602,96.40625
93.72754,17.0625
408.70844,274.96887
476.7558,255.0625
789.60504,849.4375
1311.5771,1531.4375
1625.2778,1323.875
1369.4053,1435.0
1262.4811,1490.1875
1017.1255,1141.375
934.63025,1090.375
913.56384,378.75
582.5688,698.25
388.52576,199.1875
1242.3,1047.7188
497.04816,523.46875
312.29065,219.0625
839.4245,468.96875
705.97656,840.8125
510.37982,348.0
385.8202,455.6875
565.8357,578.00006
243.69824,239.0
205.67395,309.0
185.03296,156.5
227.6001,133.4375
333.94476,441.0
324.8496,308.9375
219.97461,46.03125
180.20386,12.562622
398.2851,256.8125
349.8034,326.375
198.2384,149.5625
436.5725,409.56256
526.1058,413.7813
297.62256,169.40637
164.35657,91.18762
204.0763,427.75
137.23816,144.75
128.89734,110.375
71.552734,81.6875
94.56824,238.3125
163.01135,142.875
100.80188,78.875
132.6947,91.5
215.4209,190.0625
125.92822,75.4375
145.98633,133.4375
54.586426,25.0625
37.768066,63.5625
46.264282,55.125122
28.633545,35.5625
57.34265,58.625
141.94763,37.6875
168.62427,60.000122
249.00537,195.00012
230.422,121.0625
263.36755,452.18756
525.7517,706.62506
602.95386,327.0625
1504.9807,1207.125
1324.5897,1237.1875
1157.0245,830.3125
1119.4766,791.1875
554.70044,476.625
430.09998,224.28125
242.99805,348.6875
340.989,269.75
303.95996,255.81262
430.41357,208.1875
193.10474,116.0
367.57904,236.1875
165.91101,108.25
172.03845,183.4375
337.64764,102.0
236.06897,273.25
535.491,459.18756
324.26965,498.43756
187.28967,260.0
264.87793,269.75
601.6598,290.75
457.33325,283.75
375.96484,421.43756
349.3844,436.8125
292.34045,206.1875
299.2942,276.0625
195.8855,475.25006
154.39612,929.5625
255.77649,90.06262
402.5534,218.375
201.69629,22.34375
192.46558,85.25012
318.9148,568.9375
465.91022,1080.625
1208.664,1762.8125
2281.35,2719.75
2237.6733,1762.8125
1979.067,1732.75
2017.5063,2018.625
2715.0498,2997.9375
2729.4558,3092.2812
2324.4304,2353.9688
1803.0382,939.375
487.00104,865.28125
492.61542,457.8125
352.8725,518.625
435.73468,316.5625
252.45374,220.81262
240.224,187.3125
243.00793,299.8125
361.50427,340.375
347.93707,464.06256
491.3031,311.6875
653.3826,696.875
617.32495,437.5
712.23486,575.87506
534.3058,675.0
600.6776,743.00006
808.5981,501.8125
325.6505,139.75
449.97394,1760.75
1713.3103,1451.0625
1019.68243,988.3125
806.20715,168.09375
444.39478,0.34375
261.8192,292.875
216.20325,292.8125
341.74524,210.3125
238.27124,308.1875
357.6115,1010.0
800.97534,420.75
327.1029,496.25006
579.29956,566.125
792.3744,652.06256
677.98145,594.75006
734.8856,629.75
718.27704,730.375
567.18494,682.93756
1108.8217,1248.375
1278.9784,1311.9375
838.7567,534.68756
248.5625,180.9375
216.70825,223.625
377.2188,202.00012
30.523071,0.0
13.971191,0.0
50.29138,0.0
10.357422,0.0
11.075439,4.125
12.185547,1.71875
640.6839,591.65625
833.7905,763.93756
1153.3646,3516.625
1958.2108,2203.1875
1376.1794,1036.5625
1738.5034,1873.25
1739.1404,1952.25
1950.1594,1953.6875
1864.0911,1877.4375
2112.7246,1906.0625
1746.5076,2093.4375
2258.583,2007.5
1574.4762,1469.25
1763.8994,1760.0625
2641.5127,1130.25
1110.5266,1123.9375
1798.6101,1769.125
1879.0146,1705.5
1930.4313,2091.3125
1598.5995,1439.1875
1388.5085,1585.9375
2007.0334,1402.8125
1424.1221,1510.8438
1266.9137,1062.4688
1985.011,2457.625
2374.4038,2247.9375
2005.3114,1734.6875
1733.596,1213.4375
1481.628,1292.75
1740.3525,2220.2812
2342.939,2329.3125
1793.6545,1950.1562
1955.94,1686.9688
5026.9053,4630.8125
1397.6543,988.3125
2464.2363,1919.375
839.8725,339.0
364.33545,264.8125
489.78162,497.9375
721.56494,473.12506
585.44293,423.9063
494.2574,497.62506
1518.6707,2786.1875
1427.3914,1503.5
2100.0066,1579.0
1694.547,1013.5
1160.7764,979.9375
1196.06,638.25
1420.9956,1222.5
809.9505,759.75
1895.5367,2548.875
817.428,320.40625
687.8045,760.40625
814.77313,1592.25
3503.0742,2533.8125
2979.644,3585.75
3210.5493,4727.25
1758.844,1393.0625
1638.0616,2770.8125
2736.8264,2487.0
2701.3794,4011.5
5189.958,2434.125
5324.379,4851.6875
6512.553,6222.4375
4066.67,4938.375
4280.2925,3630.5625
2286.96,2705.0625
1410.0181,2618.4375
4403.529,3454.375
5426.427,6249.6875
5371.0396,5030.0
2422.2173,3026.625
7879.853,7161.1875
6605.251,4418.3438
1120.1176,460.21875
552.3829,257.875
543.2923,610.87506
921.3511,551.43756
992.2279,627.25006
585.6592,350.8125
2037.2185,1077.8125
1747.597,2367.7812
5128.193,5435.6875
3486.978,1820.125
7152.8,9130.3125
6170.9897,7778.4375
6033.5845,6945.1875
4750.7383,4741.9375
4011.3423,6599.8438
5168.789,6216.875
4059.1914,6218.8125
4963.778,4470.0625
2516.0034,1758.625
2531.9565,1725.0625
3622.3125,3371.875
3859.4688,2156.375
3231.131,4177.875
1312.4479,1372.8125
1668.9191,2008.8125
1225.6289,2550.9062
1284.2252,1176.375
1235.2852,754.125
1146.5728,1118.3125
112.6637,414.62506
1936.6631,2062.0
1567.5374,1390.25
2709.2388,1859.9375
1630.2048,2225.9375
3597.3306,3172.375
5459.528,6582.7188
6753.6343,7199.625
2356.7568,3346.0625
3720.294,2695.9375
5056.043,7569.375
6224.8286,4035.5
4171.347,5033.4062
3804.8242,2034.3438
1779.8806,2182.875
4459.3623,3731.9375
3550.3945,3664.125
2548.7417,3722.8125
2206.4368,1195.1875
702.92865,590.5625
289.7838,499.0625
363.59204,382.9375
1389.065,849.25
2566.8271,1151.875
4393.451,3439.6875
1896.1104,1976.6875
2583.7163,2358.375
4250.3027,4009.4375
4424.7173,1901.875
5574.432,5523.4375
3958.3848,2968.5625
1388.1377,1399.3125
533.0597,381.62506
221.44531,95.6875
295.48145,99.9375
324.36572,298.25
467.31165,456.37506
842.7831,967.3125
1306.5306,1300.0625
1389.2183,1028.875
1406.9609,2361.1875
1820.5071,2085.0625
2626.9678,2215.0625
2438.5347,2458.375
3227.3103,3007.75
2647.1997,2886.8125
2392.6672,2631.6875
1548.9131,980.625
935.2483,895.375
734.1989,324.25
1089.2876,1260.9375
916.2823,1063.8125
2064.1965,1197.3125
1687.0518,1873.25
1986.1821,1685.875
1202.885,1309.875
710.93243,606.00006
892.0171,831.0625
149.52661,0.0
362.69635,464.8125
421.93494,405.37506
307.42493,340.375
229.58643,220.125
211.92896,269.0625
289.90515,330.3125
386.06952,285.125
243.72632,232.68762
169.11829,155.78125
59.248047,0.0
134.6206,139.00012
103.76172,130.625
166.97607,286.50012
182.8346,156.5
309.77515,295.62512
215.10156,200.15637
90.131226,5.5
12.2491455,0.0
10.606201,0.0
11.581909,0.0
27.097168,0.5
265.88293,4010.125
7779.9175,8366.25
9510.434,10621.249
8254.68,10177.374
9813.762,11843.125
9061.502,11678.124
8786.178,8013.25
6350.0425,6237.625
9312.467,11541.125
10748.743,11991.937
9683.629,10481.4375
7022.3364,5590.5
3964.9878,4071.625
3860.2378,3231.75
7408.0645,9172.187
2947.9849,4912.5
3646.331,3861.9375
5898.4565,5084.5
3548.4492,3882.875
2821.1611,3562.0625
7012.3774,8088.7812
2102.6233,2898.0
1699.2098,1541.9375
3453.6357,4075.0625
2403.276,3417.3125
3441.1401,3765.5
3826.581,4510.5625
8486.978,9620.999
5474.5757,3418.75
7464.059,8098.5625
5292.741,4049.25
6412.402,5661.8125
5892.932,4931.75
1565.977,1564.2812
1520.2947,1372.75
2211.5935,2643.5625
2080.4033,2165.4375
1990.0901,2579.9375
3638.2412,0.0
5105.061,4839.8125
4090.581,4219.4688
3578.8472,3575.6562
3356.1345,2816.2188
2053.7463,4784.5938
2317.3425,1966.5625
1738.797,1440.1875
774.91943,722.6875
8022.2134,10021.499
6859.667,5698.5625
3724.8086,1499.25
2174.3242,2786.9062
6901.1206,3830.7812
1267.8741,1122.5
2574.3042,4307.125
1329.0468,1309.875
5934.56,8197.0625
7810.3413,8431.1875
7738.8784,6984.3125
5780.6577,10544.375
8777.007,9897.187
10891.369,12430.375
5813.314,6012.9375
2189.6206,1908.9375
1140.2532,1057.2188
2409.963,1845.3125
2499.0444,4121.1875
5429.8384,7330.375
6757.403,5976.7812
6238.336,4608.9375
3220.7197,3784.3125
4770.238,3273.0
2707.2473,3859.4375
7304.378,5461.25
5420.1367,8162.125
8283.727,7221.3125
5875.917,4963.2188
6979.028,7095.4375
4474.2188,3641.0
4602.9463,5478.0
3477.1758,1865.5625
2319.533,2208.75
3503.42,4791.5625
6454.953,7615.5625
5914.4014,5875.0625
4957.303,4660.1875
5286.5107,4837.0
5377.1475,5072.5625
4436.641,4060.4375
1851.6567,1799.875
589.8741,2117.9375
814.34,788.43756
661.83234,550.75
794.7053,547.25
1072.8958,806.5625
2581.4775,1995.5625
2718.6692,2322.0
1605.0334,1288.1875
1610.585,2217.875
2693.3093,3042.6875
1849.0364,1236.5
1831.6561,2058.5
2102.0156,2825.25
1601.0016,1753.0625
1699.2439,1546.8125
1265.8542,993.9375
2328.5808,2309.4375
1956.5161,1983.0
1699.531,1619.5
2142.2942,2350.6875
2453.963,1914.5
2418.911,2511.125
672.2173,329.125
1334.6116,1471.3125
826.5699,852.75
546.72217,188.6875
290.88916,227.125
283.44556,269.5
340.93756,484.37506
247.2074,234.81262
1476.9739,1695.0
3403.4985,3809.5
5160.43,2619.75
596.08746,160.75
222.0221,68.4375
1942.4282,1835.5625
1653.541,1834.125
1691.4866,1450.375
1591.7491,1499.3125
2103.366,1447.5625
2086.851,1760.4062
1589.9341,1694.2812
2195.2478,2048.0
2121.4563,1871.5312
1189.7191,1963.125
1171.9962,1132.3125
1926.4089,1973.9375
1867.47,1583.875
1849.8013,1575.5
1214.6683,1188.9375
1516.118,1075.0
1701.0281,1624.375
1746.6505,1514.6875
1295.155,1533.5625
2019.9594,1891.125
2036.3574,2177.3438
2120.644,2804.2812
2969.849,2582.75
2635.1565,2799.8125
2055.9878,2162.3125
2991.6245,2809.25
1705.0435,1362.2812
1505.6841,1710.3438
2134.186,2208.8125
3101.9333,3251.8125
2632.5483,1963.0625
4090.4653,3414.625
3123.4575,2754.6875
1616.2515,1263.0
1153.8668,0.0
657.1763,879.25
1910.7202,3610.9375
3148.8315,3491.4375
2461.7334,2217.875
4579.8047,5463.3125
2967.233,2112.3125
3866.396,4161.0625
2901.2695,3326.5
1611.8694,2099.6875
3006.315,4145.6875
2778.4897,4920.875
3878.2432,2511.4375
2390.0479,1613.9375
2596.295,1920.0625
2185.3054,2345.8125
2419.0369,2607.4375
2723.0117,2556.875
2871.893,2048.6875
1556.3397,1875.375
1873.1888,661.18756
1987.554,2425.5
2078.0562,2940.625
1869.6084,557.06256
1831.9087,2563.5625
2194.7446,2902.1875
2520.564,1468.5
2260.917,2097.625
3694.6074,3584.375
4939.573,5426.5
6483.9644,6892.4375
5832.951,4744.0625
3056.4988,2911.9375
2164.4443,1923.5625
2083.4019,3115.375
2565.463,2623.9375
2630.5908,2658.25
2221.5679,2415.625
1967.1356,1563.625
1419.6853,1062.4375
3828.2246,5332.625
3971.1714,2411.5
2713.9646,1731.3125
1698.2795,1431.5
2405.358,2449.2812
3845.625,2809.875
2560.9595,2927.3125
3343.2485,2543.625
5098.806,4684.625
2560.7617,2196.1875
1896.6724,2177.375
2043.6852,1618.8438
2151.3262,2377.4688
1918.6509,1101.9062
1303.5231,1359.1562
1128.8708,824.75006
1718.749,1641.1875
1838.5183,1787.25
1623.9801,2006.0625
1756.0203,1156.0625
862.1295,612.3125
1427.5172,1179.1875
1134.4365,2506.5
3026.3887,2212.25
1499.5703,1340.2812
421.50244,316.21875
1192.4685,1485.3125
2602.2124,4446.3125
2969.8213,1209.25
1497.8616,1346.1875
1639.1229,2083.625
2693.598,2445.0625
4304.823,2967.875
2552.4526,2018.625
4579.136,3799.6875
2290.3267,2227.625
5434.375,4004.0625
1861.5093,1902.625
2446.1924,2000.4375
1731.2872,2016.5625
4264.2275,3176.4375
3053.4985,2812.75
2634.5723,2519.1875
3341.5063,3154.5
2502.4092,2355.25
4228.473,5189.2812
870.6006,309.90637
1075.4362,1862.0625
1995.9022,2168.9375
1441.3607,1245.5625
1675.0957,1644.6875
2082.5996,1595.75
1214.3733,1012.0625
1219.8363,670.25
1272.0564,1188.9375
2977.7163,3454.4375
3991.294,2390.5
2431.6675,1614.625
3185.2637,1098.75
802.41925,320.0625
734.1044,1702.0
646.59033,601.0625
1496.797,1243.4375
1529.843,1511.875
5455.1895,4901.312
6416.389,2874.25
5097.882,4836.3125
1479.2198,1073.625
2153.3416,2595.5625
2361.118,2027.0625
2135.3516,2610.75
2139.7625,1877.5
1909.7012,1948.75
3051.0835,3894.75
2120.8828,2649.125
1452.3207,0.6876221
2716.9907,2872.125
1846.7834,687.75
1741.7642,2741.4375
2347.5354,2484.1875
3374.1147,2175.25
3040.6265,2819.0625
2136.8787,1995.625
1521.3008,1624.4375
1558.2611,1872.5625
2369.2732,2574.375
2020.4065,2057.8125
2452.173,3230.0
2330.044,2073.8125
1923.4045,1618.8125
1910.4072,1472.75
1450.8579,1524.1562
1502.0986,1598.9062
2291.288,2647.75
1227.8214,1622.3125
935.90454,2116.5
5339.4727,4131.9375
3080.4263,2598.125
2232.6675,1955.75
1602.4152,1950.8125
2525.8374,3368.4375
2972.9563,2568.0625
1887.519,2245.125
4361.608,3146.8125
3311.8418,3564.1875
2936.2456,2858.8125
2037.8381,3005.625
4005.085,3480.3125
2850.7656,2970.0
3094.935,2524.0
2548.972,2665.1875
1894.2023,2198.3125
4159.9526,4916.0
4295.41,4002.375
2274.4792,1778.875
4353.811,4330.9375
2603.9785,5972.875
2057.4263,2449.9375
3761.999,3052.4375
3139.5977,3019.6562
2496.1284,2359.7812
1470.1895,1195.2812
1028.5203,372.1875
1507.1156,885.125
2377.962,1878.125
4451.3013,3554.6562
2154.159,1627.875
1951.523,2033.375
1797.5845,2054.3438
1709.3774,1581.8125
2222.33,3067.125
2793.666,2777.75
2366.5044,1959.2812
2224.4653,2829.5
2847.8228,2872.5312
2312.0752,2569.4688
2421.7986,2867.25
3899.983,3070.625
1668.1836,1294.8438
1724.5004,2236.0625
2691.1694,3227.25
2601.4604,2919.9688
2134.1465,2104.625
2861.7393,4082.125
2916.7266,2902.1875
2705.8477,3072.0312
1566.414,2697.7188
1795.6133,1280.9062
1476.5242,2304.5312
2149.5103,2751.5625
1465.6261,1523.0312
1792.3202,2504.7812
2183.683,2761.6875
3279.999,2406.5625
2061.3223,2543.625
2520.6167,3231.4375
2837.4595,2749.8125
2488.0806,2326.1875
2278.4478,2360.75
1845.237,2016.5625
1157.9434,958.25
1097.1951,1250.4375
1246.9265,1307.0625
1914.1855,1891.4375
2634.0474,2873.5
3800.6675,3955.5625
2652.4915,1823.625
1554.713,1927.0625
2712.4175,2205.25
2767.0996,3058.75
2050.2031,529.8125
699.72705,515.125
715.1281,631.81256
313.3103,315.9375
1290.1255,682.8125
638.4315,509.875
74.187256,174.4375
3051.497,1862.0625
1494.4363,25.8125
116.04529,11.8125
349.98962,396.31256
209.844,0.0
131.44019,6.9375
63.055664,48.125122
107.31763,78.25012
315.9071,194.375
29.207153,0.0
565.8231,837.0
242.5896,742.3125
295.45312,9.0625
25.859009,0.0
12.562378,286.50012
145.35596,25.8125
58.73047,90.12512
17.098267,0.0
42.525024,32.125
40.47937,9.6875
13.203613,51.0
