preds,trues
392.93237,283.75
565.158,645.4375
423.7558,376.75006
352.9041,378.8125
677.023,1130.9375
713.8053,799.5625
448.03815,534.0
458.28076,379.50006
598.0169,592.00006
853.9487,659.125
719.2327,142.84375
1243.1487,839.06256
736.3841,647.875
1645.5328,1789.375
1358.0592,1184.9375
1450.3055,1350.4062
1314.7592,1691.5
1599.6509,1707.625
1229.0939,899.5625
870.82776,1068.6875
877.04913,977.8125
1403.1099,2125.9688
2317.7866,2930.1875
2329.192,2385.625
2197.1736,2436.6875
2371.4092,2013.4375
2101.0,2151.5
1023.4568,1686.625
1432.3087,1177.75
1100.8132,1502.8125
326.05286,249.15625
350.58923,481.5
607.7536,424.9375
508.13855,429.62506
1381.8585,1171.4375
508.70386,489.25006
1233.1022,1577.9688
1209.1926,767.43756
670.784,873.6875
878.59937,616.4375
463.39764,348.75006
327.76453,284.125
353.28375,297.0
227.35449,272.5625
305.5121,273.9375
344.60767,359.59375
377.22992,399.0625
602.18335,1173.5625
1090.6876,957.5625
529.0164,640.9375
433.84552,472.06256
812.25165,690.50006
535.6509,0.6876221
833.42224,715.00006
1015.78577,1280.5
864.11194,452.25006
735.0706,1632.125
2034.5671,1773.3125
575.9078,1143.5
1296.844,769.87506
1185.2913,1564.3125
1046.176,1243.5
1054.9786,807.31256
119.65796,27.9375
91.09009,137.625
46.615234,179.5625
20.037476,0.34375
19.341187,0.0
19.301514,0.0
19.299316,0.0
19.299194,0.0
22.353027,10.8125
30.834473,0.0
259.80017,532.56256
538.4393,388.25006
351.0551,31.375122
6313.879,6763.4375
4336.2896,3473.25
4877.5947,7457.625
5031.774,4418.625
3929.749,2997.25
5260.217,3729.125
3602.3745,3511.6875
2825.11,3313.9062
2902.1707,3160.4688
3112.6362,2814.125
2109.082,2477.875
1595.6946,2132.25
2752.12,2869.375
2543.9146,1985.125
796.1563,1777.0938
1035.6965,1808.9375
869.376,1088.9375
470.95892,227.125
255.62292,231.3125
620.07184,525.56256
276.41577,191.4375
372.114,294.875
256.1477,412.37506
1016.35986,503.25006
847.2099,1126.75
344.08167,289.3125
322.33435,214.5
185.83203,189.3125
229.91943,180.25
224.85706,140.4375
