preds,trues
993.3191,789.125
2425.2905,1525.125
1816.0969,1202.1875
1063.572,1490.875
4248.1523,5102.625
2285.4895,2252.1875
2658.9602,3202.75
2305.939,1256.0625
905.63965,824.0625
1663.88,1890.6875
1173.5598,742.9375
899.6781,477.625
703.26776,858.3125
1155.5492,1477.625
1702.4941,2345.0625
1701.1758,1409.875
1544.044,1055.375
771.7534,443.8125
592.74817,516.5
651.3185,789.81256
1376.3668,1032.625
1071.1548,1168.0
1478.1621,1672.6875
808.5486,594.8125
876.6553,903.0625
553.3899,637.4375
884.2013,868.09375
1719.3826,1459.125
818.9367,710.84375
710.996,586.4063
486.46533,503.25006
609.7884,530.84375
591.7693,437.875
730.5357,856.9375
535.5493,398.75
591.52246,565.46875
962.1232,1120.375
1190.8837,971.5
217.44592,185.125
227.80933,895.25
880.0604,847.84375
574.5803,396.65625
687.19214,1520.2188
798.5356,688.4375
929.7313,1241.75
1158.0347,874.40625
612.7232,452.5625
457.06525,278.15637
594.4106,505.6563
535.73444,348.37506
1138.5737,781.375
428.68622,407.40625
723.5731,696.8125
555.8325,554.25
481.5086,408.12506
772.7861,694.75
568.3205,376.0
571.86005,704.50006
1000.1517,1332.25
1223.9457,1170.0625
1581.0042,2082.25
597.157,360.62506
723.012,915.625
707.8351,981.3125
1410.9844,1295.9375
494.27673,384.37506
1114.473,916.3125
1352.4565,1400.0625
2928.4536,2448.2188
3079.33,3057.0312
3382.2344,3588.9688
3189.3044,5171.875
1896.3282,1558.6875
1974.5378,2433.625
2170.3037,1536.6562
1008.72437,888.3125
1363.7622,1377.0
1534.2758,1490.1875
1186.2693,1174.9375
1381.3517,929.625
840.1262,942.875
1376.9216,1215.75
1014.06726,1313.375
446.5025,408.12506
446.6167,503.18756
818.537,1169.375
1080.9766,947.75
689.57965,794.0
924.36646,945.0
981.4032,1020.4375
974.7514,453.75006
572.64264,1130.1875
690.2189,452.18756
651.51056,784.25
774.29395,840.8125
1129.5094,1187.5625
837.8554,891.875
1108.3779,1290.3125
1424.6042,1546.125
949.5138,1077.8125
388.40308,386.50006
1204.3057,1616.0
1397.1462,1300.75
1890.8578,1638.4375
1438.7222,1925.6875
1915.8071,1989.3125
565.3456,596.87506
1206.4202,1165.125
1009.3629,1004.40625
1020.31445,1091.8125
1017.2539,877.34375
388.5902,533.21875
604.13257,606.2813
553.43506,566.84375
390.5113,96.40625
95.86328,17.0625
408.48334,274.96887
476.94043,255.0625
785.4507,849.4375
1301.4789,1531.4375
1608.0726,1323.875
1356.7754,1435.0
1250.9856,1490.1875
1008.6073,1141.375
925.55505,1090.375
902.6687,378.75
580.031,698.25
385.97455,199.1875
1231.4977,1047.7188
492.4472,523.46875
310.359,219.0625
834.029,468.96875
700.99805,840.8125
505.56146,348.0
383.75232,455.6875
561.42786,578.00006
242.20679,239.0
205.67236,309.0
184.21777,156.5
225.89307,133.4375
331.641,441.0
321.9264,308.9375
218.81543,46.03125
179.52417,12.562622
396.5592,256.8125
347.95355,326.375
197.88013,149.5625
434.57617,409.56256
521.6591,413.7813
295.91614,169.40637
164.10974,91.18762
203.84021,427.75
137.73291,144.75
129.6908,110.375
73.723145,81.6875
96.878784,238.3125
164.27197,142.875
102.634766,78.875
134.13452,91.5
216.05518,190.0625
127.362305,75.4375
147.61475,133.4375
57.59912,25.0625
41.883057,63.5625
50.26831,55.125122
32.591797,35.5625
60.709595,58.625
144.78271,37.6875
171.22058,60.000122
250.28601,195.00012
231.2262,121.0625
262.88757,452.18756
521.9632,706.62506
597.95636,327.0625
1491.5554,1207.125
1312.1165,1237.1875
1144.1953,830.3125
1107.5128,791.1875
549.4389,476.625
426.78613,224.28125
242.10876,348.6875
338.62122,269.75
301.927,255.81262
426.10156,208.1875
191.599,116.0
364.52295,236.1875
164.86499,108.25
171.32068,183.4375
335.85205,102.0
