preds,trues
210.86475,153.6875
3691.7812,3538.3125
2779.3494,2256.3125
2102.1426,1713.875
3921.3936,4362.4375
2401.0115,2806.4375
3833.54,4529.5
3290.0806,5487.8125
3691.3862,4783.5
3947.2646,3658.5
1906.4027,1501.375
2519.212,2961.5625
1904.6924,3603.3125
2614.3252,1897.0
3328.0347,2935.75
3968.7632,3520.75
2729.6929,2642.8125
2451.734,1378.375
2790.2603,2584.125
2552.704,2456.9375
2375.0781,2706.5
2038.7798,1121.8125
1802.775,2373.75
2148.7832,2080.875
1528.2583,1795.0
1547.4718,1651.6875
1526.5479,1636.3125
1395.04,940.125
801.6094,672.375
1409.2006,892.5625
716.7331,660.5
538.3962,596.87506
558.66864,340.375
363.4453,380.875
288.65552,264.875
392.8316,422.8125
1039.0525,713.62506
1193.8151,1585.9375
1337.2427,1076.375
681.6018,542.56256
995.50995,789.81256
736.6419,814.25006
786.12036,747.875
1024.7843,1260.875
1098.7952,1216.25
931.82654,713.62506
1282.6918,1429.375
1242.7216,1261.625
1072.447,840.12506
385.52777,885.5625
181.04602,0.0
553.5927,397.0
259.55115,1838.3125
216.93933,303.3125
338.17786,299.125
354.78528,448.75
749.91345,237.625
846.9259,451.5
270.0559,299.8125
246.03284,222.25
256.4082,113.875
153.12329,104.8125
173.11658,205.4375
164.18042,407.50006
410.90027,464.06256
180.53552,150.87512
229.46252,157.87512
167.45532,95.0
237.91858,106.18762
438.4121,277.4375
189.44507,2.0625
200.11414,212.4375
222.46667,113.18762
627.4114,596.9375
245.66174,223.50012
240.90955,204.75012
360.15417,117.375
359.9397,266.96875
430.35956,107.625
502.23108,269.75
253.06946,252.9375
390.23822,330.56256
425.92615,321.50012
359.3661,278.875
405.98047,283.40625
361.50323,264.125
327.8844,290.0
187.34595,37.6875
115.73193,137.0
176.16016,130.625
163.67712,133.40637
160.34985,123.6875
140.66345,135.5625
164.96692,124.3125
207.27112,62.125122
268.69592,118.06262
346.16394,454.93756
228.20312,124.3125
132.21558,41.875
