preds,trues
178.11584,167.00012
166.7583,170.5
220.49036,202.625
67.031494,223.625
232.27869,138.3125
167.23389,215.875
137.74756,83.12512
169.09412,164.87512
182.36914,106.18762
806.037,685.3125
792.05927,437.15625
639.3483,473.15625
433.86066,357.0938
722.6399,1154.375
761.8119,962.78125
1288.0731,1802.3125
537.3072,622.75
627.05963,455.6875
430.19055,363.43756
382.86304,293.50012
685.3162,1033.75
351.38562,383.0
334.38824,271.1875
377.22266,401.1875
474.9035,368.31256
435.766,380.1875
1138.376,1211.25
535.4319,1005.75
661.9834,1065.875
562.7878,388.56256
299.04468,192.125
343.6955,239.75
478.24048,438.9375
430.77094,321.50012
377.28546,359.25
541.6831,683.5625
797.6044,475.93756
465.00903,378.8125
313.6764,170.5
275.73767,269.75
361.50012,364.125
325.2268,391.37506
628.0081,443.06256
320.6151,243.93762
364.50885,290.75
457.78534,588.50006
715.6062,963.125
497.1745,863.875
599.0146,379.46875
529.4392,489.96875
553.9685,370.75
625.31244,964.1875
675.4592,378.50006
395.08264,437.875
428.22845,300.125
384.92377,455.31256
359.3625,608.8125
543.0752,443.06256
509.92255,571.87506
366.01868,329.875
419.58496,327.0625
278.86462,357.8125
446.41498,448.0
558.7084,1276.3125
590.90326,694.125
525.32465,473.875
484.27283,495.5
491.17743,1188.25
1179.1888,1092.5
1522.79,1952.25
1285.2401,2113.6875
737.57965,985.5
2212.9111,1959.9375
937.19684,727.5625
1112.5134,1960.625
344.6883,513.03125
441.3208,508.78125
495.31995,1031.0
396.98846,460.21875
534.3388,1134.4062
393.93964,464.43756
626.3392,359.62506
580.1159,467.5625
416.20715,292.59375
420.36273,535.0313
428.16138,144.625
169.84949,184.4375
243.4314,808.6875
224.94629,406.75
503.362,351.56256
494.68567,297.75012
524.3949,370.37506
236.38403,365.56256
394.26172,471.06256
777.1898,677.9375
405.12274,480.25006
416.20807,413.0625
273.1493,348.0625
388.22095,550.75
739.2039,559.875
344.1078,332.0
413.56018,446.625
456.36176,470.37506
331.80255,304.75012
370.8709,498.3125
329.51074,435.43756
301.41797,341.75006
247.35022,271.1875
341.1305,246.34375
298.39832,166.59375
154.02466,125.03125
173.02698,187.59375
465.98157,408.12506
501.38647,583.25
229.51501,473.875
702.6513,668.125
466.96454,606.6875
769.00494,1243.125
367.81696,443.8125
262.9696,283.75
360.3802,277.09387
313.41895,467.87506
298.35266,289.68762
330.6176,391.37506
294.80505,330.56256
621.9089,290.0625
307.84692,333.375
260.7832,203.375
215.00037,284.4375
376.17365,234.125
416.64392,218.0625
300.38757,137.625
235.45569,270.4375
362.95563,327.8125
185.61694,303.625
253.6228,241.78125
349.03668,416.15625
500.39813,555.625
403.53802,455.6875
287.479,243.1875
256.0846,136.93762
253.8424,162.0625
275.57715,320.0625
170.88672,195.00012
206.27063,274.62512
364.43494,311.6875
83.88513,79.625
174.33557,590.5625
733.0809,705.9375
770.07855,700.3125
455.49377,433.31256
368.52325,388.56256
309.67188,320.75
576.58984,675.18756
647.6472,485.68756
639.0567,770.93756
414.50348,383.6875
313.50708,557.75
594.59076,606.625
626.67816,671.0
471.83087,614.37506
724.05835,734.5625
453.69666,583.625
731.43964,720.5625
1113.5098,993.9375
311.19482,251.21887
455.1582,695.8125
296.37793,259.25
341.91278,406.75
337.32123,384.37506
319.28992,350.87506
528.6003,410.375
437.83868,416.9063
419.6277,334.75006
412.19427,471.75
557.9212,399.8125
441.10052,775.875
539.22736,536.37506
498.64386,437.5
784.7925,593.37506
519.2866,450.375
504.43,380.25
691.26324,566.8125
980.69763,1231.5625
679.9484,753.84375
517.47437,627.625
652.8861,732.50006
