preds,trues
167.22925,153.6875
143.30408,0.0
296.7306,267.68762
332.36597,178.5625
112.75171,71.28125
81.73279,0.0
105.374756,69.12512
502.93365,507.4375
407.83582,218.75012
157.51245,240.375
180.01892,383.6875
179.54138,95.6875
91.998535,29.250122
52.608765,41.875
70.825806,37.0
69.04065,93.625
162.11584,204.0
422.5664,396.28125
304.39526,302.96875
239.66235,83.875
189.40833,285.37512
130.55078,155.125
186.7063,127.125
267.24658,236.1875
601.79517,537.43756
434.10333,606.6875
415.66168,481.5
395.94318,308.9375
114.47131,100.625
179.6449,160.00012
316.1471,206.87512
428.70844,408.1875
320.32288,299.125
93.26453,111.8125
110.24817,48.1875
20.490479,0.0
1567.3434,4191.8125
2106.344,50.250122
150.03687,81.0625
69.24463,103.4375
68.449585,51.6875
37.991577,27.1875
65.079346,68.4375
89.69629,40.500122
48.637573,44.625
32.15686,1.375
45.503418,3.437622
49.156128,20.1875
24.009888,0.0
20.047363,0.0
64.41394,51.6875
79.91565,9.6875
56.704468,18.8125
20.205078,2.40625
70.31177,39.875
102.701416,83.9375
58.96118,44.625
51.155884,9.75
20.024048,0.0
19.705566,1.0
19.779297,0.0
19.209473,0.0
19.10852,0.0
19.02478,0.0
19.008667,0.0
18.988647,0.0
18.9906,0.0
18.998657,0.0
18.960327,0.0
17.655151,0.0
72.73657,0.0
19.58667,0.0
20.082397,0.0
19.271118,0.0
18.846436,0.0
19.035645,0.0
149.13782,0.0
39.929565,72.31262
36.346436,28.625
72.01758,113.875
143.4668,153.00012
160.65808,90.06262
104.43518,103.375
114.17517,95.6875
177.42236,55.125122
40.20874,0.0
19.901611,0.125
20.006348,0.0
19.975464,0.0
19.750977,0.0
19.981812,0.0
19.767212,0.0
20.0708,7.59375
20.02124,6.9375
20.44629,5.000122
20.20227,5.1875
20.481201,38.718872
87.52551,203.8125
79.84131,69.56262
37.526367,95.50012
144.01477,255.0625
223.03638,267.0
110.40112,71.21875
23.211914,7.625
20.041138,11.125
34.59839,54.4375
32.31189,18.125
62.6781,25.125
25.0542,19.5
20.462158,19.562622
22.416138,18.125
52.48352,45.375122
77.538086,108.25
95.130005,96.4375
241.29724,220.81262
294.23633,212.4375
122.737915,60.75
152.45471,155.8125
326.61108,263.4375
265.10876,396.9375
497.14276,612.25006
428.4098,378.8125
370.36823,287.9375
227.04028,202.00012
222.4347,285.8125
198.88257,189.375
125.07544,95.75
33.572144,74.75
19.958008,0.0
20.470947,0.0
280.65552,317.9375
451.5326,747.125
451.99475,507.375
505.65393,778.1875
916.8865,343.125
631.69824,268.375
711.1864,548.625
577.7903,726.90625
655.5708,561.87506
579.6643,873.0
1128.0021,1397.2812
563.84424,282.34375
142.92627,318.81262
184.97815,3.125
29.702393,0.0
19.241333,0.0
21.10913,11.125
21.49231,89.375
22.635986,0.0
19.770142,0.0
18.914795,0.0
20.187012,0.0
19.368042,0.0
19.57129,0.0
18.799438,0.0
18.853027,0.0
19.587158,0.0
20.97168,0.0
18.566895,0.0
19.107666,0.0
19.3125,0.0
18.999023,0.0
19.583008,0.0
