preds,trues
209.45508,153.6875
3746.9229,3538.3125
2819.3335,2256.3125
2134.6675,1713.875
3971.4937,4362.4375
2441.4077,2806.4375
3892.4482,4529.5
3341.3618,5487.8125
3759.7783,4783.5
4008.0513,3658.5
1943.4509,1501.375
2554.4526,2961.5625
1939.2375,3603.3125
2659.0269,1897.0
3371.0107,2935.75
4012.584,3520.75
2768.0283,2642.8125
2486.4004,1378.375
2817.1777,2584.125
2581.6562,2456.9375
2405.4795,2706.5
2063.6978,1121.8125
1820.7083,2373.75
2167.796,2080.875
1544.7388,1795.0
1564.7692,1651.6875
1541.8848,1636.3125
1408.1447,940.125
815.1232,672.375
1421.9834,892.5625
723.81635,660.5
544.6446,596.87506
563.7327,340.375
365.64166,380.875
290.18066,264.875
393.23145,422.8125
1044.7742,713.62506
1202.829,1585.9375
1350.9299,1076.375
687.1742,542.56256
1002.3888,789.81256
740.9458,814.25006
790.78406,747.875
1030.485,1260.875
1107.341,1216.25
937.9182,713.62506
1292.7496,1429.375
1251.7247,1261.625
1080.8186,840.12506
387.34534,885.5625
181.32544,0.0
554.8328,397.0
259.70618,1838.3125
217.74866,303.3125
336.68042,299.125
354.5432,448.75
756.9325,237.625
852.91797,451.5
269.5172,299.8125
246.14868,222.25
257.4856,113.875
152.68005,104.8125
171.66968,205.4375
163.29858,407.50006
413.4925,464.06256
181.36719,150.87512
231.29883,157.87512
167.35034,95.0
238.17859,106.18762
439.83588,277.4375
192.07751,2.0625
201.54419,212.4375
224.56775,113.18762
639.7473,596.9375
252.93872,223.50012
249.33997,204.75012
370.4184,117.375
368.4579,266.96875
438.46246,107.625
509.99542,269.75
257.91675,252.9375
394.83447,330.56256
435.32867,321.50012
366.32526,278.875
412.12286,283.40625
367.3363,264.125
333.42523,290.0
190.13745,37.6875
116.785034,137.0
177.89001,130.625
166.14539,133.40637
163.06726,123.6875
142.39355,135.5625
166.02222,124.3125
210.96606,62.125122
272.78284,118.06262
351.40625,454.93756
231.29736,124.3125
132.86328,41.875
100.34363,66.37512
132.0426,99.25012
134.27673,29.312622
158.96399,93.625
116.34119,77.5
109.16382,68.4375
84.539185,20.53125
208.8468,131.25
138.78674,101.31262
127.69214,127.875
177.3667,136.93762
124.15552,44.0
103.74634,32.75
57.709595,32.0625
59.694214,41.125122
86.92334,50.250122
78.72595,39.0625
148.28076,104.40625
148.58826,132.75
177.17517,147.4375
179.41992,130.28125
212.12073,147.40637
217.22327,201.9375
158.83948,120.125
104.66089,51.6875
182.51062,121.5625
130.89783,113.18762
155.34302,61.500122
160.10803,89.4375
187.65149,104.4375
131.14172,163.5
193.97754,185.87512
165.48584,93.625
220.26343,94.31262
136.8811,33.500122
102.747925,155.125
187.42822,69.1875
123.36987,43.9375
81.67859,59.03125
127.41321,26.15625
98.94287,57.65625
111.43555,77.5625
114.29431,85.25012
132.19641,153.00012
153.93262,143.59387
283.55713,235.15637
55.45752,196.4375
241.84973,135.25012
325.69055,52.3125
100.027954,44.625
109.86011,51.656372
148.5553,74.75
143.37866,58.0
158.04663,62.1875
101.39075,81.0
97.97742,76.8125
304.17676,130.6875
319.33484,25.437622
157.50659,190.0625
137.01074,153.6875
134.57202,39.0625
96.74072,100.625
200.46497,219.4375
198.51025,122.93762
196.4779,192.625
383.86676,90.75
453.4156,353.62506
256.46045,173.25
205.48901,118.06262
90.64392,34.1875
73.59241,55.843872
84.75476,129.25
113.51453,204.75012
212.36572,123.0625
143.28821,109.6875
163.0293,113.18762
111.56677,143.5625
103.345215,81.0
266.24207,81.8125
151.72827,90.8125
87.91223,27.9375
73.16687,35.625
56.170532,24.03125
58.36145,50.21875
50.86316,18.125
34.507446,20.875
27.75769,20.9375
39.103394,32.0625
75.16748,41.1875
99.2428,80.3125
105.50281,48.1875
68.85193,18.125
79.68323,38.437622
1855.2002,2483.5625
3033.0952,3296.4375
946.4332,793.31256
1451.5917,963.4375
459.9004,260.62512
1645.0149,1077.125
1046.711,1303.5625
1091.5768,653.5
1734.4727,963.875
2723.9727,2378.625
1729.8344,1591.5625
903.3365,911.4375
551.462,422.12506
427.0177,1272.8125
759.119,709.4375
563.64026,1014.875
914.5294,603.25
1133.3473,575.53125
608.6064,731.5
854.89465,1728.5312
1309.2179,1001.625
881.7571,347.375
326.25378,395.62506
340.9408,221.5
456.4333,464.06256
411.46124,534.0
576.30206,498.3125
279.0304,427.00006
311.01147,880.6875
1662.8412,1239.6562
567.63586,773.0
1304.4989,1362.25
309.16577,323.62512
269.6184,610.125
376.6643,398.37506
261.87463,48.875
509.78387,404.625
471.0102,1223.9062
1039.2787,831.75006
585.1935,267.68762
370.1424,605.25006
471.1068,136.25
193.76746,141.125
490.67725,976.5
1172.7192,1009.3125
889.8973,1320.3125
127.04663,0.0
57.31555,0.0
72.154175,0.0
342.58716,1052.5938
1173.8407,1062.375
956.62476,999.5
951.27795,840.12506
1118.2865,1567.0625
1156.4426,1168.6875
1016.592,1342.0
1686.7766,1685.875
717.8845,691.9375
1254.2811,1012.8125
829.73834,563.5625
637.49646,961.375
912.3865,997.03125
696.9394,794.0
831.7882,928.25
