preds,trues
176.78406,167.00012
165.4989,170.5
219.36768,202.625
65.05676,223.625
230.38123,138.3125
165.35046,215.875
135.23328,83.12512
166.4082,164.87512
180.0426,106.18762
811.42834,685.3125
799.00964,437.15625
644.0368,473.15625
436.22272,357.0938
726.06635,1154.375
770.5564,962.78125
1298.586,1802.3125
542.6131,622.75
632.672,455.6875
434.03503,363.43756
384.9901,293.50012
689.46606,1033.75
353.86536,383.0
335.8932,271.1875
379.05322,401.1875
477.5235,368.31256
438.3805,380.1875
1144.977,1211.25
539.6922,1005.75
666.82214,1065.875
568.87695,388.56256
300.29993,192.125
345.07538,239.75
480.74615,438.9375
432.82684,321.50012
379.26837,359.25
545.13074,683.5625
804.7233,475.93756
469.133,378.8125
315.19397,170.5
276.30212,269.75
363.93622,364.125
327.1958,391.37506
631.43243,443.06256
322.3219,243.93762
365.89398,290.75
460.11,588.50006
720.19916,963.125
501.45502,863.875
603.63684,379.46875
532.5728,489.96875
556.94727,370.75
630.3987,964.1875
681.1461,378.50006
397.14087,437.875
430.43604,300.125
386.89795,455.31256
361.88782,608.8125
547.80505,443.06256
513.9842,571.87506
367.5282,329.875
421.1792,327.0625
280.32605,357.8125
449.25684,448.0
561.9642,1276.3125
597.952,694.125
530.17786,473.875
488.03247,495.5
495.30017,1188.25
1186.8367,1092.5
1534.8082,1952.25
1297.5232,2113.6875
745.25195,985.5
2233.0122,1959.9375
950.52637,727.5625
1121.9817,1960.625
343.45166,513.03125
441.42676,508.78125
495.4397,1031.0
396.67627,460.21875
534.84094,1134.4062
395.9626,464.43756
629.15826,359.62506
584.59296,467.5625
416.65057,292.59375
421.16644,535.0313
429.78522,144.625
167.33313,184.4375
241.66174,808.6875
223.21887,406.75
502.4093,351.56256
494.44135,297.75012
523.5581,370.37506
233.36597,365.56256
392.385,471.06256
778.2257,677.9375
405.02777,480.25006
415.35718,413.0625
270.38525,348.0625
386.44086,550.75
741.59174,559.875
345.29974,332.0
413.49066,446.625
456.53497,470.37506
331.56335,304.75012
370.2356,498.3125
328.0813,435.43756
299.32397,341.75006
245.54175,271.1875
338.78546,246.34375
296.2472,166.59375
150.70288,125.03125
169.71252,187.59375
464.96893,408.12506
500.94562,583.25
227.46802,473.875
703.35004,668.125
466.4397,606.6875
769.69684,1243.125
367.65326,443.8125
260.59595,283.75
358.9018,277.09387
311.14136,467.87506
296.60388,289.68762
329.36768,391.37506
293.37976,330.56256
622.24023,290.0625
306.3944,333.375
260.56445,203.375
213.97375,284.4375
375.29248,234.125
414.87738,218.0625
298.5515,137.625
232.77295,270.4375
362.836,327.8125
183.73657,303.625
252.1283,241.78125
347.10535,416.15625
500.539,555.625
403.10388,455.6875
285.33435,243.1875
252.97424,136.93762
250.43188,162.0625
271.95093,320.0625
166.46802,195.00012
202.02417,274.62512
361.687,311.6875
79.19153,79.625
170.74524,590.5625
734.3408,705.9375
773.325,700.3125
455.53534,433.31256
367.7331,388.56256
307.94067,320.75
576.9159,675.18756
649.2358,485.68756
640.6343,770.93756
415.0611,383.6875
312.03345,557.75
595.498,606.625
628.1472,671.0
472.7373,614.37506
726.3625,734.5625
453.72516,583.625
733.692,720.5625
1119.1034,993.9375
310.89062,251.21887
454.18378,695.8125
300.6239,259.25
346.29535,406.75
342.30396,384.37506
324.0039,350.87506
535.0133,410.375
443.34882,416.9063
424.99792,334.75006
417.4525,471.75
564.3176,399.8125
445.49713,775.875
545.9935,536.37506
505.03113,437.5
792.44275,593.37506
525.75305,450.375
510.5432,380.25
698.8595,566.8125
990.9141,1231.5625
688.4113,753.84375
524.20386,627.625
660.3442,732.50006
