preds,trues
432.0844,283.75
771.80646,645.4375
416.08185,376.75006
394.28137,378.8125
704.5978,1130.9375
782.26404,799.5625
453.43988,534.0
455.88507,379.50006
628.9091,592.00006
767.67334,659.125
708.02484,142.84375
1544.6903,839.06256
549.5617,647.875
1734.6437,1789.375
1154.3633,1184.9375
1350.4049,1350.4062
1454.8069,1691.5
1508.0685,1707.625
1185.73,899.5625
953.0509,1068.6875
975.40857,977.8125
1281.2257,2125.9688
2594.3208,2930.1875
2393.1843,2385.625
2211.8835,2436.6875
2465.7273,2013.4375
2397.554,2151.5
1075.7678,1686.625
1546.6965,1177.75
1070.884,1502.8125
318.05554,249.15625
412.0052,481.5
740.824,424.9375
609.7103,429.62506
1436.1079,1171.4375
499.21576,489.25006
1439.0248,1577.9688
1263.6437,767.43756
715.0925,873.6875
746.6087,616.4375
419.78613,348.75006
358.67505,284.125
352.63934,297.0
234.04675,272.5625
340.2998,273.9375
359.89862,359.59375
429.89502,399.0625
617.9944,1173.5625
1063.4424,957.5625
468.47186,640.9375
407.32477,472.06256
826.43097,690.50006
428.54462,0.6876221
871.1656,715.00006
1177.4868,1280.5
888.7928,452.25006
799.4372,1632.125
2056.7468,1773.3125
615.3072,1143.5
1454.6383,769.87506
1213.6473,1564.3125
933.9664,1243.5
1171.9889,807.31256
123.84766,27.9375
159.99963,137.625
134.86023,179.5625
82.09387,0.34375
42.47937,0.0
55.29431,0.0
55.73462,0.0
50.97168,0.0
38.726685,10.8125
42.64148,0.0
223.86829,532.56256
468.52155,388.25006
218.1449,31.375122
6619.069,6763.4375
4337.672,3473.25
5153.5103,7457.625
4996.7334,4418.625
4066.7837,2997.25
5342.51,3729.125
3936.06,3511.6875
2907.0173,3313.9062
3049.8423,3160.4688
3214.1118,2814.125
2227.1436,2477.875
1799.1248,2132.25
2791.228,2869.375
2644.876,1985.125
933.3783,1777.0938
1028.9193,1808.9375
1014.1604,1088.9375
507.18433,227.125
311.87817,231.3125
625.71515,525.56256
305.32898,191.4375
446.25024,294.875
288.27795,412.37506
995.7584,503.25006
848.6721,1126.75
295.8423,289.3125
275.70337,214.5
174.4989,189.3125
245.43555,180.25
233.5232,140.4375
