preds,trues
1012.3799,789.125
2428.5173,1525.125
1946.5942,1202.1875
891.94855,1490.875
4380.012,5102.625
2373.6748,2252.1875
2685.6958,3202.75
2028.352,1256.0625
982.5387,824.0625
1607.4141,1890.6875
463.59772,742.9375
872.8191,477.625
802.5626,858.3125
1138.591,1477.625
1628.361,2345.0625
1562.7235,1409.875
1580.9956,1055.375
789.55927,443.8125
530.86426,516.5
648.87885,789.81256
1386.9711,1032.625
1059.0924,1168.0
1421.9121,1672.6875
736.25714,594.8125
883.84644,903.0625
514.1589,637.4375
918.5646,868.09375
1744.6068,1459.125
665.23224,710.84375
682.12775,586.4063
493.92535,503.25006
491.86475,530.84375
592.56604,437.875
657.71655,856.9375
476.70337,398.75
604.71686,565.46875
950.06335,1120.375
1129.6086,971.5
165.03345,185.125
219.28052,895.25
860.7368,847.84375
573.76245,396.65625
776.28564,1520.2188
734.6531,688.4375
973.4169,1241.75
1155.9587,874.40625
577.725,452.5625
467.8449,278.15637
563.92163,505.6563
480.40082,348.37506
1048.1304,781.375
315.79468,407.40625
737.10657,696.8125
515.56995,554.25
368.40826,408.12506
742.878,694.75
501.20032,376.0
544.68677,704.50006
1007.46204,1332.25
1199.8196,1170.0625
1552.6481,2082.25
587.7223,360.62506
720.4157,915.625
733.098,981.3125
1331.5786,1295.9375
483.89008,384.37506
1097.1393,916.3125
1355.2289,1400.0625
3068.0215,2448.2188
3211.918,3057.0312
3355.8052,3588.9688
3193.3306,5171.875
1702.3391,1558.6875
2067.4766,2433.625
1995.4294,1536.6562
972.8191,888.3125
1294.3561,1377.0
1444.9048,1490.1875
1144.7549,1174.9375
1301.191,929.625
788.2404,942.875
1329.7098,1215.75
912.8557,1313.375
444.24762,408.12506
553.44275,503.18756
936.0426,1169.375
1071.4825,947.75
683.13275,794.0
946.00525,945.0
1019.04553,1020.4375
924.23474,453.75006
693.1743,1130.1875
738.8562,452.18756
683.13745,784.25
674.03046,840.8125
1255.2412,1187.5625
864.45496,891.875
1126.023,1290.3125
1487.8455,1546.125
894.9785,1077.8125
328.3966,386.50006
1647.4066,1616.0
1303.563,1300.75
1748.3743,1638.4375
1605.9762,1925.6875
2122.2366,1989.3125
730.7625,596.87506
1558.0776,1165.125
1093.4852,1004.40625
1055.2719,1091.8125
1212.3292,877.34375
408.31042,533.21875
567.15173,606.2813
605.16565,566.84375
442.59235,96.40625
123.51819,17.0625
413.9134,274.96887
755.1235,255.0625
847.016,849.4375
1394.995,1531.4375
1316.2952,1323.875
1279.8021,1435.0
1206.4805,1490.1875
1135.0143,1141.375
816.29407,1090.375
438.34625,378.75
637.727,698.25
259.49097,199.1875
1098.8354,1047.7188
322.5487,523.46875
228.35083,219.0625
816.46436,468.96875
612.2378,840.8125
395.89563,348.0
381.87604,455.6875
557.7519,578.00006
179.44434,239.0
191.5459,309.0
205.64185,156.5
229.73328,133.4375
382.7901,441.0
339.5478,308.9375
175.61694,46.03125
98.321045,12.562622
438.77917,256.8125
351.22046,326.375
171.21399,149.5625
444.68964,409.56256
424.57416,413.7813
258.88074,169.40637
