preds,trues
404.68164,283.75
746.13745,645.4375
387.3664,376.75006
363.75067,378.8125
677.4809,1130.9375
758.45306,799.5625
425.79596,534.0
427.62415,379.50006
602.8805,592.00006
743.2412,659.125
681.8836,142.84375
1529.6248,839.06256
528.2415,647.875
1726.9232,1789.375
1157.5721,1184.9375
1345.5989,1350.4062
1453.0553,1691.5
1496.0022,1707.625
1217.2972,899.5625
940.3491,1068.6875
954.8605,977.8125
1266.8052,2125.9688
2588.2769,2930.1875
2402.8396,2385.625
2230.5007,2436.6875
2494.6492,2013.4375
2421.0854,2151.5
1075.5525,1686.625
1564.4048,1177.75
1050.8079,1502.8125
277.6676,249.15625
369.91248,481.5
701.91583,424.9375
571.7337,429.62506
1412.2427,1171.4375
469.27313,489.25006
1427.4982,1577.9688
1257.8943,767.43756
696.56964,873.6875
727.8039,616.4375
391.08295,348.75006
325.78137,284.125
315.6493,297.0
193.55151,272.5625
301.80005,273.9375
323.943,359.59375
397.57867,399.0625
589.9475,1173.5625
1045.0438,957.5625
444.9743,640.9375
382.997,472.06256
807.0359,690.50006
401.70093,0.6876221
845.64575,715.00006
1155.742,1280.5
869.15894,452.25006
777.0749,1632.125
2055.696,1773.3125
609.9224,1143.5
1447.3394,769.87506
1202.7634,1564.3125
920.2663,1243.5
1160.0662,807.31256
86.10156,27.9375
123.68652,137.625
90.79907,179.5625
33.923462,0.34375
0.0,0.0
11.041992,0.0
15.865601,0.0
11.591675,0.0
0.08630371,10.8125
4.341675,0.0
188.44958,532.56256
439.98474,388.25006
186.09106,31.375122
6696.1646,6763.4375
4412.6655,3473.25
5249.3965,7457.625
5084.707,4418.625
4142.6787,2997.25
5437.946,3729.125
3997.4126,3511.6875
2939.8506,3313.9062
3079.456,3160.4688
3106.8225,2814.125
2220.6353,2477.875
1827.48,2132.25
2814.5708,2869.375
2661.0735,1985.125
857.7931,1777.0938
1010.7378,1808.9375
927.3815,1088.9375
467.85114,227.125
261.97437,231.3125
587.0188,525.56256
264.11377,191.4375
404.85602,294.875
247.31787,412.37506
973.1376,503.25006
825.452,1126.75
269.41125,289.3125
249.7622,214.5
143.0979,189.3125
209.56946,180.25
193.34607,140.4375
