preds,trues
1003.63855,789.125
2472.5186,1525.125
1964.3972,1202.1875
852.4941,1490.875
4411.9526,5102.625
2391.9397,2252.1875
2708.7876,3202.75
2056.5532,1256.0625
984.3907,824.0625
1621.9622,1890.6875
449.87292,742.9375
843.96985,477.625
763.397,858.3125
1116.1375,1477.625
1622.1729,2345.0625
1547.2417,1409.875
1572.6066,1055.375
775.0537,443.8125
512.966,516.5
620.2309,789.81256
1360.2528,1032.625
1030.1063,1168.0
1409.1736,1672.6875
728.4973,594.8125
867.3792,903.0625
492.86157,637.4375
894.9739,868.09375
1727.8817,1459.125
637.59564,710.84375
657.73236,586.4063
466.26666,503.25006
464.83746,530.84375
561.2943,437.875
625.831,856.9375
447.21313,398.75
576.91864,565.46875
927.4437,1120.375
1113.1252,971.5
135.34106,185.125
187.1239,895.25
839.34906,847.84375
546.1909,396.65625
744.82275,1520.2188
710.7768,688.4375
953.1632,1241.75
1137.5006,874.40625
551.9896,452.5625
438.04437,278.15637
533.67114,505.6563
447.16388,348.37506
1021.74524,781.375
282.49097,407.40625
713.21313,696.8125
489.54932,554.25
340.13507,408.12506
718.22864,694.75
474.003,376.0
517.2418,704.50006
984.9673,1332.25
1183.6587,1170.0625
1543.9292,2082.25
599.5674,360.62506
701.9676,915.625
713.76495,981.3125
1316.9467,1295.9375
451.93732,384.37506
1073.3906,916.3125
1334.5519,1400.0625
3073.8489,2448.2188
3221.9648,3057.0312
3352.2004,3588.9688
3228.2373,5171.875
1725.7303,1558.6875
2089.5767,2433.625
2014.7628,1536.6562
965.29767,888.3125
1278.8651,1377.0
1391.3953,1490.1875
1119.0845,1174.9375
1269.5493,929.625
761.2367,942.875
1315.639,1215.75
898.1564,1313.375
414.9118,408.12506
522.8213,503.18756
909.3337,1169.375
1050.0404,947.75
653.1806,794.0
924.78577,945.0
1002.68604,1020.4375
908.53625,453.75006
667.26294,1130.1875
714.0703,452.18756
656.50995,784.25
646.4034,840.8125
1235.353,1187.5625
843.0282,891.875
1111.7921,1290.3125
1477.6565,1546.125
885.6201,1077.8125
303.30347,386.50006
1633.6937,1616.0
1293.0853,1300.75
1750.3888,1638.4375
1596.8304,1925.6875
2128.5117,1989.3125
750.4422,596.87506
1549.4182,1165.125
1069.5732,1004.40625
1030.2893,1091.8125
1188.8376,877.34375
373.80774,533.21875
539.4711,606.2813
571.0985,566.84375
