preds,trues
239.10669,153.6875
3842.3945,3538.3125
2756.6704,2256.3125
2074.3484,1713.875
4036.2256,4362.4375
2446.2944,2806.4375
3942.605,4529.5
3435.267,5487.8125
3548.8257,4783.5
4155.314,3658.5
1777.0813,1501.375
2668.2627,2961.5625
1966.1892,3603.3125
2541.5767,1897.0
3472.9707,2935.75
4081.745,3520.75
2667.6667,2642.8125
2287.9949,1378.375
2970.588,2584.125
2655.1782,2456.9375
2414.546,2706.5
2065.044,1121.8125
1830.1772,2373.75
2249.1826,2080.875
1715.0444,1795.0
1540.7377,1651.6875
1580.59,1636.3125
1431.3824,940.125
645.38275,672.375
1506.7267,892.5625
767.68536,660.5
465.35706,596.87506
602.22925,340.375
392.6648,380.875
286.56824,264.875
425.2409,422.8125
1070.323,713.62506
1243.4688,1585.9375
1296.7506,1076.375
660.4442,542.56256
990.6132,789.81256
745.10614,814.25006
754.0596,747.875
1045.842,1260.875
1102.3431,1216.25
914.11847,713.62506
1311.7174,1429.375
1285.4049,1261.625
1056.6666,840.12506
350.10883,885.5625
87.17688,0.0
619.8441,397.0
134.7367,1838.3125
152.86584,303.3125
327.37646,299.125
397.5824,448.75
633.0418,237.625
741.20215,451.5
262.5559,299.8125
223.4403,222.25
144.41785,113.875
84.94714,104.8125
152.89453,205.4375
139.53687,407.50006
338.4535,464.06256
168.92212,150.87512
175.54895,157.87512
129.33203,95.0
192.8778,106.18762
415.79352,277.4375
117.36438,2.0625
158.49866,212.4375
249.70374,113.18762
364.51947,596.9375
157.64172,223.50012
138.69092,204.75012
317.43408,117.375
284.41785,266.96875
356.51965,107.625
430.5053,269.75
178.42126,252.9375
350.10974,330.56256
349.19434,321.50012
290.87073,278.875
296.583,283.40625
306.05408,264.125
196.14758,290.0
121.0531,37.6875
52.443237,137.0
121.46741,130.625
69.12854,133.40637
85.79968,123.6875
71.36853,135.5625
112.203125,124.3125
160.14319,62.125122
183.9364,118.06262
267.01318,454.93756
201.67688,124.3125
60.97522,41.875
65.025024,66.37512
82.391235,99.25012
83.26929,29.312622
93.721924,93.625
59.797363,77.5
92.08374,68.4375
61.301514,20.53125
150.93494,131.25
65.06909,101.31262
66.37854,127.875
84.66284,136.93762
72.19348,44.0
43.895752,32.75
17.973022,32.0625
34.04431,41.125122
57.23877,50.250122
55.94214,39.0625
125.88928,104.40625
118.00183,132.75
140.46619,147.4375
134.80237,130.28125
141.89368,147.40637
155.77148,201.9375
117.26318,120.125
58.360718,51.6875
161.37024,121.5625
79.017334,113.18762
112.673706,61.500122
129.14966,89.4375
152.64355,104.4375
95.610596,163.5
119.413086,185.87512
87.39197,93.625
114.43335,94.31262
59.508667,33.500122
34.134888,155.125
29.807007,69.1875
34.789185,43.9375
30.100464,59.03125
39.545776,26.15625
39.84326,57.65625
64.56543,77.5625
66.80383,85.25012
16.012573,153.00012
98.95264,143.59387
214.72302,235.15637
1.359375,196.4375
117.44531,135.25012
237.81714,52.3125
44.542236,44.625
53.539795,51.656372
104.43445,74.75
77.4707,58.0
53.779175,62.1875
45.0719,81.0
9.690796,76.8125
270.4391,130.6875
201.13843,25.437622
83.956665,190.0625
114.66284,153.6875
54.111572,39.0625
43.494263,100.625
132.26794,219.4375
147.45581,122.93762
160.03381,192.625
345.53174,90.75
410.43243,353.62506
162.75586,173.25
145.41492,118.06262
49.369995,34.1875
16.564697,55.843872
36.052124,129.25
78.979614,204.75012
165.77185,123.0625
88.890625,109.6875
109.78125,113.18762
61.224854,143.5625
67.09204,81.0
179.85303,81.8125
48.958008,90.8125
38.271973,27.9375
36.472168,35.625
26.492798,24.03125
42.277466,50.21875
30.493408,18.125
26.405884,20.875
19.954468,20.9375
