preds,trues
154.98535,167.00012
121.553345,170.5
199.38525,202.625
17.773926,223.625
230.72766,138.3125
136.41724,215.875
118.87146,83.12512
152.4231,164.87512
147.01794,106.18762
836.8547,685.3125
761.50793,437.15625
625.8874,473.15625
427.62103,357.0938
771.4144,1154.375
572.1189,962.78125
1332.5564,1802.3125
453.8274,622.75
566.97107,455.6875
336.78546,363.43756
350.25128,293.50012
702.0695,1033.75
314.70093,383.0
304.47388,271.1875
338.2619,401.1875
440.39392,368.31256
384.92328,380.1875
1214.2102,1211.25
515.18646,1005.75
675.5098,1065.875
334.1775,388.56256
264.26428,192.125
331.1153,239.75
463.6703,438.9375
439.9547,321.50012
322.1151,359.25
504.69885,683.5625
740.9991,475.93756
373.5293,378.8125
294.75537,170.5
248.38281,269.75
343.74988,364.125
299.40063,391.37506
603.9277,443.06256
279.85583,243.93762
347.17126,290.75
456.91278,588.50006
710.24506,963.125
450.06897,863.875
579.2282,379.46875
554.07654,489.96875
587.3768,370.75
529.7401,964.1875
635.06793,378.50006
383.94275,437.875
445.20703,300.125
354.6726,455.31256
360.16992,608.8125
508.0667,443.06256
520.0618,571.87506
379.8664,329.875
420.05762,327.0625
234.32532,357.8125
413.58136,448.0
575.78314,1276.3125
488.26764,694.125
407.1427,473.875
486.6015,495.5
474.0359,1188.25
1255.8102,1092.5
1599.5864,1952.25
1358.9113,2113.6875
726.47186,985.5
2190.7603,1959.9375
821.29645,727.5625
1112.6099,1960.625
413.46753,513.03125
450.73224,508.78125
528.1674,1031.0
453.00446,460.21875
583.64844,1134.4062
283.85925,464.43756
583.7151,359.62506
445.87238,467.5625
411.2453,292.59375
447.71893,535.0313
368.48816,144.625
152.13647,184.4375
265.03894,808.6875
239.96497,406.75
550.50916,351.56256
460.2262,297.75012
540.05133,370.37506
249.85925,365.56256
379.48712,471.06256
872.24426,677.9375
371.23737,480.25006
422.5725,413.0625
303.24475,348.0625
413.88507,550.75
805.1829,559.875
257.2157,332.0
424.3507,446.625
497.97015,470.37506
347.97296,304.75012
368.98236,498.3125
331.16064,435.43756
317.2605,341.75006
203.76917,271.1875
407.5669,246.34375
298.8036,166.59375
150.52612,125.03125
185.60876,187.59375
463.82227,408.12506
558.5599,583.25
218.36023,473.875
798.5014,668.125
473.8789,606.6875
858.06647,1243.125
355.89124,443.8125
233.81177,283.75
373.79956,277.09387
335.7976,467.87506
300.8109,289.68762
304.1223,391.37506
289.03943,330.56256
696.34814,290.0625
264.87744,333.375
260.29224,203.375
217.8429,284.4375
412.3247,234.125
468.1198,218.0625
344.98956,137.625
249.94324,270.4375
383.98297,327.8125
170.80249,303.625
255.65283,241.78125
381.73474,416.15625
540.1099,555.625
403.7373,455.6875
273.8722,243.1875
232.896,136.93762
248.75159,162.0625
303.08386,320.0625
172.34863,195.00012
218.52563,274.62512
366.0752,311.6875
98.87195,79.625
203.54248,590.5625
822.9866,705.9375
761.1,700.3125
465.11212,433.31256
365.27228,388.56256
319.94763,320.75
588.7535,675.18756
657.5213,485.68756
625.03284,770.93756
365.87665,383.6875
312.16272,557.75
625.7487,606.625
622.6353,671.0
425.10645,614.37506
740.90607,734.5625
470.82196,583.625
747.62634,720.5625
1157.2817,993.9375
324.59473,251.21887
493.78363,695.8125
274.96826,259.25
332.83154,406.75
318.37952,384.37506
300.7921,350.87506
516.20715,410.375
430.27496,416.9063
406.3485,334.75006
401.75598,471.75
572.96765,399.8125
468.19055,775.875
522.78815,536.37506
455.88788,437.5
859.1726,593.37506
480.07495,450.375
481.95203,380.25
631.40796,566.8125
1005.2877,1231.5625
686.5917,753.84375
485.80225,627.625
660.64996,732.50006
