preds,trues
284.09473,153.6875
3802.2705,3538.3125
2723.3901,2256.3125
2050.5493,1713.875
3990.5732,4362.4375
2425.607,2806.4375
3897.7417,4529.5
3397.2666,5487.8125
3497.4946,4783.5
4090.979,3658.5
1754.2561,1501.375
2642.9373,2961.5625
1960.4102,3603.3125
2531.2625,1897.0
3467.496,2935.75
4150.0884,3520.75
2638.6562,2642.8125
2263.1475,1378.375
2945.8613,2584.125
2653.4119,2456.9375
2396.9177,2706.5
2057.7837,1121.8125
1831.9064,2373.75
2234.5337,2080.875
1634.0234,1795.0
1556.6104,1651.6875
1595.1802,1636.3125
1444.3579,940.125
664.7068,672.375
1523.4664,892.5625
797.4365,660.5
499.03754,596.87506
637.28107,340.375
429.9851,380.875
322.39966,264.875
460.50787,422.8125
1095.8501,713.62506
1263.5603,1585.9375
1308.5724,1076.375
675.5075,542.56256
1002.0636,789.81256
759.20636,814.25006
776.77985,747.875
1069.2375,1260.875
1121.7783,1216.25
933.8931,713.62506
1325.7926,1429.375
1298.4374,1261.625
1071.494,840.12506
375.55078,885.5625
120.62219,0.0
651.1458,397.0
175.12427,1838.3125
191.27649,303.3125
364.35327,299.125
431.47272,448.75
659.0084,237.625
768.7541,451.5
292.84656,299.8125
252.71521,222.25
176.32336,113.875
121.804565,104.8125
191.45422,205.4375
175.54565,407.50006
369.17615,464.06256
204.46729,150.87512
208.95337,157.87512
162.0105,95.0
227.61023,106.18762
449.43494,277.4375
153.67908,2.0625
193.12976,212.4375
284.1781,113.18762
388.96344,596.9375
190.00146,223.50012
174.20483,204.75012
350.90912,117.375
320.6244,266.96875
393.89368,107.625
463.62457,269.75
211.48022,252.9375
381.60895,330.56256
380.32202,321.50012
322.78955,278.875
328.39124,283.40625
338.02295,264.125
228.27258,290.0
156.32874,37.6875
89.67761,137.0
157.45361,130.625
106.283325,133.40637
123.27649,123.6875
108.21912,135.5625
147.69067,124.3125
195.16309,62.125122
218.7555,118.06262
299.7146,454.93756
235.3617,124.3125
96.38843,41.875
101.00952,66.37512
119.32605,99.25012
121.23901,29.312622
131.22705,93.625
96.52942,77.5
128.3003,68.4375
97.84412,20.53125
186.34875,131.25
101.583374,101.31262
102.757935,127.875
120.66577,136.93762
108.643555,44.0
80.72412,32.75
55.617676,32.0625
71.65723,41.125122
94.725464,50.250122
93.46228,39.0625
162.53564,104.40625
153.9253,132.75
175.49182,147.4375
169.78638,130.28125
176.43066,147.40637
190.28845,201.9375
152.47644,120.125
94.63281,51.6875
197.25183,121.5625
115.9613,113.18762
149.11633,61.500122
165.55554,89.4375
188.62634,104.4375
131.71863,163.5
154.62952,185.87512
123.12915,93.625
150.11768,94.31262
95.85742,33.500122
71.433105,155.125
66.684204,69.1875
72.12366,43.9375
67.38599,59.03125
76.587524,26.15625
77.28467,57.65625
101.79529,77.5625
103.74548,85.25012
52.247925,153.00012
134.6488,143.59387
248.49585,235.15637
38.018555,196.4375
151.26086,135.25012
271.21753,52.3125
81.026,44.625
89.31531,51.656372
141.1189,74.75
114.772705,58.0
91.3136,62.1875
81.996704,81.0
46.60901,76.8125
304.6549,130.6875
235.44275,25.437622
119.46069,190.0625
149.33081,153.6875
89.746826,39.0625
80.40369,100.625
168.59277,219.4375
183.29297,122.93762
195.58948,192.625
377.80945,90.75
441.76898,353.62506
195.12964,173.25
178.39099,118.06262
85.30603,34.1875
53.87561,55.843872
74.762695,129.25
117.42517,204.75012
202.04419,123.0625
125.03198,109.6875
145.35022,113.18762
97.19397,143.5625
103.60962,81.0
214.7633,81.8125
85.45776,90.8125
74.921875,27.9375
73.51514,35.625
64.04724,24.03125
80.40576,50.21875
69.29114,18.125
64.22888,20.875
57.50049,20.9375
64.73645,32.0625
81.71924,41.1875
86.890015,80.3125
114.6626,48.1875
68.94824,18.125
77.93408,38.437622
1983.0022,2483.5625
3114.7812,3296.4375
939.1045,793.31256
1528.0558,963.4375
295.82617,260.62512
1770.279,1077.125
