preds,trues
191.06104,167.00012
157.60107,170.5
233.83118,202.625
54.336426,223.625
264.8523,138.3125
171.9541,215.875
154.52039,83.12512
188.16675,164.87512
182.7146,106.18762
863.01306,685.3125
785.3397,437.15625
651.7914,473.15625
455.17395,357.0938
796.0095,1154.375
596.65094,962.78125
1349.6636,1802.3125
478.77972,622.75
587.0805,455.6875
362.41516,363.43756
382.55237,293.50012
732.6821,1033.75
349.63788,383.0
339.6742,271.1875
372.76007,401.1875
470.60364,368.31256
416.70892,380.1875
1236.3877,1211.25
541.53973,1005.75
698.0877,1065.875
358.53705,388.56256
293.9796,192.125
363.06653,239.75
497.15308,438.9375
474.59393,321.50012
357.17908,359.25
534.6336,683.5625
764.18066,475.93756
401.23358,378.8125
325.0271,170.5
280.23096,269.75
376.4657,364.125
334.5821,391.37506
634.83563,443.06256
311.80383,243.93762
377.65436,290.75
486.77856,588.50006
736.3623,963.125
476.60406,863.875
603.9722,379.46875
579.8994,489.96875
613.8826,370.75
557.1914,964.1875
662.9365,378.50006
416.38226,437.875
475.46777,300.125
385.9309,455.31256
393.66602,608.8125
538.62494,443.06256
549.8922,571.87506
411.1416,329.875
450.76636,327.0625
267.6184,357.8125
445.9875,448.0
606.72626,1276.3125
514.2968,694.125
433.49988,473.875
513.5997,495.5
500.6244,1188.25
1275.0262,1092.5
1612.9272,1952.25
1369.0573,2113.6875
732.09717,985.5
2195.598,1959.9375
827.9337,727.5625
1127.8629,1960.625
442.20026,513.03125
479.956,508.78125
557.24023,1031.0
483.91205,460.21875
615.26447,1134.4062
316.26196,464.43756
611.01953,359.62506
473.20966,467.5625
439.28973,292.59375
477.61475,535.0313
399.00446,144.625
187.44226,184.4375
300.56494,808.6875
274.02893,406.75
581.0158,351.56256
490.46814,297.75012
567.70685,370.37506
281.28955,365.56256
410.00934,471.06256
897.9009,677.9375
401.81433,480.25006
451.11115,413.0625
334.4889,348.0625
443.63696,550.75
831.69464,559.875
289.12646,332.0
455.34747,446.625
527.1171,470.37506
377.96472,304.75012
400.39545,498.3125
364.53748,435.43756
349.61182,341.75006
236.73999,271.1875
440.77936,246.34375
333.56,166.59375
187.00708,125.03125
221.43811,187.59375
495.63367,408.12506
588.28064,583.25
249.69604,473.875
823.2739,668.125
501.05237,606.6875
880.77686,1243.125
384.0138,443.8125
265.27637,283.75
404.92303,277.09387
370.09357,467.87506
335.9505,289.68762
338.43762,391.37506
322.2589,330.56256
724.0783,290.0625
296.28662,333.375
291.3369,203.375
251.69861,284.4375
444.72498,234.125
499.39014,218.0625
379.0263,137.625
284.7373,270.4375
416.0489,327.8125
205.28394,303.625
289.03638,241.78125
414.23053,416.15625
569.4833,555.625
433.10187,455.6875
304.27686,243.1875
264.3275,136.93762
281.21863,162.0625
337.0725,320.0625
209.91895,195.00012
254.91943,274.62512
398.83868,311.6875
135.03967,79.625
238.72144,590.5625
849.40015,705.9375
785.348,700.3125
491.79834,433.31256
391.9897,388.56256
348.18982,320.75
617.26624,675.18756
687.902,485.68756
654.4317,770.93756
394.8745,383.6875
342.0907,557.75
651.9561,606.625
649.458,671.0
454.62823,614.37506
765.66785,734.5625
498.6621,583.625
771.31683,720.5625
1176.9583,993.9375
353.966,251.21887
522.06854,695.8125
311.48303,259.25
369.43323,406.75
354.2707,384.37506
334.98804,350.87506
544.9697,410.375
459.41644,416.9063
435.85852,334.75006
431.86627,471.75
601.0226,399.8125
498.4237,775.875
550.8068,536.37506
484.0498,437.5
883.2879,593.37506
507.49524,450.375
509.85144,380.25
657.9259,566.8125
1026.9012,1231.5625
710.0758,753.84375
511.45087,627.625
684.33203,732.50006
