preds,trues
429.56268,283.75
766.8426,645.4375
425.15808,376.75006
397.18256,378.8125
694.9102,1130.9375
780.59595,799.5625
463.54712,534.0
464.34576,379.50006
634.8487,592.00006
774.0194,659.125
716.31335,142.84375
1541.9563,839.06256
566.9815,647.875
1752.4684,1789.375
1165.805,1184.9375
1330.0563,1350.4062
1473.3619,1691.5
1417.9999,1707.625
1192.3649,899.5625
946.14667,1068.6875
1000.84283,977.8125
1293.0763,2125.9688
2621.6763,2930.1875
2348.3887,2385.625
2201.6658,2436.6875
2433.829,2013.4375
2364.8242,2151.5
1079.8625,1686.625
1556.8672,1177.75
1122.0908,1502.8125
377.68567,249.15625
458.32635,481.5
755.7951,424.9375
635.8178,429.62506
1418.0149,1171.4375
517.33405,489.25006
1412.1823,1577.9688
1266.4626,767.43756
736.81775,873.6875
768.1173,616.4375
450.35193,348.75006
355.0285,284.125
382.19617,297.0
234.86353,272.5625
341.4806,273.9375
350.2942,359.59375
411.096,399.0625
608.1257,1173.5625
1056.4231,957.5625
479.47803,640.9375
408.55975,472.06256
832.4449,690.50006
436.51624,0.6876221
880.9596,715.00006
1167.1567,1280.5
900.67664,452.25006
812.2379,1632.125
2077.402,1773.3125
656.43713,1143.5
1455.3611,769.87506
1240.9171,1564.3125
960.93805,1243.5
1182.6332,807.31256
151.56726,27.9375
194.39404,137.625
158.4436,179.5625
80.00806,0.34375
25.195557,0.0
36.093506,0.0
31.25061,0.0
23.506958,0.0
11.042114,10.8125
15.144897,0.0
195.06201,532.56256
443.99548,388.25006
206.43372,31.375122
6294.5444,6763.4375
4188.364,3473.25
4999.283,7457.625
4930.527,4418.625
3971.334,2997.25
5431.0396,3729.125
3865.2207,3511.6875
2947.308,3313.9062
3104.0154,3160.4688
3289.518,2814.125
2197.9722,2477.875
1801.8734,2132.25
2935.5938,2869.375
2606.4277,1985.125
891.91785,1777.0938
1071.7683,1808.9375
941.07965,1088.9375
509.51324,227.125
347.37946,231.3125
621.06793,525.56256
311.07507,191.4375
435.5498,294.875
285.97852,412.37506
978.73,503.25006
854.45215,1126.75
305.36987,289.3125
286.73853,214.5
192.77405,189.3125
272.6084,180.25
224.57214,140.4375
