preds,trues
170.92883,167.00012
140.66895,170.5
216.54492,202.625
37.48352,223.625
248.98438,138.3125
155.22412,215.875
136.4613,83.12512
170.60425,164.87512
158.96338,106.18762
861.2875,685.3125
794.70496,437.15625
653.50934,473.15625
464.0575,357.0938
797.46344,1154.375
604.1804,962.78125
1329.022,1802.3125
499.97546,622.75
591.21735,455.6875
374.15387,363.43756
388.6549,293.50012
724.00305,1033.75
371.07098,383.0
353.62018,271.1875
373.59167,401.1875
460.7072,368.31256
398.83557,380.1875
1214.2277,1211.25
548.0327,1005.75
704.29144,1065.875
370.602,388.56256
296.63684,192.125
350.08435,239.75
495.48016,438.9375
467.953,321.50012
358.8888,359.25
528.1244,683.5625
753.1674,475.93756
406.63763,378.8125
323.33142,170.5
277.03052,269.75
369.16473,364.125
333.50476,391.37506
619.45886,443.06256
303.47437,243.93762
360.02655,290.75
479.83417,588.50006
726.65326,963.125
477.14166,863.875
599.82764,379.46875
590.0941,489.96875
615.4634,370.75
570.35315,964.1875
669.1205,378.50006
416.62775,437.875
470.52264,300.125
399.9284,455.31256
389.4975,608.8125
538.02966,443.06256
547.0176,571.87506
412.6548,329.875
449.9107,327.0625
269.8745,357.8125
441.74554,448.0
600.008,1276.3125
513.1733,694.125
448.591,473.875
516.3471,495.5
508.2259,1188.25
1262.135,1092.5
1628.2914,1952.25
1356.6031,2113.6875
746.87775,985.5
2233.2861,1959.9375
810.23285,727.5625
1148.5267,1960.625
446.96545,513.03125
483.21655,508.78125
556.5933,1031.0
475.47876,460.21875
618.7028,1134.4062
317.03503,464.43756
617.27,359.62506
456.8,467.5625
452.41553,292.59375
467.69427,535.0313
412.97217,144.625
201.35657,184.4375
283.08484,808.6875
268.02917,406.75
560.9785,351.56256
490.3448,297.75012
560.49207,370.37506
259.6698,365.56256
399.01367,471.06256
886.6725,677.9375
403.64423,480.25006
447.015,413.0625
324.21448,348.0625
435.6681,550.75
827.42426,559.875
296.6996,332.0
454.15106,446.625
520.10126,470.37506
374.1601,304.75012
404.943,498.3125
364.52173,435.43756
346.22107,341.75006
229.96094,271.1875
439.7226,246.34375
322.7334,166.59375
173.70776,125.03125
199.96338,187.59375
479.36694,408.12506
576.5321,583.25
240.65552,473.875
820.8208,668.125
496.64752,606.6875
876.8539,1243.125
399.80768,443.8125
265.28564,283.75
407.95435,277.09387
375.71857,467.87506
319.4431,289.68762
339.54657,391.37506
323.161,330.56256
719.9793,290.0625
296.5255,333.375
282.64185,203.375
248.31018,284.4375
433.9557,234.125
497.26074,218.0625
378.30457,137.625
274.4115,270.4375
393.97675,327.8125
194.80212,303.625
276.40967,241.78125
408.3097,416.15625
561.94006,555.625
430.6772,455.6875
297.4635,243.1875
261.8136,136.93762
278.60864,162.0625
334.31097,320.0625
205.79224,195.00012
240.05579,274.62512
382.06976,311.6875
125.9552,79.625
217.03577,590.5625
833.9718,705.9375
776.17,700.3125
494.60504,433.31256
393.0415,388.56256
347.9795,320.75
627.3248,675.18756
700.20496,485.68756
657.0062,770.93756
392.0039,383.6875
342.61517,557.75
642.5742,606.625
659.41406,671.0
458.1806,614.37506
767.5297,734.5625
503.73553,583.625
771.774,720.5625
1169.1008,993.9375
371.07733,251.21887
521.9056,695.8125
315.58435,259.25
365.99286,406.75
352.59357,384.37506
325.51367,350.87506
529.8588,410.375
458.4168,416.9063
432.93158,334.75006
431.85797,471.75
598.3435,399.8125
498.4253,775.875
549.46387,536.37506
488.10822,437.5
876.286,593.37506
517.6949,450.375
511.05597,380.25
660.3859,566.8125
1021.1583,1231.5625
720.9241,753.84375
522.4379,627.625
691.9377,732.50006
