preds,trues
475.02374,283.75
742.6403,645.4375
466.40588,376.75006
408.56494,378.8125
699.6447,1130.9375
761.558,799.5625
478.6773,534.0
493.73242,379.50006
640.13306,592.00006
756.75,659.125
708.25134,142.84375
1259.3,839.06256
603.8637,647.875
1646.1366,1789.375
1115.2805,1184.9375
1236.477,1350.4062
1324.0376,1691.5
1304.3289,1707.625
1214.4108,899.5625
952.94604,1068.6875
984.4153,977.8125
1223.4423,2125.9688
2590.1462,2930.1875
2346.947,2385.625
2253.2578,2436.6875
2442.8845,2013.4375
2454.6675,2151.5
1136.3425,1686.625
1540.2386,1177.75
1207.7273,1502.8125
318.66833,249.15625
450.30182,481.5
735.6319,424.9375
615.3432,429.62506
1247.7338,1171.4375
527.71155,489.25006
1233.9518,1577.9688
1165.8794,767.43756
723.8368,873.6875
769.0327,616.4375
440.42297,348.75006
386.25623,284.125
374.03168,297.0
233.56177,272.5625
354.4662,273.9375
364.9953,359.59375
446.3357,399.0625
625.4328,1173.5625
1003.9955,957.5625
529.03754,640.9375
448.9074,472.06256
817.1402,690.50006
455.60352,0.6876221
816.95886,715.00006
1046.9088,1280.5
874.916,452.25006
793.27936,1632.125
2056.582,1773.3125
645.0069,1143.5
1308.2406,769.87506
1159.7054,1564.3125
968.2535,1243.5
1140.4592,807.31256
89.38953,27.9375
110.14111,137.625
38.88867,179.5625
22.556885,0.34375
0.0,0.0
17.695068,0.0
0.0,0.0
7.838257,0.0
9.799805,10.8125
7.593384,0.0
241.96252,532.56256
523.9635,388.25006
214.39136,31.375122
6124.837,6763.4375
4405.6284,3473.25
5038.7046,7457.625
5108.5903,4418.625
4042.712,2997.25
5625.2617,3729.125
3827.395,3511.6875
2939.6045,3313.9062
3127.0088,3160.4688
3276.9546,2814.125
2426.2844,2477.875
1881.5796,2132.25
2921.4326,2869.375
2656.815,1985.125
1057.721,1777.0938
1177.821,1808.9375
1091.8195,1088.9375
593.2337,227.125
187.9281,231.3125
619.2873,525.56256
276.5011,191.4375
432.57568,294.875
262.98962,412.37506
906.9283,503.25006
792.81635,1126.75
315.0553,289.3125
307.95923,214.5
173.65186,189.3125
259.4973,180.25
241.70972,140.4375
