preds,trues
1172.0974,789.125
2812.6245,1525.125
2038.2283,1202.1875
1112.385,1490.875
4125.075,5102.625
2530.396,2252.1875
2858.2546,3202.75
2208.9937,1256.0625
1205.1263,824.0625
1530.2695,1890.6875
698.0605,742.9375
1146.4812,477.625
848.90857,858.3125
1133.7213,1477.625
1696.1533,2345.0625
1308.1233,1409.875
1396.8374,1055.375
752.16583,443.8125
596.00494,516.5
658.7267,789.81256
1249.7577,1032.625
1006.65704,1168.0
1290.8208,1672.6875
813.6779,594.8125
871.6738,903.0625
533.4898,637.4375
909.28516,868.09375
1679.6694,1459.125
721.17755,710.84375
717.93066,586.4063
508.3485,503.25006
531.629,530.84375
593.06586,437.875
679.5405,856.9375
509.3354,398.75
614.9721,565.46875
905.51166,1120.375
1069.8928,971.5
158.81287,185.125
256.89233,895.25
872.01904,847.84375
517.80865,396.65625
737.30176,1520.2188
758.1668,688.4375
967.5155,1241.75
1027.281,874.40625
599.2652,452.5625
460.84918,278.15637
569.7227,505.6563
497.00085,348.37506
961.30493,781.375
384.1355,407.40625
726.05884,696.8125
551.53015,554.25
423.83063,408.12506
753.6799,694.75
515.65015,376.0
566.2336,704.50006
937.4988,1332.25
1121.7975,1170.0625
1415.8868,2082.25
619.6779,360.62506
723.39276,915.625
727.1649,981.3125
1234.6156,1295.9375
525.70526,384.37506
995.6089,916.3125
1294.2477,1400.0625
3128.6313,2448.2188
3165.9,3057.0312
3453.8833,3588.9688
3298.903,5171.875
1789.1731,1558.6875
2297.2593,2433.625
2205.1318,1536.6562
1208.8899,888.3125
1291.3203,1377.0
1257.7916,1490.1875
1265.2094,1174.9375
1158.3446,929.625
816.17194,942.875
1225.2985,1215.75
925.7971,1313.375
500.2439,408.12506
601.9462,503.18756
890.848,1169.375
1061.916,947.75
700.3189,794.0
921.2179,945.0
960.47723,1020.4375
922.80005,453.75006
684.0557,1130.1875
753.8118,452.18756
704.7982,784.25
705.05273,840.8125
1142.9115,1187.5625
869.5703,891.875
1070.8196,1290.3125
1306.271,1546.125
918.8926,1077.8125
340.88806,386.50006
1373.1218,1616.0
1219.3982,1300.75
1750.3911,1638.4375
1469.7649,1925.6875
2150.1982,1989.3125
721.0071,596.87506
1447.7349,1165.125
1054.177,1004.40625
1023.1179,1091.8125
1125.0283,877.34375
428.8523,533.21875
607.5883,606.2813
628.3428,566.84375
481.6236,96.40625
12.975586,17.0625
434.9483,274.96887
694.2123,255.0625
818.2995,849.4375
1209.1211,1531.4375
1216.7471,1323.875
1185.983,1435.0
1107.296,1490.1875
1115.751,1141.375
884.17865,1090.375
457.27155,378.75
621.14453,698.25
288.64624,199.1875
1053.098,1047.7188
411.93024,523.46875
327.3352,219.0625
820.147,468.96875
661.3021,840.8125
464.87988,348.0
371.66388,455.6875
594.8865,578.00006
154.96338,239.0
171.60962,309.0
218.59595,156.5
240.9729,133.4375
383.6781,441.0
357.76855,308.9375
173.09094,46.03125
54.997437,12.562622
445.5749,256.8125
368.42487,326.375
183.22131,149.5625
473.63544,409.56256
452.23273,413.7813
239.51904,169.40637
145.07727,91.18762
233.38818,427.75
114.10791,144.75
99.48413,110.375
42.474976,81.6875
