preds,trues
460.87354,283.75
733.63196,645.4375
457.6599,376.75006
393.9311,378.8125
691.96783,1130.9375
756.8995,799.5625
463.8463,534.0
478.5078,379.50006
628.34076,592.00006
748.9008,659.125
698.8342,142.84375
1260.1106,839.06256
594.5628,647.875
1661.1191,1789.375
1116.5747,1184.9375
1238.3076,1350.4062
1327.8751,1691.5
1304.0493,1707.625
1209.295,899.5625
935.62024,1068.6875
965.76117,977.8125
1220.1274,2125.9688
2588.6196,2930.1875
2345.968,2385.625
2255.4524,2436.6875
2427.899,2013.4375
2429.6338,2151.5
1109.658,1686.625
1493.0945,1177.75
1184.72,1502.8125
325.75757,249.15625
452.75018,481.5
737.7685,424.9375
616.9958,429.62506
1253.9891,1171.4375
526.43835,489.25006
1240.3699,1577.9688
1174.3093,767.43756
706.96356,873.6875
753.18256,616.4375
423.52386,348.75006
375.40723,284.125
367.0949,297.0
241.5238,272.5625
353.2448,273.9375
364.4677,359.59375
443.78192,399.0625
619.03656,1173.5625
1008.9436,957.5625
514.61523,640.9375
426.42474,472.06256
806.8977,690.50006
440.00745,0.6876221
805.4462,715.00006
1045.7035,1280.5
872.11865,452.25006
782.0895,1632.125
2064.7334,1773.3125
630.04706,1143.5
1309.0363,769.87506
1151.7264,1564.3125
957.97266,1243.5
1139.5509,807.31256
80.661865,27.9375
103.193726,137.625
44.631714,179.5625
36.363037,0.34375
1.8134766,0.0
26.325562,0.0
0.0,0.0
0.0,0.0
0.0,10.8125
0.0,0.0
229.77112,532.56256
516.86993,388.25006
195.79517,31.375122
6205.0005,6763.4375
4446.421,3473.25
5097.0327,7457.625
5140.6807,4418.625
4017.415,2997.25
5669.1836,3729.125
3776.7866,3511.6875
2895.6523,3313.9062
3082.9702,3160.4688
3242.1921,2814.125
2420.1985,2477.875
1868.2839,2132.25
2897.3706,2869.375
2646.3354,1985.125
1025.5144,1777.0938
1168.8411,1808.9375
1070.5208,1088.9375
574.90765,227.125
203.01196,231.3125
626.9371,525.56256
286.2505,191.4375
430.26758,294.875
265.2743,412.37506
912.72974,503.25006
792.27386,1126.75
291.88635,289.3125
280.50232,214.5
160.91394,189.3125
245.68066,180.25
243.02979,140.4375
