preds,trues
1163.6173,789.125
2777.9136,1525.125
1989.1536,1202.1875
1085.0363,1490.875
4151.666,5102.625
2548.8452,2252.1875
2861.6277,3202.75
2177.8896,1256.0625
1155.559,824.0625
1442.5457,1890.6875
677.90924,742.9375
1120.2213,477.625
823.99,858.3125
1133.2631,1477.625
1709.4756,2345.0625
1304.5045,1409.875
1393.6643,1055.375
732.0691,443.8125
568.25195,516.5
643.81976,789.81256
1237.983,1032.625
1003.7878,1168.0
1300.7771,1672.6875
811.7229,594.8125
854.9862,903.0625
512.6461,637.4375
899.49713,868.09375
1676.5864,1459.125
713.4975,710.84375
709.3725,586.4063
496.63055,503.25006
518.67474,530.84375
585.6955,437.875
670.86237,856.9375
502.53345,398.75
606.49805,565.46875
899.9728,1120.375
1074.4958,971.5
136.03162,185.125
235.42285,895.25
871.0592,847.84375
511.63104,396.65625
727.86816,1520.2188
757.23956,688.4375
968.2548,1241.75
1022.338,874.40625
582.97125,452.5625
453.36896,278.15637
555.6417,505.6563
490.39417,348.37506
959.5525,781.375
374.58636,407.40625
719.30634,696.8125
539.4689,554.25
407.85986,408.12506
746.1858,694.75
505.48175,376.0
552.12585,704.50006
934.41833,1332.25
1126.9601,1170.0625
1442.7501,2082.25
605.5229,360.62506
700.6287,915.625
712.98376,981.3125
1233.6277,1295.9375
514.36554,384.37506
988.0242,916.3125
1280.8303,1400.0625
3139.0352,2448.2188
3182.8506,3057.0312
3479.2617,3588.9688
3314.1118,5171.875
1770.612,1558.6875
2248.501,2433.625
2160.5508,1536.6562
1198.777,888.3125
1275.7354,1377.0
1242.302,1490.1875
1249.5679,1174.9375
1157.3914,929.625
807.533,942.875
1224.0245,1215.75
917.65344,1313.375
490.9461,408.12506
586.6763,503.18756
885.1699,1169.375
1063.2513,947.75
692.1871,794.0
916.2873,945.0
959.3257,1020.4375
918.1531,453.75006
666.7536,1130.1875
742.5892,452.18756
695.5041,784.25
696.756,840.8125
1145.8417,1187.5625
867.91,891.875
1070.5277,1290.3125
1307.683,1546.125
912.83496,1077.8125
311.4673,386.50006
1364.6085,1616.0
1221.475,1300.75
1742.7098,1638.4375
1476.8569,1925.6875
2160.682,1989.3125
698.72986,596.87506
1402.9053,1165.125
1032.4939,1004.40625
1018.93555,1091.8125
1120.3801,877.34375
421.32227,533.21875
596.7206,606.2813
619.89764,566.84375
475.22052,96.40625
13.4436035,17.0625
434.23718,274.96887
691.1531,255.0625
816.5825,849.4375
1217.1733,1531.4375
1226.6757,1323.875
1194.2585,1435.0
1106.8308,1490.1875
1111.302,1141.375
862.3325,1090.375
432.0929,378.75
606.8933,698.25
282.40356,199.1875
1051.0709,1047.7188
412.58997,523.46875
308.43005,219.0625
816.1408,468.96875
656.4244,840.8125
449.72742,348.0
360.72107,455.6875
586.05176,578.00006
134.84424,239.0
157.69995,309.0
212.8595,156.5
239.26746,133.4375
381.75867,441.0
352.8404,308.9375
161.26306,46.03125
38.277466,12.562622
434.75946,256.8125
357.29462,326.375
169.26917,149.5625
463.77673,409.56256
442.68695,413.7813
219.54309,169.40637
123.5238,91.18762
218.84827,427.75
102.75183,144.75
87.4762,110.375
36.421143,81.6875
92.03198,238.3125
130.50916,142.875
45.517822,78.875
124.99524,91.5
197.91992,190.0625
92.48743,75.4375
137.44727,133.4375
40.434082,25.0625
36.972168,63.5625
44.231445,55.125122
0.0,35.5625
61.061646,58.625
187.31409,37.6875
196.11035,60.000122
272.97375,195.00012
222.59424,121.0625
320.72253,452.18756
617.01184,706.62506
639.05566,327.0625
1497.2134,1207.125
1285.5238,1237.1875
903.38025,830.3125
958.26086,791.1875
551.1413,476.625
374.4599,224.28125
350.00067,348.6875
405.89038,269.75
377.95972,255.81262
457.45233,208.1875
150.98694,116.0
346.5338,236.1875
106.669556,108.25
156.88843,183.4375
436.96375,102.0
171.03516,273.25
650.3829,459.18756
338.62506,498.43756
70.99988,260.0
246.93884,269.75
702.03253,290.75
412.23322,283.75
349.32532,421.43756
348.21893,436.8125
246.01013,206.1875
276.19812,276.0625
116.08154,475.25006
77.08655,929.5625
147.34119,90.06262
412.32227,218.375
163.9137,22.34375
104.46753,85.25012
408.64288,568.9375
511.8305,1080.625
1091.8715,1762.8125
2583.9546,2719.75
2079.4927,1762.8125
2055.7588,1732.75
2049.6313,2018.625
2862.433,2997.9375
2666.2861,3092.2812
2107.9417,2353.9688
1630.98,939.375
243.70398,865.28125
562.6601,457.8125
471.00055,518.625
566.4285,316.5625
305.15442,220.81262
333.82147,187.3125
322.5077,299.8125
418.37012,340.375
242.39954,464.06256
375.50372,311.6875
659.2453,696.875
579.44305,437.5
724.8032,575.87506
648.07043,675.0
588.1857,743.00006
822.54626,501.8125
263.81946,139.75
676.53625,1760.75
1871.8009,1451.0625
919.7345,988.3125
903.3524,168.09375
295.2411,0.34375
288.4768,292.875
220.00916,292.8125
358.65845,210.3125
260.7777,308.1875
575.55444,1010.0
760.6533,420.75
334.54272,496.25006
563.09186,566.125
733.2295,652.06256
719.2383,594.75006
676.2819,629.75
780.3895,730.375
566.7538,682.93756
1087.7601,1248.375
1153.218,1311.9375
804.30786,534.68756
264.0979,180.9375
249.54565,223.625
429.66376,202.00012
26.811401,0.0
40.645874,0.0
12.097778,0.0
3.2700195,0.0
0.0,4.125
1.0267334,1.71875
656.3749,591.65625
737.55634,763.93756
959.2727,3516.625
1656.1141,2203.1875
1271.7913,1036.5625
1663.4482,1873.25
1611.711,1952.25
1978.3859,1953.6875
1655.1954,1877.4375
1938.6785,1906.0625
1713.331,2093.4375
2227.3882,2007.5
1508.9418,1469.25
1750.4368,1760.0625
2594.982,1130.25
1036.9526,1123.9375
1626.3867,1769.125
1827.2687,1705.5
1946.938,2091.3125
1410.9398,1439.1875
1272.513,1585.9375
1770.6268,1402.8125
1261.3289,1510.8438
1174.0258,1062.4688
2043.8235,2457.625
2315.795,2247.9375
1972.2954,1734.6875
1781.2025,1213.4375
1301.4545,1292.75
1787.9326,2220.2812
2202.5974,2329.3125
1820.8699,1950.1562
1925.0619,1686.9688
5433.7974,4630.8125
1373.717,988.3125
2763.446,1919.375
1242.7175,339.0
733.20917,264.8125
728.81165,497.9375
818.5837,473.12506
660.26654,423.9063
525.51086,497.62506
1501.9895,2786.1875
1145.6277,1503.5
2088.6362,1579.0
1651.5961,1013.5
1014.3001,979.9375
1154.9414,638.25
1165.82,1222.5
759.59064,759.75
1948.5933,2548.875
830.35394,320.40625
642.74316,760.40625
859.00714,1592.25
3610.9668,2533.8125
2526.2192,3585.75
3253.8447,4727.25
1475.2037,1393.0625
1981.8333,2770.8125
2875.961,2487.0
2453.812,4011.5
5245.1987,2434.125
5312.038,4851.6875
6263.041,6222.4375
3971.4697,4938.375
4331.1685,3630.5625
2734.2437,2705.0625
1862.0518,2618.4375
4654.307,3454.375
5254.383,6249.6875
5127.6387,5030.0
2090.4126,3026.625
8219.224,7161.1875
5986.61,4418.3438
1452.2598,460.21875
1056.9714,257.875
820.25037,610.87506
1055.1616,551.43756
978.74756,627.25006
793.4835,350.8125
2279.226,1077.8125
1563.9233,2367.7812
5009.7085,5435.6875
2759.787,1820.125
7164.792,9130.3125
6049.0195,7778.4375
5712.434,6945.1875
4779.038,4741.9375
4179.0605,6599.8438
5286.0737,6216.875
3956.1118,6218.8125
5231.387,4470.0625
2651.225,1758.625
2937.1482,1725.0625
3694.8125,3371.875
3488.8447,2156.375
3299.329,4177.875
1276.54,1372.8125
2127.2048,2008.8125
1562.1022,2550.9062
1279.5383,1176.375
1288.8638,754.125
1081.6208,1118.3125
3.6203613,414.62506
1960.8126,2062.0
1281.2965,1390.25
2858.4355,1859.9375
1436.9778,2225.9375
3464.335,3172.375
5275.6084,6582.7188
5937.5215,7199.625
2065.152,3346.0625
3946.4644,2695.9375
5041.6836,7569.375
5901.174,4035.5
4337.204,5033.4062
3770.7798,2034.3438
1961.9319,2182.875
4496.4346,3731.9375
3720.8364,3664.125
2541.7944,3722.8125
1839.0692,1195.1875
826.5504,590.5625
59.033203,499.0625
246.92224,382.9375
1556.5211,849.25
2723.535,1151.875
4174.0586,3439.6875
2043.1619,1976.6875
2805.3071,2358.375
4352.3896,4009.4375
4213.312,1901.875
5282.707,5523.4375
3667.1904,2968.5625
1540.8263,1399.3125
736.5515,381.62506
142.63794,95.6875
401.76147,99.9375
401.96747,298.25
602.4479,456.37506
864.22363,967.3125
1219.3846,1300.0625
1212.3353,1028.875
1184.4626,2361.1875
1337.0555,2085.0625
2508.7336,2215.0625
2399.8516,2458.375
3120.8198,3007.75
2551.0986,2886.8125
2479.5908,2631.6875
1407.4199,980.625
1002.5996,895.375
918.5609,324.25
1059.2554,1260.9375
986.6001,1063.8125
1944.0078,1197.3125
1572.0415,1873.25
1900.1277,1685.875
1144.8771,1309.875
719.14386,606.00006
894.43787,831.0625
91.775024,0.0
446.08307,464.8125
537.68225,405.37506
400.24017,340.375
305.92822,220.125
291.1726,269.0625
358.0136,330.3125
340.70166,285.125
269.70837,232.68762
69.848145,155.78125
0.0,0.0
148.08557,139.00012
62.079712,130.625
204.71582,286.50012
159.65747,156.5
284.20508,295.62512
268.88123,200.15637
17.938232,5.5
0.0,0.0
9.6571045,0.0
0.0,0.0
0.0,0.5
298.51746,4010.125
7319.0596,8366.25
9114.563,10621.249
8395.871,10177.374
9876.2705,11843.125
9564.53,11678.124
8529.155,8013.25
7047.2314,6237.625
9474.445,11541.125
9766.553,11991.937
9785.466,10481.4375
7006.8027,5590.5
4003.6128,4071.625
3910.5303,3231.75
7444.2603,9172.187
2536.5754,4912.5
4042.984,3861.9375
5554.286,5084.5
3571.439,3882.875
2742.1921,3562.0625
7753.1177,8088.7812
2097.0122,2898.0
2080.7273,1541.9375
3426.833,4075.0625
2508.0784,3417.3125
3416.567,3765.5
3754.146,4510.5625
8787.548,9620.999
5157.1494,3418.75
8249.571,8098.5625
5074.1055,4049.25
6312.1123,5661.8125
5407.0425,4931.75
2013.6367,1564.2812
1596.3528,1372.75
2584.0625,2643.5625
1937.7004,2165.4375
1807.3342,2579.9375
3385.9607,0.0
4967.3105,4839.8125
4074.0728,4219.4688
3929.209,3575.6562
3271.1157,2816.2188
2259.4285,4784.5938
2123.6902,1966.5625
1429.3945,1440.1875
1050.9851,722.6875
8291.202,10021.499
6481.18,5698.5625
4179.2065,1499.25
2718.4028,2786.9062
6470.9424,3830.7812
1321.1,1122.5
2605.878,4307.125
1250.2737,1309.875
5850.634,8197.0625
6984.002,8431.1875
8213.693,6984.3125
5917.3755,10544.375
8861.343,9897.187
9830.673,12430.375
5797.8174,6012.9375
2263.2107,1908.9375
1673.5018,1057.2188
2527.8425,1845.3125
2440.9912,4121.1875
5102.8306,7330.375
6379.727,5976.7812
5627.462,4608.9375
3154.6863,3784.3125
4924.7324,3273.0
2491.443,3859.4375
6993.0967,5461.25
5363.1562,8162.125
7098.255,7221.3125
5493.222,4963.2188
6234.981,7095.4375
4516.515,3641.0
4454.0713,5478.0
3620.2876,1865.5625
2572.9453,2208.75
3500.4546,4791.5625
5899.6616,7615.5625
5905.318,5875.0625
4752.6343,4660.1875
5342.995,4837.0
5054.85,5072.5625
4485.6216,4060.4375
1851.5526,1799.875
571.25415,2117.9375
949.8695,788.43756
773.3668,550.75
869.6903,547.25
1098.5608,806.5625
2529.12,1995.5625
2525.716,2322.0
1282.751,1288.1875
1408.1411,2217.875
2617.5278,3042.6875
1835.0698,1236.5
1882.928,2058.5
2315.3604,2825.25
1715.746,1753.0625
1772.9398,1546.8125
1175.398,993.9375
2311.8423,2309.4375
2027.619,1983.0
1709.0997,1619.5
2078.301,2350.6875
2570.5488,1914.5
2450.3176,2511.125
619.7391,329.125
1269.238,1471.3125
834.84296,852.75
546.2702,188.6875
352.70355,227.125
307.2472,269.5
280.46362,484.37506
183.18835,234.81262
1235.0035,1695.0
3357.4458,3809.5
5166.6797,2619.75
433.41516,160.75
138.1914,68.4375
1838.0819,1835.5625
1376.0994,1834.125
1293.6741,1450.375
1708.424,1499.3125
2220.3335,1447.5625
1816.1207,1760.4062
1277.3032,1694.2812
1998.7126,2048.0
2018.2767,1871.5312
1149.9935,1963.125
1185.1364,1132.3125
1959.009,1973.9375
1827.54,1583.875
1677.335,1575.5
1159.3488,1188.9375
1276.8131,1075.0
1559.8137,1624.375
1629.522,1514.6875
1210.6342,1533.5625
2046.5564,1891.125
2058.3665,2177.3438
2107.7905,2804.2812
2700.986,2582.75
2582.855,2799.8125
2047.6038,2162.3125
3003.3652,2809.25
1761.0958,1362.2812
1305.6934,1710.3438
2051.681,2208.8125
2904.042,3251.8125
2316.6108,1963.0625
4052.1929,3414.625
3255.7373,2754.6875
1940.7437,1263.0
867.8263,0.0
662.24457,879.25
1766.5605,3610.9375
3116.7383,3491.4375
2435.8462,2217.875
4616.4185,5463.3125
2849.413,2112.3125
4005.9653,4161.0625
2682.6243,3326.5
1606.4344,2099.6875
3096.908,4145.6875
2551.5447,4920.875
3975.454,2511.4375
2563.8535,1613.9375
2594.6958,1920.0625
2144.047,2345.8125
2285.6855,2607.4375
2549.054,2556.875
2797.7817,2048.6875
1608.9551,1875.375
1510.2024,661.18756
1759.7773,2425.5
1724.1478,2940.625
1283.3224,557.06256
1978.2026,2563.5625
2022.0771,2902.1875
2472.9136,1468.5
2230.7532,2097.625
3402.5127,3584.375
4944.496,5426.5
5870.6626,6892.4375
5843.8813,4744.0625
3182.9854,2911.9375
2361.0425,1923.5625
2242.6362,3115.375
2369.078,2623.9375
2366.675,2658.25
2212.2205,2415.625
2033.0305,1563.625
1654.152,1062.4375
3982.4072,5332.625
3689.3823,2411.5
2678.3662,1731.3125
1773.7441,1431.5
2513.3896,2449.2812
4116.4106,2809.875
2784.4417,2927.3125
3225.7297,2543.625
5579.0513,4684.625
2584.3032,2196.1875
2068.6072,2177.375
2284.7651,1618.8438
2271.321,2377.4688
1767.0989,1101.9062
1325.3926,1359.1562
1200.5358,824.75006
1637.1228,1641.1875
1802.2627,1787.25
1324.8353,2006.0625
1771.3926,1156.0625
851.4948,612.3125
1281.067,1179.1875
1060.4806,2506.5
3136.4417,2212.25
1264.3866,1340.2812
524.26654,316.21875
1120.4727,1485.3125
2717.5212,4446.3125
2985.949,1209.25
1798.3195,1346.1875
1680.7483,2083.625
2888.9722,2445.0625
4351.035,2967.875
2591.5771,2018.625
4769.027,3799.6875
2536.24,2227.625
5245.053,4004.0625
2056.1738,1902.625
2603.3481,2000.4375
1774.7734,2016.5625
3800.3838,3176.4375
2890.7585,2812.75
2636.2437,2519.1875
3571.4556,3154.5
2609.6667,2355.25
4182.4414,5189.2812
1190.3156,309.90637
1275.4253,1862.0625
2216.9043,2168.9375
1383.2139,1245.5625
1554.9896,1644.6875
1826.493,1595.75
1243.1842,1012.0625
1052.6674,670.25
1111.6707,1188.9375
2977.1194,3454.4375
3882.329,2390.5
1928.5981,1614.625
3294.518,1098.75
760.1745,320.0625
699.7386,1702.0
680.55396,601.0625
1214.9668,1243.4375
1229.8527,1511.875
5404.281,4901.312
5834.4565,2874.25
4685.52,4836.3125
1607.2546,1073.625
2192.7197,2595.5625
2226.9185,2027.0625
1960.1533,2610.75
1826.4418,1877.5
2109.275,1948.75
2761.9844,3894.75
2022.1593,2649.125
950.45105,0.6876221
2654.308,2872.125
1744.8962,687.75
1514.9192,2741.4375
2216.6255,2484.1875
3262.4915,2175.25
3200.4592,2819.0625
2290.8826,1995.625
1620.1146,1624.4375
1371.8871,1872.5625
2260.4497,2574.375
2167.4614,2057.8125
2476.2896,3230.0
2346.9717,2073.8125
2089.0996,1618.8125
1887.7415,1472.75
1304.5287,1524.1562
1339.2675,1598.9062
2453.745,2647.75
1191.5671,1622.3125
1092.8234,2116.5
5220.598,4131.9375
3018.6738,2598.125
2354.373,1955.75
1642.8046,1950.8125
2740.0151,3368.4375
2977.8928,2568.0625
2027.523,2245.125
4421.378,3146.8125
3181.163,3564.1875
2750.4934,2858.8125
1985.3018,3005.625
4127.5312,3480.3125
2682.1934,2970.0
3003.399,2524.0
2302.0715,2665.1875
2011.8809,2198.3125
4282.364,4916.0
4228.086,4002.375
2374.4417,1778.875
4579.7095,4330.9375
2455.3613,5972.875
1887.9733,2449.9375
4256.1035,3052.4375
3084.712,3019.6562
2618.2754,2359.7812
1589.4619,1195.2812
1237.8784,372.1875
1692.1328,885.125
2742.3938,1878.125
4199.4546,3554.6562
1951.4485,1627.875
1819.6155,2033.375
1909.7855,2054.3438
1860.197,1581.8125
2192.742,3067.125
2720.8315,2777.75
2433.1,1959.2812
2380.172,2829.5
2840.9326,2872.5312
2203.6458,2569.4688
2337.8772,2867.25
4151.682,3070.625
1831.877,1294.8438
1899.4912,2236.0625
2846.026,3227.25
2633.6382,2919.9688
2299.9458,2104.625
2940.2505,4082.125
2908.5776,2902.1875
2817.7864,3072.0312
1188.553,2697.7188
1772.22,1280.9062
1495.5281,2304.5312
2170.266,2751.5625
1281.3042,1523.0312
1974.1735,2504.7812
2102.311,2761.6875
3128.3794,2406.5625
1871.0393,2543.625
2513.1301,3231.4375
2866.8088,2749.8125
2557.4023,2326.1875
2211.5618,2360.75
1780.4678,2016.5625
1277.2537,958.25
1180.426,1250.4375
1266.698,1307.0625
1502.4073,1891.4375
2486.0793,2873.5
3837.292,3955.5625
2603.4873,1823.625
1580.4652,1927.0625
2745.6528,2205.25
2630.6807,3058.75
1794.1267,529.8125
909.0773,515.125
787.96783,631.81256
336.07098,315.9375
1245.1943,682.8125
664.73096,509.875
137.1864,174.4375
3050.2422,1862.0625
626.882,25.8125
10.0061035,11.8125
330.65875,396.31256
170.84082,0.0
66.66638,6.9375
89.109375,48.125122
174.27795,78.25012
494.10364,194.375
24.794556,0.0
699.1195,837.0
253.52637,742.3125
288.3993,9.0625
0.0,0.0
0.0,286.50012
93.659424,25.8125
44.93701,90.12512
36.095947,0.0
22.222412,32.125
18.802002,9.6875
0.0,51.0
540.70935,361.31256
472.87885,110.0625
499.47803,336.46875
66.33826,81.0625
7.250244,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0811768,0.0
936.75037,4460.25
3696.561,2610.6875
3872.2622,3329.9375
3392.9277,3138.0
2652.9185,2684.8125
1225.2776,1260.25
1685.2911,1434.3125
1152.93,901.625
625.2351,380.9375
1192.2606,1739.75
1573.2998,2583.75
1249.5798,1990.6875
1587.4441,1092.8438
1726.6886,2241.5938
2059.178,2257.0312
2234.1719,2594.2812
1183.6135,491.0
536.49713,177.96875
690.91235,747.875
834.98566,1043.5625
723.65,277.4375
