preds,trues
226.31409,153.6875
3705.101,3538.3125
2901.5303,2256.3125
2081.9924,1713.875
4132.2593,4362.4375
2564.3809,2806.4375
4115.0806,4529.5
3381.093,5487.8125
3492.6958,4783.5
4253.1797,3658.5
2019.8986,1501.375
2737.109,2961.5625
2061.8503,3603.3125
2407.6301,1897.0
3448.7417,2935.75
3976.063,3520.75
2687.3787,2642.8125
2385.8823,1378.375
2874.9258,2584.125
2574.9438,2456.9375
2421.0361,2706.5
1991.7122,1121.8125
1820.541,2373.75
2361.1992,2080.875
1695.0308,1795.0
1554.7035,1651.6875
1553.6747,1636.3125
1377.2699,940.125
720.2463,672.375
1355.8229,892.5625
784.8997,660.5
574.39545,596.87506
661.86066,340.375
446.1109,380.875
314.84253,264.875
469.16333,422.8125
1023.3181,713.62506
1115.3043,1585.9375
1207.739,1076.375
688.4473,542.56256
933.6124,789.81256
732.48334,814.25006
790.5328,747.875
1009.60767,1260.875
1076.8628,1216.25
963.00525,713.62506
1192.7925,1429.375
1169.2091,1261.625
1069.3811,840.12506
372.63635,885.5625
50.97412,0.0
608.48755,397.0
93.88208,1838.3125
238.54077,303.3125
444.27228,299.125
444.28546,448.75
643.2412,237.625
758.9728,451.5
280.344,299.8125
254.52185,222.25
112.56372,113.875
49.00171,104.8125
156.15381,205.4375
186.17029,407.50006
404.4521,464.06256
157.91321,150.87512
202.1217,157.87512
128.28601,95.0
225.80664,106.18762
445.75287,277.4375
144.92163,2.0625
159.49792,212.4375
274.36,113.18762
432.76953,596.9375
92.53162,223.50012
187.63611,204.75012
336.45258,117.375
301.73523,266.96875
401.852,107.625
481.2223,269.75
228.31006,252.9375
387.28027,330.56256
415.42468,321.50012
314.14,278.875
344.97467,283.40625
358.5899,264.125
227.56079,290.0
133.07239,37.6875
44.478027,137.0
126.35693,130.625
70.61487,133.40637
97.11694,123.6875
79.63196,135.5625
122.80188,124.3125
178.94885,62.125122
194.89014,118.06262
294.6493,454.93756
211.27942,124.3125
74.50354,41.875
73.67676,66.37512
85.45105,99.25012
94.05823,29.312622
113.32605,93.625
73.23706,77.5
100.24536,68.4375
60.97278,20.53125
161.97583,131.25
63.15039,101.31262
64.28528,127.875
100.474365,136.93762
84.19507,44.0
46.316406,32.75
6.791626,32.0625
29.662598,41.125122
57.21338,50.250122
52.30078,39.0625
142.5719,104.40625
136.89429,132.75
159.55103,147.4375
159.1372,130.28125
161.71155,147.40637
182.76819,201.9375
127.74817,120.125
43.76892,51.6875
166.97778,121.5625
88.134155,113.18762
119.47363,61.500122
155.76392,89.4375
171.33301,104.4375
99.25293,163.5
132.28174,185.87512
89.99695,93.625
133.39233,94.31262
55.69397,33.500122
33.590942,155.125
44.10388,69.1875
33.66858,43.9375
25.432861,59.03125
30.243896,26.15625
22.976196,57.65625
59.68567,77.5625
54.243896,85.25012
16.59729,153.00012
107.58179,143.59387
226.58435,235.15637
0.0,196.4375
124.46753,135.25012
256.85938,52.3125
41.30237,44.625
66.28723,51.656372
