preds,trues
171.16736,167.00012
142.4259,170.5
220.78381,202.625
11.010498,223.625
253.37915,138.3125
153.38379,215.875
137.33496,83.12512
163.92798,164.87512
178.08105,106.18762
825.7406,685.3125
743.8482,437.15625
658.1778,473.15625
449.58826,357.0938
753.8393,1154.375
691.1851,962.78125
1207.5983,1802.3125
533.8391,622.75
644.28864,455.6875
227.82068,363.43756
373.51093,293.50012
690.18854,1033.75
386.22803,383.0
362.62146,271.1875
388.45734,401.1875
477.80225,368.31256
432.78662,380.1875
1073.196,1211.25
576.14844,1005.75
716.4861,1065.875
430.2481,388.56256
295.57874,192.125
311.9873,239.75
496.17108,438.9375
466.67188,321.50012
366.44592,359.25
542.8508,683.5625
758.3759,475.93756
431.3805,378.8125
330.22894,170.5
283.28723,269.75
382.82947,364.125
345.13617,391.37506
645.2709,443.06256
329.2929,243.93762
381.32428,290.75
481.75378,588.50006
711.4587,963.125
518.96356,863.875
628.6144,379.46875
561.86127,489.96875
594.4754,370.75
572.268,964.1875
661.36115,378.50006
430.20404,437.875
471.6648,300.125
373.17688,455.31256
410.23682,608.8125
567.17725,443.06256
532.30804,571.87506
403.1435,329.875
458.2787,327.0625
255.5199,357.8125
447.3332,448.0
595.9701,1276.3125
557.76215,694.125
479.94598,473.875
523.1024,495.5
511.49536,1188.25
1156.9224,1092.5
1417.273,1952.25
1241.7654,2113.6875
785.42194,985.5
2343.5679,1959.9375
765.3466,727.5625
1117.3035,1960.625
424.2279,513.03125
496.33582,508.78125
556.5188,1031.0
489.88538,460.21875
626.23346,1134.4062
362.75696,464.43756
631.244,359.62506
507.6283,467.5625
387.20502,292.59375
458.4735,535.0313
406.42365,144.625
169.69849,184.4375
307.17615,808.6875
302.62378,406.75
594.22815,351.56256
534.56006,297.75012
565.8932,370.37506
288.9973,365.56256
437.74176,471.06256
828.3321,677.9375
428.1897,480.25006
463.39233,413.0625
297.95776,348.0625
447.27448,550.75
782.1459,559.875
312.9873,332.0
450.22748,446.625
534.71094,470.37506
382.47162,304.75012
403.6089,498.3125
369.7094,435.43756
361.22662,341.75006
246.62256,271.1875
441.68945,246.34375
332.8498,166.59375
179.27771,125.03125
198.74536,187.59375
503.03076,408.12506
580.19867,583.25
258.50342,473.875
775.17114,668.125
525.014,606.6875
825.7818,1243.125
397.57318,443.8125
316.93628,283.75
394.57013,277.09387
355.74463,467.87506
340.91168,289.68762
341.35785,391.37506
300.4192,330.56256
694.07263,290.0625
304.41223,333.375
297.8651,203.375
201.02234,284.4375
458.62463,234.125
495.06415,218.0625
391.2437,137.625
282.7096,270.4375
425.5033,327.8125
191.99231,303.625
297.1244,241.78125
416.8026,416.15625
565.12885,555.625
441.8604,455.6875
306.38464,243.1875
254.21265,136.93762
282.58752,162.0625
329.40778,320.0625
208.46411,195.00012
254.8324,274.62512
409.4508,311.6875
91.35803,79.625
218.3263,590.5625
792.0612,705.9375
777.3785,700.3125
494.04364,433.31256
386.65424,388.56256
343.33795,320.75
612.0793,675.18756
675.21185,485.68756
666.27997,770.93756
428.77728,383.6875
337.2079,557.75
643.8163,606.625
644.7014,671.0
487.18585,614.37506
754.29816,734.5625
507.123,583.625
755.7326,720.5625
1079.7123,993.9375
362.00696,251.21887
530.1518,695.8125
314.82886,259.25
367.7168,406.75
363.6106,384.37506
333.40503,350.87506
558.48267,410.375
453.5681,416.9063
447.09528,334.75006
435.78058,471.75
598.01935,399.8125
502.45996,775.875
576.1127,536.37506
518.32245,437.5
819.6849,593.37506
514.02826,450.375
532.6027,380.25
660.84564,566.8125
949.422,1231.5625
697.5558,753.84375
575.0248,627.625
681.686,732.50006
