preds,trues
193.89429,153.6875
3689.4497,3538.3125
2917.5222,2256.3125
2116.092,1713.875
4127.954,4362.4375
2588.1042,2806.4375
4100.9443,4529.5
3395.878,5487.8125
3495.102,4783.5
4243.5376,3658.5
2060.325,1501.375
2798.9966,2961.5625
2104.7446,3603.3125
2447.3555,1897.0
3459.8423,2935.75
3974.9966,3520.75
2698.205,2642.8125
2408.1543,1378.375
2915.9475,2584.125
2611.2576,2456.9375
2437.7236,2706.5
2025.5464,1121.8125
1852.5243,2373.75
2377.358,2080.875
1714.0564,1795.0
1594.9698,1651.6875
1577.7798,1636.3125
1380.3254,940.125
738.431,672.375
1383.0739,892.5625
799.40063,660.5
581.6562,596.87506
665.4932,340.375
446.8556,380.875
311.45508,264.875
470.4624,422.8125
1022.5155,713.62506
1109.7988,1585.9375
1196.769,1076.375
702.2299,542.56256
944.8502,789.81256
749.3025,814.25006
805.47327,747.875
1019.0663,1260.875
1079.54,1216.25
965.04065,713.62506
1193.0647,1429.375
1170.9354,1261.625
1070.5315,840.12506
393.3062,885.5625
67.763916,0.0
619.9062,397.0
87.636475,1838.3125
245.81628,303.3125
449.01178,299.125
443.80316,448.75
650.7459,237.625
762.8573,451.5
295.12073,299.8125
276.91614,222.25
133.91284,113.875
64.89551,104.8125
166.92578,205.4375
190.6521,407.50006
407.8423,464.06256
173.54541,150.87512
217.99414,157.87512
143.14001,95.0
237.9602,106.18762
455.2091,277.4375
152.1377,2.0625
172.89868,212.4375
284.8153,113.18762
446.58295,596.9375
117.111084,223.50012
208.91187,204.75012
343.62946,117.375
304.39624,266.96875
408.65326,107.625
484.55695,269.75
235.07385,252.9375
399.38165,330.56256
425.6325,321.50012
326.3634,278.875
357.94012,283.40625
370.65692,264.125
241.25415,290.0
149.50732,37.6875
60.99292,137.0
138.328,130.625
83.41577,133.40637
110.4939,123.6875
92.647705,135.5625
136.66956,124.3125
192.5199,62.125122
209.21484,118.06262
306.20264,454.93756
225.85583,124.3125
94.17212,41.875
88.67078,66.37512
98.9032,99.25012
106.345825,29.312622
123.487305,93.625
85.54785,77.5
115.809814,68.4375
77.460815,20.53125
175.83643,131.25
78.661865,101.31262
81.07605,127.875
115.51965,136.93762
99.15369,44.0
62.64868,32.75
23.1073,32.0625
45.016357,41.125122
72.1853,50.250122
66.853516,39.0625
155.79651,104.40625
150.82239,132.75
173.4148,147.4375
174.25989,130.28125
177.61841,147.40637
197.26965,201.9375
144.32031,120.125
61.83484,51.6875
180.41003,121.5625
103.037964,113.18762
133.45471,61.500122
167.44202,89.4375
183.83301,104.4375
113.84436,163.5
147.21729,185.87512
106.5293,93.625
149.17297,94.31262
72.72595,33.500122
49.496582,155.125
60.431396,69.1875
48.82263,43.9375
41.590454,59.03125
47.9917,26.15625
38.475464,57.65625
75.11365,77.5625
69.558716,85.25012
33.463013,153.00012
123.02576,143.59387
240.85327,235.15637
13.004639,196.4375
142.06348,135.25012
270.53577,52.3125
59.14746,44.625
83.75952,51.656372
130.87769,74.75
118.286255,58.0
82.11255,62.1875
62.797607,81.0
27.306152,76.8125
305.27625,130.6875
247.88611,25.437622
110.86804,190.0625
127.59241,153.6875
61.795654,39.0625
50.767944,100.625
157.68665,219.4375
185.58691,122.93762
199.03528,192.625
380.90363,90.75
442.3405,353.62506
187.00073,173.25
179.47327,118.06262
66.31238,34.1875
36.19104,55.843872
51.13037,129.25
119.716675,204.75012
208.59106,123.0625
109.083496,109.6875
126.46301,113.18762
65.99243,143.5625
73.36401,81.0
228.21008,81.8125
72.673706,90.8125
47.541138,27.9375
59.877075,35.625
42.186523,24.03125
54.19995,50.21875
38.55371,18.125
35.411743,20.875
27.039185,20.9375
31.61316,32.0625
57.552002,41.1875
70.87903,80.3125
99.61658,48.1875
42.642944,18.125
57.034912,38.437622
1980.4636,2483.5625
3151.6958,3296.4375
1119.6396,793.31256
1402.5743,963.4375
200.49963,260.62512
