preds,trues
184.18213,167.00012
155.56995,170.5
232.81885,202.625
28.596436,223.625
266.69348,138.3125
167.2998,215.875
151.47998,83.12512
177.77002,164.87512
189.87683,106.18762
829.37524,685.3125
750.2486,437.15625
667.0295,473.15625
463.38428,357.0938
763.7656,1154.375
697.0833,962.78125
1203.6113,1802.3125
544.91766,622.75
660.1681,455.6875
251.93127,363.43756
393.956,293.50012
699.4436,1033.75
385.48834,383.0
372.6305,271.1875
395.34558,401.1875
482.94708,368.31256
441.3708,380.1875
1072.0352,1211.25
583.2086,1005.75
724.2534,1065.875
447.3783,388.56256
316.69824,192.125
328.9496,239.75
506.16144,438.9375
471.26825,321.50012
375.70892,359.25
549.23804,683.5625
762.10205,475.93756
446.21307,378.8125
347.68103,170.5
299.65027,269.75
391.2658,364.125
352.70563,391.37506
650.3816,443.06256
335.78986,243.93762
393.07513,290.75
492.76624,588.50006
718.3577,963.125
527.78467,863.875
638.7734,379.46875
576.2435,489.96875
606.84875,370.75
584.1152,964.1875
669.9333,378.50006
442.5854,437.875
481.0625,300.125
383.6361,455.31256
419.62482,608.8125
573.80927,443.06256
538.67206,571.87506
413.34497,329.875
471.0241,327.0625
265.7505,357.8125
456.63947,448.0
602.3003,1276.3125
563.1624,694.125
495.49573,473.875
537.3974,495.5
527.37036,1188.25
1151.3885,1092.5
1387.0676,1952.25
1233.6881,2113.6875
793.9033,985.5
2343.2441,1959.9375
782.21796,727.5625
1126.3486,1960.625
437.10193,513.03125
508.67517,508.78125
567.3061,1031.0
495.77002,460.21875
634.58563,1134.4062
371.17224,464.43756
639.96606,359.62506
519.0897,467.5625
407.1513,292.59375
473.96405,535.0313
421.5105,144.625
181.92664,184.4375
316.51807,808.6875
306.9557,406.75
596.2994,351.56256
541.53625,297.75012
573.9978,370.37506
303.67517,365.56256
450.53137,471.06256
832.9252,677.9375
438.29236,480.25006
475.93683,413.0625
313.69763,348.0625
460.81805,550.75
786.8909,559.875
325.18457,332.0
462.81458,446.625
543.5373,470.37506
394.07892,304.75012
414.0155,498.3125
381.43945,435.43756
371.34332,341.75006
258.63416,271.1875
450.96326,246.34375
342.71704,166.59375
188.99182,125.03125
206.90515,187.59375
510.67725,408.12506
585.2665,583.25
273.1466,473.875
781.2863,668.125
534.9148,606.6875
832.0077,1243.125
411.23096,443.8125
334.38306,283.75
405.38397,277.09387
366.9314,467.87506
349.74164,289.68762
349.96283,391.37506
311.01172,330.56256
700.77795,290.0625
318.1449,333.375
311.40796,203.375
218.31323,284.4375
467.28076,234.125
501.4303,218.0625
398.19952,137.625
291.89978,270.4375
432.37537,327.8125
202.01855,303.625
308.85254,241.78125
425.70984,416.15625
572.5415,555.625
452.5869,455.6875
322.02393,243.1875
272.70105,136.93762
297.41077,162.0625
340.14526,320.0625
218.89807,195.00012
263.15063,274.62512
415.03632,311.6875
105.172,79.625
231.57227,590.5625
794.14813,705.9375
779.3736,700.3125
507.03815,433.31256
406.049,388.56256
362.2968,320.75
623.248,675.18756
683.99695,485.68756
672.95087,770.93756
438.0268,383.6875
353.54468,557.75
653.0593,606.625
653.8052,671.0
498.15967,614.37506
761.7689,734.5625
518.7836,583.625
764.1028,720.5625
1078.4203,993.9375
375.38464,251.21887
544.2975,695.8125
325.93518,259.25
369.6441,406.75
368.279,384.37506
340.7182,350.87506
564.2967,410.375
464.45984,416.9063
459.24353,334.75006
448.56177,471.75
606.5158,399.8125
512.0697,775.875
584.1812,536.37506
527.80695,437.5
825.9246,593.37506
526.48944,450.375
544.20087,380.25
670.94214,566.8125
952.8684,1231.5625
705.15686,753.84375
588.16516,627.625
693.2199,732.50006
