preds,trues
419.60242,283.75
743.7945,645.4375
413.6942,376.75006
381.18085,378.8125
685.2821,1130.9375
748.3813,799.5625
443.05872,534.0
455.77716,379.50006
612.52637,592.00006
756.5425,659.125
694.1218,142.84375
1446.627,839.06256
553.5738,647.875
1634.1915,1789.375
1131.9022,1184.9375
1301.6859,1350.4062
1375.9088,1691.5
1388.3452,1707.625
1154.7482,899.5625
952.996,1068.6875
954.34265,977.8125
1245.3827,2125.9688
2575.498,2930.1875
2322.3518,2385.625
2125.1729,2436.6875
2406.0845,2013.4375
2349.8188,2151.5
1103.9028,1686.625
1611.2844,1177.75
1139.3381,1502.8125
298.11182,249.15625
421.61273,481.5
698.9779,424.9375
590.51013,429.62506
1340.499,1171.4375
493.48553,489.25006
1332.2117,1577.9688
1202.845,767.43756
694.81525,873.6875
746.8146,616.4375
431.10522,348.75006
339.81165,284.125
365.7564,297.0
230.3064,272.5625
335.98035,273.9375
348.89185,359.59375
406.76318,399.0625
599.952,1173.5625
1027.319,957.5625
462.1048,640.9375
397.75275,472.06256
810.3379,690.50006
425.04663,0.6876221
855.4906,715.00006
1114.5562,1280.5
841.5877,452.25006
774.7193,1632.125
2008.7019,1773.3125
596.2528,1143.5
1383.3125,769.87506
1191.912,1564.3125
903.2156,1243.5
1142.3944,807.31256
149.69092,27.9375
166.30981,137.625
139.5039,179.5625
100.099976,0.34375
62.95227,0.0
74.53308,0.0
59.40747,0.0
56.406372,0.0
45.2146,10.8125
47.261475,0.0
229.75452,532.56256
472.8269,388.25006
210.17163,31.375122
7030.4404,6763.4375
4584.9067,3473.25
5352.671,7457.625
5404.345,4418.625
4217.2026,2997.25
5484.6973,3729.125
3893.92,3511.6875
2819.4614,3313.9062
2934.0493,3160.4688
3272.713,2814.125
2100.7678,2477.875
1579.0992,2132.25
2901.874,2869.375
2569.5269,1985.125
883.30725,1777.0938
1051.889,1808.9375
1119.3341,1088.9375
515.07446,227.125
314.84448,231.3125
610.13806,525.56256
313.83704,191.4375
442.4649,294.875
300.526,412.37506
945.18726,503.25006
811.81415,1126.75
296.01025,289.3125
275.45703,214.5
177.6333,189.3125
260.65698,180.25
223.72546,140.4375
