preds,trues
1039.4381,789.125
2539.9514,1525.125
1821.5212,1202.1875
994.3617,1490.875
4592.2515,5102.625
2255.1528,2252.1875
2604.2412,3202.75
2017.7075,1256.0625
962.5367,824.0625
1813.816,1890.6875
748.9123,742.9375
1031.5739,477.625
719.8585,858.3125
1086.8738,1477.625
1539.0188,2345.0625
1502.7954,1409.875
1468.236,1055.375
772.9075,443.8125
552.18036,516.5
640.88074,789.81256
1326.3436,1032.625
1013.0667,1168.0
1334.17,1672.6875
719.74084,594.8125
860.05676,903.0625
517.8333,637.4375
889.7158,868.09375
1634.322,1459.125
682.6099,710.84375
653.37036,586.4063
485.16437,503.25006
491.87793,530.84375
577.65015,437.875
654.0148,856.9375
463.365,398.75
580.32996,565.46875
918.89166,1120.375
1088.896,971.5
164.89978,185.125
219.94043,895.25
818.74695,847.84375
548.20636,396.65625
737.08704,1520.2188
709.3035,688.4375
926.8578,1241.75
1107.091,874.40625
586.29517,452.5625
440.48578,278.15637
563.6577,505.6563
478.34918,348.37506
1014.99713,781.375
337.98602,407.40625
700.71,696.8125
513.93524,554.25
374.51526,408.12506
722.06903,694.75
497.58655,376.0
512.75323,704.50006
966.22375,1332.25
1142.6184,1170.0625
1463.6664,2082.25
555.2758,360.62506
697.83746,915.625
709.5122,981.3125
1299.3119,1295.9375
496.44568,384.37506
1051.891,916.3125
1301.317,1400.0625
3036.4736,2448.2188
3223.102,3057.0312
3456.4072,3588.9688
3205.9397,5171.875
1747.4583,1558.6875
1881.7078,2433.625
1986.1487,1536.6562
916.60815,888.3125
1233.6462,1377.0
1478.5309,1490.1875
1115.1921,1174.9375
1167.5316,929.625
757.8004,942.875
1258.18,1215.75
918.23914,1313.375
439.97552,408.12506
556.6682,503.18756
893.42334,1169.375
1029.7983,947.75
671.74994,794.0
905.0107,945.0
969.249,1020.4375
901.11426,453.75006
680.221,1130.1875
714.5787,452.18756
668.8542,784.25
661.5949,840.8125
1192.795,1187.5625
818.7564,891.875
1086.6002,1290.3125
1414.8964,1546.125
870.6813,1077.8125
336.79468,386.50006
1533.4817,1616.0
1244.5607,1300.75
1629.6112,1638.4375
1504.8773,1925.6875
2021.6897,1989.3125
667.1933,596.87506
1527.8364,1165.125
1070.5328,1004.40625
1005.6587,1091.8125
1145.9203,877.34375
407.01093,533.21875
557.17316,606.2813
595.18616,566.84375
431.7234,96.40625
133.75305,17.0625
412.90265,274.96887
707.6542,255.0625
816.11865,849.4375
1323.1283,1531.4375
1268.6927,1323.875
1232.7147,1435.0
1168.7723,1490.1875
1096.8379,1141.375
837.66736,1090.375
492.95825,378.75
619.3886,698.25
284.8297,199.1875
1068.5876,1047.7188
354.76532,523.46875
246.06055,219.0625
780.23645,468.96875
603.6927,840.8125
380.52502,348.0
363.68512,455.6875
530.0322,578.00006
183.52173,239.0
192.63062,309.0
206.4873,156.5
214.54419,133.4375
378.25665,441.0
332.68018,308.9375
169.16382,46.03125
108.65845,12.562622
430.69055,256.8125
345.30627,326.375
171.26562,149.5625
438.70447,409.56256
415.9489,413.7813
244.9292,169.40637
139.26794,91.18762
221.06873,427.75
130.17957,144.75
116.64026,110.375
73.18762,81.6875
125.666504,238.3125
144.82483,142.875
94.493164,78.875
151.53955,91.5
228.7478,190.0625
120.33557,75.4375
155.35022,133.4375
77.20996,25.0625
73.77771,63.5625
86.63379,55.125122
50.16687,35.5625
101.579346,58.625
206.99622,37.6875
199.56921,60.000122
263.82642,195.00012
217.25464,121.0625
319.8108,452.18756
594.84045,706.62506
613.99927,327.0625
1576.9746,1207.125
1454.7784,1237.1875
875.7398,830.3125
956.8982,791.1875
558.1833,476.625
387.92786,224.28125
357.89813,348.6875
371.63037,269.75
366.68842,255.81262
427.88055,208.1875
171.77539,116.0
348.8653,236.1875
153.19128,108.25
170.97034,183.4375
427.83783,102.0
173.01123,273.25
648.33295,459.18756
295.99548,498.43756
62.61682,260.0
266.34045,269.75
709.1762,290.75
407.0102,283.75
326.94666,421.43756
348.89557,436.8125
238.08813,206.1875
287.724,276.0625
159.62463,475.25006
117.07898,929.5625
161.24402,90.06262
420.60693,218.375
216.17407,22.34375
152.39221,85.25012
389.9712,568.9375
476.11963,1080.625
1123.3514,1762.8125
2479.6904,2719.75
1993.2537,1762.8125
1918.8337,1732.75
1973.5315,2018.625
2864.548,2997.9375
2750.8064,3092.2812
2133.5684,2353.9688
1674.9021,939.375
447.7948,865.28125
512.6761,457.8125
410.8758,518.625
490.41528,316.5625
340.16803,220.81262
330.6507,187.3125
304.2788,299.8125
392.54236,340.375
267.6316,464.06256
345.3806,311.6875
652.18524,696.875
558.38055,437.5
706.9313,575.87506
624.28815,675.0
550.9738,743.00006
809.4352,501.8125
244.2539,139.75
686.4083,1760.75
1722.0167,1451.0625
820.9248,988.3125
920.3745,168.09375
309.3562,0.34375
283.60132,292.875
259.07312,292.8125
340.66418,210.3125
276.05945,308.1875
549.75775,1010.0
690.1912,420.75
323.2655,496.25006
538.99945,566.125
