preds,trues
418.75482,283.75
745.2294,645.4375
402.36383,376.75006
373.1068,378.8125
684.3107,1130.9375
766.3008,799.5625
446.4035,534.0
436.74524,379.50006
617.6921,592.00006
759.70624,659.125
699.15,142.84375
1462.827,839.06256
571.4271,647.875
1659.6877,1789.375
1160.8412,1184.9375
1336.4454,1350.4062
1411.4728,1691.5
1416.9642,1707.625
1171.1188,899.5625
937.5982,1068.6875
959.05133,977.8125
1258.153,2125.9688
2577.96,2930.1875
2319.4307,2385.625
2162.4355,2436.6875
2440.9302,2013.4375
2363.0417,2151.5
1172.5804,1686.625
1574.8118,1177.75
1116.6475,1502.8125
298.65942,249.15625
381.8355,481.5
671.2573,424.9375
574.32935,429.62506
1354.3931,1171.4375
511.2256,489.25006
1370.7867,1577.9688
1245.0753,767.43756
717.1828,873.6875
748.9868,616.4375
416.96283,348.75006
323.38977,284.125
317.25427,297.0
198.89722,272.5625
296.7964,273.9375
321.8103,359.59375
399.6001,399.0625
598.69464,1173.5625
1054.2017,957.5625
477.4901,640.9375
393.90436,472.06256
819.82935,690.50006
420.35742,0.6876221
852.87854,715.00006
1133.2445,1280.5
880.8484,452.25006
780.29675,1632.125
2052.704,1773.3125
630.01306,1143.5
1406.5354,769.87506
1209.38,1564.3125
931.72485,1243.5
1150.978,807.31256
115.66077,27.9375
129.69629,137.625
79.10254,179.5625
31.499512,0.34375
0.0,0.0
23.383057,0.0
29.149048,0.0
22.384766,0.0
20.484497,10.8125
25.003174,0.0
212.57666,532.56256
475.85596,388.25006
213.68274,31.375122
6506.859,6763.4375
4510.9756,3473.25
5150.803,7457.625
5338.9526,4418.625
4162.5146,2997.25
5343.511,3729.125
3878.4014,3511.6875
2839.3984,3313.9062
2946.5918,3160.4688
3220.4731,2814.125
2145.3657,2477.875
1598.407,2132.25
2878.933,2869.375
2581.5972,1985.125
1024.9983,1777.0938
1145.3573,1808.9375
1106.1115,1088.9375
501.2079,227.125
245.44763,231.3125
590.3089,525.56256
288.35693,191.4375
407.3376,294.875
265.62952,412.37506
974.5705,503.25006
840.0856,1126.75
304.1416,289.3125
273.93323,214.5
164.3789,189.3125
230.27234,180.25
182.48889,140.4375
