preds,trues
1075.9697,789.125
2483.9348,1525.125
1950.9307,1202.1875
970.8795,1490.875
4505.6475,5102.625
2303.6287,2252.1875
2612.4968,3202.75
1992.0182,1256.0625
1067.5256,824.0625
1685.0491,1890.6875
627.6184,742.9375
910.7876,477.625
672.9325,858.3125
1104.216,1477.625
1571.6404,2345.0625
1535.8901,1409.875
1500.677,1055.375
793.3552,443.8125
538.2287,516.5
609.1783,789.81256
1325.4703,1032.625
1026.687,1168.0
1375.8871,1672.6875
762.6125,594.8125
876.50073,903.0625
510.07098,637.4375
897.3086,868.09375
1643.8147,1459.125
691.4617,710.84375
669.1966,586.4063
462.31604,503.25006
486.818,530.84375
562.92676,437.875
642.4759,856.9375
471.60175,398.75
587.42255,565.46875
929.9581,1120.375
1120.3927,971.5
155.3562,185.125
191.90784,895.25
835.1918,847.84375
550.9404,396.65625
729.4705,1520.2188
734.188,688.4375
958.76196,1241.75
1119.8982,874.40625
592.9118,452.5625
427.9662,278.15637
541.2949,505.6563
463.524,348.37506
1013.443,781.375
329.44678,407.40625
714.85516,696.8125
516.11914,554.25
361.34625,408.12506
729.1015,694.75
499.38684,376.0
524.9433,704.50006
976.9726,1332.25
1178.0579,1170.0625
1500.8732,2082.25
582.7295,360.62506
709.1152,915.625
707.67615,981.3125
1315.7612,1295.9375
485.1402,384.37506
1060.9429,916.3125
1307.6196,1400.0625
3006.8599,2448.2188
3191.427,3057.0312
3429.2686,3588.9688
3213.6443,5171.875
1734.5293,1558.6875
2029.8801,2433.625
1984.198,1536.6562
1049.1006,888.3125
1402.355,1377.0
1469.5131,1490.1875
1130.2251,1174.9375
1297.0005,929.625
757.11,942.875
1290.024,1215.75
926.51245,1313.375
442.00763,408.12506
539.48413,503.18756
886.0906,1169.375
1052.5718,947.75
669.05646,794.0
928.1504,945.0
1005.2068,1020.4375
921.8115,453.75006
671.59467,1130.1875
721.2435,452.18756
665.1588,784.25
657.36005,840.8125
1212.7855,1187.5625
844.0425,891.875
1113.975,1290.3125
1443.2289,1546.125
899.0374,1077.8125
318.30005,386.50006
1532.3077,1616.0
1283.9,1300.75
1655.2827,1638.4375
1526.0863,1925.6875
2084.835,1989.3125
666.9408,596.87506
1484.0544,1165.125
1072.2722,1004.40625
1018.3103,1091.8125
1166.3654,877.34375
391.4392,533.21875
554.86945,606.2813
557.0817,566.84375
408.643,96.40625
76.3031,17.0625
387.05426,274.96887
704.2137,255.0625
820.06616,849.4375
1352.972,1531.4375
1313.1198,1323.875
1275.0006,1435.0
1208.776,1490.1875
1132.5333,1141.375
834.5137,1090.375
466.6463,378.75
607.3263,698.25
258.2953,199.1875
1083.4702,1047.7188
347.97845,523.46875
205.11145,219.0625
782.573,468.96875
614.6258,840.8125
377.26703,348.0
339.7437,455.6875
543.2407,578.00006
161.88245,239.0
158.33301,309.0
173.2268,156.5
190.41931,133.4375
348.78955,441.0
310.82654,308.9375
148.52356,46.03125
79.586426,12.562622
420.35803,256.8125
332.51068,326.375
149.20752,149.5625
428.59235,409.56256
415.11597,413.7813
237.11316,169.40637
118.757324,91.18762
204.01123,427.75
107.410034,144.75
72.37512,110.375
38.58667,81.6875
98.25073,238.3125
117.79639,142.875
67.1792,78.875
129.44409,91.5
210.30054,190.0625
100.443115,75.4375
132.5492,133.4375
50.602295,25.0625
47.547974,63.5625
57.03711,55.125122
18.631714,35.5625
76.9375,58.625
185.5227,37.6875
182.1919,60.000122
248.54492,195.00012
204.36255,121.0625
313.8125,452.18756
597.6948,706.62506
620.05145,327.0625
1591.2902,1207.125
1489.5096,1237.1875
910.92224,830.3125
986.21246,791.1875
571.2278,476.625
366.57465,224.28125
327.55273,348.6875
344.1023,269.75
324.87598,255.81262
407.54797,208.1875
145.74341,116.0
335.77045,236.1875
132.05945,108.25
147.49377,183.4375
411.60596,102.0
151.15686,273.25
645.8987,459.18756
282.58948,498.43756
39.85437,260.0
248.13098,269.75
704.1611,290.75
400.06866,283.75
317.34497,421.43756
342.85876,436.8125
222.43164,206.1875
270.3916,276.0625
127.269775,475.25006
88.01697,929.5625
133.60144,90.06262
406.58423,218.375
197.23694,22.34375
128.26746,85.25012
378.2155,568.9375
462.1599,1080.625
1147.2269,1762.8125
2493.9758,2719.75
2052.185,1762.8125
2003.0303,1732.75
2023.4581,2018.625
2808.342,2997.9375
2727.5933,3092.2812
2128.469,2353.9688
1668.1984,939.375
593.988,865.28125
478.8236,457.8125
442.65723,518.625
458.5843,316.5625
260.85437,220.81262
288.72693,187.3125
263.9568,299.8125
371.2801,340.375
227.3291,464.06256
335.17365,311.6875
660.5322,696.875
569.38385,437.5
720.35693,575.87506
631.9043,675.0
548.1402,743.00006
815.8768,501.8125
220.9906,139.75
681.65784,1760.75
1750.6603,1451.0625
852.4256,988.3125
932.9521,168.09375
289.08447,0.34375
275.76514,292.875
216.42041,292.8125
281.29517,210.3125
243.62048,308.1875
535.8588,1010.0
705.7303,420.75
329.37244,496.25006
537.7406,566.125
721.54114,652.06256
729.9467,594.75006
680.0405,629.75
783.50146,730.375
539.47424,682.93756
1162.9626,1248.375
1228.7701,1311.9375
792.06055,534.68756
289.41785,180.9375
232.15332,223.625
400.41058,202.00012
33.734375,0.0
12.462402,0.0
23.08081,0.0
22.234863,0.0
4.56958,4.125
15.401855,1.71875
652.5689,591.65625
743.43604,763.93756
995.72546,3516.625
1722.2596,2203.1875
1232.926,1036.5625
1611.6345,1873.25
1658.6284,1952.25
1830.0983,1953.6875
1747.4261,1877.4375
2023.7964,1906.0625
1684.27,2093.4375
2186.3088,2007.5
1537.5356,1469.25
1686.2421,1760.0625
2542.117,1130.25
1078.6567,1123.9375
1684.8806,1769.125
1754.0474,1705.5
1783.2031,2091.3125
1564.8091,1439.1875
1261.7491,1585.9375
1704.6897,1402.8125
1381.4187,1510.8438
1223.1561,1062.4688
1909.7742,2457.625
2303.9941,2247.9375
1927.3125,1734.6875
1669.0049,1213.4375
1446.8497,1292.75
1641.7812,2220.2812
2267.7783,2329.3125
1713.2794,1950.1562
1806.5797,1686.9688
5272.6016,4630.8125
1182.8816,988.3125
2429.65,1919.375
879.48865,339.0
199.45154,264.8125
473.37665,497.9375
646.87195,473.12506
607.00916,423.9063
432.21326,497.62506
1510.651,2786.1875
1119.4863,1503.5
2043.3789,1579.0
1647.4574,1013.5
1086.7314,979.9375
1238.2753,638.25
1306.8021,1222.5
797.7775,759.75
1867.4233,2548.875
792.53015,320.40625
642.14276,760.40625
851.1897,1592.25
3581.4282,2533.8125
2696.2358,3585.75
3307.65,4727.25
1598.8096,1393.0625
1649.4338,2770.8125
2759.164,2487.0
2552.757,4011.5
5186.7256,2434.125
5381.3906,4851.6875
6283.163,6222.4375
4235.4263,4938.375
4455.295,3630.5625
2350.6108,2705.0625
1364.4644,2618.4375
4705.0835,3454.375
5353.866,6249.6875
5570.664,5030.0
1740.17,3026.625
8230.739,7161.1875
6298.4062,4418.3438
823.1725,460.21875
678.7826,257.875
955.5974,610.87506
731.5773,551.43756
426.3534,627.25006
727.6708,350.8125
2126.5996,1077.8125
1613.8087,2367.7812
5249.728,5435.6875
2933.0166,1820.125
7477.406,9130.3125
6168.2812,7778.4375
6079.4653,6945.1875
4914.8936,4741.9375
4057.9365,6599.8438
5268.5337,6216.875
3993.192,6218.8125
5180.4834,4470.0625
2383.1577,1758.625
2496.408,1725.0625
3709.896,3371.875
3888.6543,2156.375
3409.7666,4177.875
1324.6334,1372.8125
1877.1962,2008.8125
1215.0122,2550.9062
1312.3049,1176.375
1158.3699,754.125
1129.4382,1118.3125
210.90173,414.62506
1823.7869,2062.0
1415.0187,1390.25
2817.2097,1859.9375
1555.254,2225.9375
3636.8281,3172.375
5390.0596,6582.7188
6442.9424,7199.625
1895.3657,3346.0625
3884.6885,2695.9375
4977.2627,7569.375
6116.5356,4035.5
4360.138,5033.4062
3944.8994,2034.3438
1877.1951,2182.875
4741.771,3731.9375
3627.7358,3664.125
2670.8547,3722.8125
1682.1007,1195.1875
814.7439,590.5625
235.66357,499.0625
273.77454,382.9375
1323.8315,849.25
2509.5005,1151.875
4317.667,3439.6875
1789.1835,1976.6875
2681.6372,2358.375
4419.67,4009.4375
4486.7095,1901.875
5509.638,5523.4375
3902.5005,2968.5625
1470.8193,1399.3125
556.11395,381.62506
176.37427,95.6875
327.3374,99.9375
229.86755,298.25
510.0589,456.37506
773.24786,967.3125
1290.8071,1300.0625
1280.7009,1028.875
1275.355,2361.1875
1542.6332,2085.0625
2558.179,2215.0625
2354.102,2458.375
3229.7207,3007.75
