preds,trues
227.64746,153.6875
3879.628,3538.3125
2708.3333,2256.3125
1986.2346,1713.875
3923.4878,4362.4375
2354.5098,2806.4375
4015.0332,4529.5
3405.6958,5487.8125
3507.1514,4783.5
4184.382,3658.5
1627.0537,1501.375
2568.3032,2961.5625
1738.7234,3603.3125
2464.585,1897.0
3353.126,2935.75
4148.082,3520.75
2590.3726,2642.8125
2218.3008,1378.375
2885.0164,2584.125
2611.6047,2456.9375
2346.8367,2706.5
2041.2758,1121.8125
1838.0408,2373.75
2235.3704,2080.875
1571.543,1795.0
1581.4878,1651.6875
1566.967,1636.3125
1423.5981,940.125
724.9809,672.375
1453.0449,892.5625
781.1188,660.5
486.27448,596.87506
599.15686,340.375
391.89172,380.875
284.21045,264.875
436.73505,422.8125
1063.7866,713.62506
1234.2393,1585.9375
1299.197,1076.375
702.5069,542.56256
1008.71674,789.81256
778.0678,814.25006
787.2723,747.875
1058.4417,1260.875
1114.5143,1216.25
945.3912,713.62506
1298.3378,1429.375
1277.4889,1261.625
1072.2858,840.12506
375.66516,885.5625
117.73767,0.0
614.9546,397.0
159.46472,1838.3125
185.89917,303.3125
355.23865,299.125
407.25458,448.75
672.4524,237.625
748.15125,451.5
296.0547,299.8125
255.29065,222.25
168.87305,113.875
115.07739,104.8125
151.83826,205.4375
160.99353,407.50006
371.10217,464.06256
191.62476,150.87512
190.99121,157.87512
142.7096,95.0
220.72461,106.18762
436.61273,277.4375
137.52075,2.0625
182.34937,212.4375
262.4004,113.18762
404.4641,596.9375
163.88416,223.50012
163.16455,204.75012
314.68555,117.375
299.7921,266.96875
359.7594,107.625
441.06744,269.75
199.31543,252.9375
366.57904,330.56256
368.55017,321.50012
306.50732,278.875
319.614,283.40625
329.07263,264.125
225.93909,290.0
141.50598,37.6875
72.994385,137.0
143.62085,130.625
95.92236,133.40637
110.3186,123.6875
95.64966,135.5625
135.14563,124.3125
185.5199,62.125122
208.5586,118.06262
294.32092,454.93756
221.64111,124.3125
93.16101,41.875
88.458374,66.37512
109.971924,99.25012
100.69397,29.312622
117.986084,93.625
88.2583,77.5
115.527466,68.4375
86.37488,20.53125
176.27405,131.25
88.27429,101.31262
91.84485,127.875
110.9043,136.93762
97.02515,44.0
68.53772,32.75
41.307373,32.0625
58.065918,41.125122
80.99805,50.250122
82.91199,39.0625
150.98157,104.40625
143.29822,132.75
164.96924,147.4375
160.37866,130.28125
169.2013,147.40637
181.19666,201.9375
139.18176,120.125
82.364624,51.6875
182.1549,121.5625
101.95825,113.18762
134.29492,61.500122
152.76038,89.4375
175.08875,104.4375
117.81775,163.5
139.14258,185.87512
116.48743,93.625
138.55518,94.31262
84.17322,33.500122
57.02466,155.125
55.600098,69.1875
61.224365,43.9375
53.99536,59.03125
66.66736,26.15625
60.452637,57.65625
87.66016,77.5625
90.04993,85.25012
45.629272,153.00012
121.859985,143.59387
238.89148,235.15637
24.433594,196.4375
140.93225,135.25012
259.0205,52.3125
65.58911,44.625
72.32568,51.656372
120.65222,74.75
100.28552,58.0
70.349,62.1875
64.10315,81.0
33.085205,76.8125
290.1443,130.6875
226.18018,25.437622
107.36438,190.0625
128.31824,153.6875
75.288574,39.0625
65.98682,100.625
152.02283,219.4375
170.17981,122.93762
179.01819,192.625
362.79034,90.75
425.26324,353.62506
181.6128,173.25
167.29517,118.06262
69.25281,34.1875
41.686523,55.843872
47.419556,129.25
101.461914,204.75012
184.39941,123.0625
106.31946,109.6875
129.453,113.18762
79.91943,143.5625
83.20386,81.0
209.81787,81.8125
71.95154,90.8125
57.855713,27.9375
58.731445,35.625
45.752197,24.03125
66.747314,50.21875
48.700806,18.125
49.084473,20.875
42.74536,20.9375
51.8573,32.0625
69.253784,41.1875
74.9187,80.3125
101.79529,48.1875
55.240112,18.125
65.09387,38.437622
1780.4917,2483.5625
3090.9407,3296.4375
1013.27094,793.31256
1478.0856,963.4375
269.7434,260.62512
1649.3391,1077.125
984.8667,1303.5625
1035.9823,653.5
1646.0203,963.875
2591.5334,2378.625
1627.7125,1591.5625
851.1571,911.4375
441.6505,422.12506
392.89868,1272.8125
644.2824,709.4375
463.8288,1014.875
800.5337,603.25
1224.8297,575.53125
700.7146,731.5
928.5824,1728.5312
1290.9891,1001.625
798.7058,347.375
377.3783,395.62506
316.10547,221.5
501.51923,464.06256
407.14594,534.0
553.908,498.3125
241.2633,427.00006
293.68372,880.6875
1576.3589,1239.6562
441.50037,773.0
1327.4452,1362.25
262.1848,323.62512
210.50415,610.125
312.07385,398.37506
217.39148,48.875
500.39856,404.625
353.28668,1223.9062
1036.2292,831.75006
588.33185,267.68762
192.38489,605.25006
514.7739,136.25
162.25378,141.125
553.6486,976.5
1129.849,1009.3125
894.1299,1320.3125
106.31836,0.0
43.532104,0.0
39.479004,0.0
240.84668,1052.5938
1157.7727,1062.375
866.28625,999.5
898.4103,840.12506
1057.6769,1567.0625
1151.0594,1168.6875
1005.7553,1342.0
1596.3911,1685.875
668.9327,691.9375
1244.0895,1012.8125
772.1478,563.5625
540.702,961.375
855.4048,997.03125
647.86743,794.0
777.18524,928.25
816.472,427.6875
694.2565,600.37506
300.708,0.0
621.04956,982.0625
1306.1683,1247.625
1065.8406,1494.0625
903.7788,830.75
218.75049,0.34375
883.7772,685.68756
455.3631,680.75
456.06622,1157.5
1018.3942,1282.625
591.2056,824.75006
960.2185,1021.875
1039.8756,1297.2812
1239.467,1503.0938
472.68018,917.75
443.75995,373.25
520.7335,194.9375
380.97266,476.0
245.68848,153.00012
216.81421,307.50012
186.8695,180.3125
223.20593,198.4375
277.63306,442.43756
537.6522,516.1563
417.46893,582.53125
686.8559,1091.8125
725.3433,782.125
