preds,trues
173.31323,167.00012
142.91785,170.5
218.66736,202.625
40.373657,223.625
250.12134,138.3125
158.9939,215.875
138.80359,83.12512
176.25208,164.87512
166.87805,106.18762
843.099,685.3125
783.5703,437.15625
636.87146,473.15625
443.88507,357.0938
777.2958,1154.375
620.77216,962.78125
1317.374,1802.3125
492.17847,622.75
605.12354,455.6875
351.86847,363.43756
370.88947,293.50012
702.9487,1033.75
351.62415,383.0
329.38342,271.1875
342.35382,401.1875
456.45142,368.31256
403.05457,380.1875
1192.6743,1211.25
546.1002,1005.75
690.3481,1065.875
389.1695,388.56256
289.90967,192.125
341.1645,239.75
484.2671,438.9375
452.1208,321.50012
342.83594,359.25
523.56824,683.5625
763.31006,475.93756
410.45648,378.8125
314.88123,170.5
268.5891,269.75
355.55823,364.125
321.60034,391.37506
617.18536,443.06256
306.9956,243.93762
362.87183,290.75
474.8645,588.50006
724.6571,963.125
479.9793,863.875
598.8069,379.46875
575.8882,489.96875
595.29047,370.75
563.66364,964.1875
657.91705,378.50006
408.37616,437.875
450.04205,300.125
377.2033,455.31256
368.49512,608.8125
525.4218,443.06256
536.73206,571.87506
395.08557,329.875
436.4743,327.0625
256.6953,357.8125
431.3296,448.0
589.10956,1276.3125
520.26733,694.125
450.8161,473.875
505.00537,495.5
498.0794,1188.25
1232.7977,1092.5
1546.5933,1952.25
1335.1603,2113.6875
755.4155,985.5
2216.229,1959.9375
860.9158,727.5625
1134.6565,1960.625
417.3526,513.03125
459.5608,508.78125
545.9031,1031.0
455.79437,460.21875
598.6909,1134.4062
318.98865,464.43756
610.35236,359.62506
477.1443,467.5625
446.68103,292.59375
459.23627,535.0313
389.6385,144.625
188.82825,184.4375
260.26196,808.6875
256.86804,406.75
550.5101,351.56256
483.8006,297.75012
556.15247,370.37506
261.57397,365.56256
405.39276,471.06256
875.1043,677.9375
398.0177,480.25006
444.64197,413.0625
320.1482,348.0625
434.86157,550.75
808.1246,559.875
299.97437,332.0
438.66858,446.625
512.1082,470.37506
358.87323,304.75012
387.72882,498.3125
346.41925,435.43756
333.9864,341.75006
230.35864,271.1875
426.78168,246.34375
317.77283,166.59375
168.8523,125.03125
203.41577,187.59375
484.10486,408.12506
573.9726,583.25
242.70789,473.875
806.4836,668.125
494.74103,606.6875
861.4522,1243.125
386.30444,443.8125
260.9049,283.75
390.53625,277.09387
355.8553,467.87506
307.7727,289.68762
332.37012,391.37506
314.96436,330.56256
702.18884,290.0625
296.4585,333.375
276.3324,203.375
237.48804,284.4375
422.81165,234.125
479.90204,218.0625
360.4284,137.625
261.4132,270.4375
393.18542,327.8125
190.81116,303.625
275.8523,241.78125
398.97333,416.15625
552.989,555.625
422.64728,455.6875
293.1068,243.1875
257.35266,136.93762
271.5044,162.0625
321.58862,320.0625
192.79956,195.00012
233.5354,274.62512
383.68787,311.6875
123.1156,79.625
217.13367,590.5625
823.261,705.9375
782.55664,700.3125
485.4193,433.31256
390.68182,388.56256
337.3153,320.75
609.87036,675.18756
675.139,485.68756
648.18634,770.93756
393.9842,383.6875
332.26447,557.75
632.1453,606.625
646.7445,671.0
452.73505,614.37506
757.8724,734.5625
493.53186,583.625
760.87213,720.5625
1149.5464,993.9375
350.44214,251.21887
502.58014,695.8125
289.4829,259.25
341.30914,406.75
331.96643,384.37506
314.2954,350.87506
527.7037,410.375
447.89307,416.9063
423.1267,334.75006
418.63312,471.75
583.4137,399.8125
479.67883,775.875
538.45746,536.37506
478.75385,437.5
853.8076,593.37506
504.2093,450.375
499.1388,380.25
653.4689,566.8125
1007.41064,1231.5625
708.0125,753.84375
513.75494,627.625
669.4134,732.50006
