preds,trues
259.23376,153.6875
3923.6558,3538.3125
2669.2395,2256.3125
1933.613,1713.875
4066.8506,4362.4375
2357.825,2806.4375
4081.9766,4529.5
3446.6782,5487.8125
3568.3965,4783.5
4209.4697,3658.5
1559.5575,1501.375
2513.269,2961.5625
1703.2086,3603.3125
2505.5854,1897.0
3409.8926,2935.75
4111.6714,3520.75
2575.7646,2642.8125
2169.0376,1378.375
2931.0757,2584.125
2606.7358,2456.9375
2321.2646,2706.5
2028.8755,1121.8125
1853.2925,2373.75
2205.1748,2080.875
1637.5416,1795.0
1567.1318,1651.6875
1531.1136,1636.3125
1385.2345,940.125
730.32837,672.375
1439.7585,892.5625
771.23004,660.5
502.60748,596.87506
620.5491,340.375
423.81805,380.875
315.9452,264.875
447.99854,422.8125
1054.5205,713.62506
1203.8058,1585.9375
1252.2789,1076.375
670.25464,542.56256
976.37256,789.81256
756.03357,814.25006
781.70233,747.875
1051.7859,1260.875
1083.3068,1216.25
917.86414,713.62506
1271.9894,1429.375
1243.476,1261.625
1046.553,840.12506
392.06635,885.5625
145.31079,0.0
631.3622,397.0
199.84692,1838.3125
221.11792,303.3125
382.63147,299.125
424.73926,448.75
663.4462,237.625
746.7276,451.5
289.4546,299.8125
261.7859,222.25
191.99878,113.875
139.03381,104.8125
183.7915,205.4375
178.36072,407.50006
371.10126,464.06256
205.87366,150.87512
206.24902,157.87512
154.49243,95.0
230.68433,106.18762
451.86774,277.4375
155.77856,2.0625
194.12769,212.4375
274.15625,113.18762
399.37213,596.9375
174.66223,223.50012
191.50745,204.75012
332.29205,117.375
317.04065,266.96875
389.375,107.625
451.92993,269.75
208.78284,252.9375
376.9641,330.56256
377.41705,321.50012
317.3036,278.875
329.9297,283.40625
339.86432,264.125
235.03918,290.0
162.37476,37.6875
96.98511,137.0
165.28564,130.625
119.74194,133.40637
133.20166,123.6875
118.53174,135.5625
149.18713,124.3125
200.39624,62.125122
222.64856,118.06262
300.79382,454.93756
228.9364,124.3125
109.31213,41.875
111.4187,66.37512
129.06055,99.25012
128.93762,29.312622
139.89905,93.625
106.08118,77.5
133.26746,68.4375
103.79724,20.53125
190.5398,131.25
105.34119,101.31262
110.2854,127.875
130.73706,136.93762
114.97656,44.0
91.26953,32.75
64.583984,32.0625
77.33789,41.125122
101.825806,50.250122
102.45361,39.0625
167.22156,104.40625
159.55896,132.75
177.87842,147.4375
174.69336,130.28125
184.31494,147.40637
194.82239,201.9375
154.65881,120.125
101.920166,51.6875
197.54456,121.5625
122.43298,113.18762
154.42822,61.500122
171.69006,89.4375
189.88281,104.4375
136.09961,163.5
157.2799,185.87512
131.96082,93.625
157.59094,94.31262
104.523926,33.500122
80.68762,155.125
84.56543,69.1875
83.548096,43.9375
74.338745,59.03125
86.689575,26.15625
80.30505,57.65625
107.829834,77.5625
109.87158,85.25012
67.10608,153.00012
136.5315,143.59387
247.5741,235.15637
45.72168,196.4375
156.48254,135.25012
272.88428,52.3125
82.60071,44.625
93.83362,51.656372
139.96436,74.75
123.71521,58.0
98.86731,62.1875
85.14392,81.0
55.35913,76.8125
299.93835,130.6875
241.1565,25.437622
122.89868,190.0625
143.05054,153.6875
93.97278,39.0625
84.08655,100.625
173.23267,219.4375
188.00879,122.93762
194.44934,192.625
368.44226,90.75
426.8346,353.62506
190.71838,173.25
178.97278,118.06262
88.58008,34.1875
66.47888,55.843872
77.18884,129.25
127.78955,204.75012
204.63977,123.0625
125.22131,109.6875
146.29456,113.18762
98.47778,143.5625
102.02014,81.0
227.59668,81.8125
94.90332,90.8125
77.21582,27.9375
82.03491,35.625
64.462036,24.03125
90.08374,50.21875
76.39612,18.125
69.48523,20.875
64.73364,20.9375
72.02869,32.0625
89.436035,41.1875
95.46643,80.3125
118.54126,48.1875
75.164795,18.125
84.19617,38.437622
1758.9602,2483.5625
3122.7014,3296.4375
1023.536,793.31256
1588.8433,963.4375
355.70886,260.62512
1649.968,1077.125
984.6085,1303.5625
1010.0736,653.5
1602.8969,963.875
2571.5596,2378.625
1575.3438,1591.5625
857.02136,911.4375
464.5589,422.12506
411.64276,1272.8125
648.1507,709.4375
481.8789,1014.875
791.0763,603.25
1182.5656,575.53125
682.7677,731.5
913.37836,1728.5312
1260.6887,1001.625
783.7373,347.375
387.08484,395.62506
340.0625,221.5
509.771,464.06256
439.9215,534.0
570.8818,498.3125
260.33997,427.00006
302.5282,880.6875
1555.1317,1239.6562
421.03552,773.0
1294.232,1362.25
259.58777,323.62512
214.78223,610.125
345.94122,398.37506
256.7085,48.875
519.0433,404.625
390.6333,1223.9062
1000.1911,831.75006
584.6036,267.68762
205.69849,605.25006
506.0274,136.25
186.50574,141.125
563.1353,976.5
1110.2572,1009.3125
856.4586,1320.3125
121.205444,0.0
67.88464,0.0
70.98633,0.0
275.74048,1052.5938
1147.7466,1062.375
830.9988,999.5
846.2644,840.12506
1019.72327,1567.0625
1109.1254,1168.6875
992.12726,1342.0
1576.4293,1685.875
652.5297,691.9375
1226.1167,1012.8125
770.8081,563.5625
543.7999,961.375
854.4207,997.03125
641.02264,794.0
753.0854,928.25
811.0457,427.6875
682.70544,600.37506
330.71704,0.0
632.6182,982.0625
1288.1974,1247.625
1028.9944,1494.0625
862.1808,830.75
233.05713,0.34375
864.43134,685.68756
462.7049,680.75
457.83356,1157.5
1004.0732,1282.625
583.5051,824.75006
932.17725,1021.875
1017.5908,1297.2812
1206.2048,1503.0938
470.07526,917.75
453.75012,373.25
535.81665,194.9375
401.00928,476.0
277.55664,153.00012
247.35254,307.50012
216.10583,180.3125
247.87244,198.4375
296.20312,442.43756
540.772,516.1563
422.43658,582.53125
677.23816,1091.8125
698.62103,782.125
559.84436,641.56256
585.367,604.5625
728.756,664.0
427.38397,355.0625
448.8211,409.21875
422.06732,431.18756
628.1971,529.75
376.5285,385.8125
453.08905,371.8125
458.43896,399.75
294.28455,109.375
210.47998,154.09375
173.29114,89.71875
269.89417,259.3125
207.34277,100.5625
221.5918,135.5
221.95276,203.375
212.505,116.0
223.59546,160.34387
59.831787,6.187622
511.32922,536.75
416.6692,676.5625
490.78143,385.8125
522.21204,328.43762
338.49725,4.125
131.61633,622.68756
1016.6772,1151.1875
681.6369,968.0
329.35327,198.4375
311.56653,20.1875
