preds,trues
191.60474,167.00012
163.22327,170.5
232.38391,202.625
63.02417,223.625
261.79797,138.3125
176.74243,215.875
156.0802,83.12512
194.79065,164.87512
185.9751,106.18762
829.6851,685.3125
761.5699,437.15625
622.1321,473.15625
443.03632,357.0938
770.9581,1154.375
615.11707,962.78125
1290.255,1802.3125
476.90088,622.75
584.87836,455.6875
362.81982,363.43756
385.41162,293.50012
713.3304,1033.75
363.95734,383.0
342.27728,271.1875
368.39844,401.1875
459.20685,368.31256
412.9665,380.1875
1182.1744,1211.25
524.2906,1005.75
674.8058,1065.875
402.7475,388.56256
295.66614,192.125
359.59583,239.75
500.0077,438.9375
455.67017,321.50012
368.3299,359.25
524.7573,683.5625
740.91327,475.93756
406.53088,378.8125
319.60388,170.5
280.58398,269.75
369.56873,364.125
341.2453,391.37506
622.8615,443.06256
309.29663,243.93762
365.18323,290.75
477.0183,588.50006
715.80145,963.125
468.58002,863.875
590.5093,379.46875
563.81476,489.96875
590.7859,370.75
561.5694,964.1875
653.23145,378.50006
410.51648,437.875
462.33557,300.125
388.3247,455.31256
382.813,608.8125
532.44806,443.06256
528.86414,571.87506
395.9964,329.875
441.32178,327.0625
272.4928,357.8125
442.52173,448.0
588.94824,1276.3125
514.50854,694.125
445.7517,473.875
504.3886,495.5
494.74945,1188.25
1214.2799,1092.5
1518.0631,1952.25
1275.4167,2113.6875
716.1052,985.5
2182.3215,1959.9375
818.86066,727.5625
1137.4105,1960.625
417.64258,513.03125
475.96338,508.78125
548.59894,1031.0
458.836,460.21875
612.5431,1134.4062
335.06042,464.43756
614.024,359.62506
487.5274,467.5625
438.08636,292.59375
458.336,535.0313
402.7699,144.625
203.05017,184.4375
292.95544,808.6875
270.39014,406.75
554.62665,351.56256
489.69788,297.75012
547.85406,370.37506
266.1731,365.56256
414.56622,471.06256
864.64844,677.9375
408.425,480.25006
443.24884,413.0625
326.6427,348.0625
435.41113,550.75
805.4724,559.875
310.80054,332.0
443.80597,446.625
509.91083,470.37506
365.16376,304.75012
395.35602,498.3125
363.34924,435.43756
339.59393,341.75006
249.78699,271.1875
430.44293,246.34375
334.16864,166.59375
192.36023,125.03125
223.05725,187.59375
493.67017,408.12506
567.40656,583.25
248.86218,473.875
793.947,668.125
486.46405,606.6875
843.2712,1243.125
394.58948,443.8125
274.79822,283.75
405.80176,277.09387
374.41846,467.87506
326.50012,289.68762
352.27777,391.37506
322.33826,330.56256
695.45966,290.0625
302.48694,333.375
282.09875,203.375
251.42407,284.4375
433.10944,234.125
480.52502,218.0625
371.2411,137.625
275.73462,270.4375
399.156,327.8125
209.95703,303.625
289.3236,241.78125
405.99896,416.15625
548.66797,555.625
422.4698,455.6875
296.96997,243.1875
268.32214,136.93762
282.64636,162.0625
332.3305,320.0625
213.60559,195.00012
253.60315,274.62512
394.3825,311.6875
142.53186,79.625
235.58472,590.5625
814.69196,705.9375
759.9988,700.3125
476.82343,433.31256
388.6435,388.56256
336.6626,320.75
612.25995,675.18756
680.85864,485.68756
644.34534,770.93756
397.60535,383.6875
339.38525,557.75
629.6352,606.625
640.7706,671.0
452.9204,614.37506
744.9523,734.5625
484.18494,583.625
749.73126,720.5625
1128.8796,993.9375
349.5658,251.21887
509.49585,695.8125
314.0763,259.25
361.5171,406.75
357.84613,384.37506
331.41296,350.87506
525.05225,410.375
445.1042,416.9063
422.51447,334.75006
424.23035,471.75
578.90216,399.8125
483.1021,775.875
539.35785,536.37506
480.0522,437.5
839.2566,593.37506
503.71936,450.375
495.91333,380.25
654.7607,566.8125
985.89307,1231.5625
688.1115,753.84375
509.67334,627.625
663.80927,732.50006
