preds,trues
208.96362,153.6875
104.69824,0.0
312.38025,267.68762
333.52905,178.5625
123.62439,71.28125
84.90796,0.0
121.93579,69.12512
779.5149,507.4375
315.11462,218.75012
140.29175,240.375
178.03992,383.6875
178.66052,95.6875
82.21924,29.250122
78.62085,41.875
92.60535,37.0
102.62744,93.625
186.37976,204.0
440.35278,396.28125
319.2102,302.96875
223.16162,83.875
231.60876,285.37512
217.06787,155.125
162.83215,127.125
356.8993,236.1875
628.8513,537.43756
400.29108,606.6875
367.5254,481.5
389.68475,308.9375
118.62317,100.625
226.76392,160.00012
364.33502,206.87512
502.31567,408.1875
288.0504,299.125
92.39368,111.8125
148.51843,48.1875
49.688477,0.0
1602.5674,4191.8125
1684.6415,50.250122
133.22485,81.0625
103.92847,103.4375
92.928955,51.6875
51.261597,27.1875
179.29126,68.4375
140.0376,40.500122
99.75183,44.625
62.890625,1.375
74.45947,3.437622
75.83081,20.1875
46.43872,0.0
44.4657,0.0
103.10339,51.6875
117.23059,9.6875
99.477905,18.8125
47.95996,2.40625
119.844604,39.875
110.52527,83.9375
96.99609,44.625
74.18579,9.75
46.578613,0.0
44.63733,1.0
44.465088,0.0
46.261475,0.0
44.21045,0.0
44.478516,0.0
42.56604,0.0
41.51111,0.0
40.94507,0.0
40.98987,0.0
40.959473,0.0
41.18518,0.0
48.29712,0.0
42.185425,0.0
41.794556,0.0
41.37268,0.0
41.351685,0.0
41.35376,0.0
40.118286,0.0
82.29016,72.31262
53.60608,28.625
104.27991,113.875
176.64185,153.00012
222.15356,90.06262
122.855835,103.375
124.98352,95.6875
153.7091,55.125122
75.289185,0.0
49.20166,0.125
50.954468,0.0
49.950317,0.0
49.810425,0.0
46.951904,0.0
48.560425,0.0
51.03308,7.59375
49.45691,6.9375
53.602173,5.000122
54.357788,5.1875
57.193848,38.718872
151.00098,203.8125
112.707275,69.56262
62.20337,95.50012
206.23083,255.0625
226.22876,267.0
137.66113,71.21875
56.787476,7.625
59.09851,11.125
90.650635,54.4375
75.867065,18.125
102.91809,25.125
71.67114,19.5
58.897827,19.562622
63.242676,18.125
84.81177,45.375122
133.19653,108.25
131.35803,96.4375
297.97693,220.81262
323.63452,212.4375
146.81067,60.75
180.96436,155.8125
337.80316,263.4375
292.71655,396.9375
514.3006,612.25006
486.67163,378.8125
425.8283,287.9375
242.19873,202.00012
238.10413,285.8125
248.97388,189.375
196.01526,95.75
96.90552,74.75
67.65796,0.0
53.88025,0.0
451.2052,317.9375
517.1074,747.125
413.4668,507.375
538.75903,778.1875
880.14624,343.125
632.10913,268.375
616.91156,548.625
610.45123,726.90625
635.7692,561.87506
645.92914,873.0
1224.8347,1397.2812
543.67224,282.34375
195.29614,318.81262
239.4779,3.125
91.64563,0.0
69.05029,0.0
105.70215,11.125
111.545166,89.375
91.84485,0.0
49.695557,0.0
46.52185,0.0
42.11267,0.0
42.282593,0.0
43.43933,0.0
42.54138,0.0
43.17334,0.0
44.884277,0.0
41.669556,0.0
41.593018,0.0
41.55591,0.0
41.67871,0.0
41.846436,0.0
41.112183,0.0
41.481445,0.0
41.712646,0.0
41.512817,0.18762207
41.341553,0.0
41.326782,0.0
40.910522,0.0
39.71997,0.0
39.657593,0.0
40.970825,0.0
41.722046,0.0
40.44934,0.0
43.022827,0.0
42.745605,0.0
41.758545,0.0
43.073242,0.0
43.565186,0.0
43.551758,0.0
44.22461,0.0
44.107056,0.0
44.43042,0.0
44.09497,0.0
43.739624,0.625
44.8833,0.0
44.998535,0.0
44.507812,0.0
43.997314,0.0
43.76526,0.0
44.53369,0.0
43.348755,0.0
44.376587,0.0
44.318115,0.0
45.931763,0.0
44.274902,0.0
45.832275,0.0
44.436646,0.0
43.289917,0.0
43.732544,0.0
41.400635,0.0
44.605835,0.0
45.0896,0.0
45.55298,0.0
45.743652,0.0
44.776245,0.0
45.274536,0.0
46.024902,0.0
45.181396,0.0
44.56726,0.0
44.512085,0.0
42.090454,0.0
41.56421,0.0
43.031982,0.0
43.211548,0.0
42.06665,0.0
42.443726,0.0
40.70044,0.0
40.74646,0.0
41.776733,0.0
42.63611,0.0
40.818237,0.0
40.476074,0.0
40.73047,0.0
39.639038,0.0
40.66162,0.0
38.3573,0.0
39.819702,0.0
45.108643,0.0
44.507812,0.0
43.428345,0.0
43.61792,0.0
42.68445,0.0
44.996094,0.0
45.62549,0.0
47.007446,0.0
48.28589,0.0
48.099854,0.0
47.54236,0.0
47.668457,0.0
47.55005,0.0
47.53784,0.0
46.89612,0.0
46.038574,0.0
44.60852,0.0
44.171265,0.0
43.586548,0.0
44.23059,0.0
44.403442,0.0
43.18689,0.0
41.083252,0.0
46.452026,0.0
44.670166,0.0
44.213623,0.0
43.833252,0.0
42.976562,0.0
41.947754,0.0625
41.934692,0.0
42.02014,0.0
40.06909,0.0
40.822388,0.0
41.671875,0.0
41.294678,0.0
43.104126,0.0
42.847656,0.0
41.90222,0.0
41.05017,0.0
43.055176,0.0
42.35022,0.0
43.85193,0.0
41.991577,0.0
42.485474,0.0
42.121582,0.0
41.172974,0.0
42.01953,0.0
41.945923,0.0
40.373047,0.0
39.579224,0.0
44.986694,0.0
44.40222,0.0
42.738403,0.0
42.431763,0.0
42.297607,0.0
41.873535,0.21875
41.52295,0.0
39.565674,0.0
40.170044,0.0
39.591675,0.0
41.860107,0.0
43.262695,0.0
46.08618,0.0
44.7937,0.0
45.030518,0.0
42.71643,0.0
39.881714,0.0
43.924072,0.0
42.80847,0.0
41.018677,0.0
42.24341,0.0
42.232056,0.0
42.103027,0.0
38.73413,0.0
42.002075,0.0
41.91626,0.0
39.54956,0.0
37.02063,0.0
43.977783,0.6876221
41.664307,0.0
41.33972,0.0
40.240845,0.0
41.36389,0.0
39.00586,0.0
44.373047,0.0
45.28369,0.0
46.335205,0.0
45.300415,0.0
45.682983,0.0
48.113403,0.0
49.757324,0.0
47.91516,0.0
45.299194,0.0
47.484497,0.0
43.00122,0.0
42.45117,0.0
41.82837,0.0
41.946777,0.0
41.214233,0.0
42.186035,0.0
42.587402,0.0
40.00464,0.0
39.651733,0.0
41.937866,0.0
42.866455,0.0
44.573242,0.0
46.443115,0.0
46.976562,0.0
45.964355,0.0
46.039185,0.0
46.32141,0.0
45.48242,0.0
44.238647,0.0
44.38147,0.0
44.603516,0.0
42.59424,0.0
41.817627,0.0
41.786255,0.0
41.24536,0.0
40.82483,0.0
40.963135,0.0
