preds,trues
417.76294,283.75
753.63196,645.4375
406.5293,376.75006
376.9718,378.8125
691.43567,1130.9375
771.1418,799.5625
448.088,534.0
448.64178,379.50006
616.02216,592.00006
764.90234,659.125
696.1611,142.84375
1525.386,839.06256
549.5012,647.875
1748.6494,1789.375
1173.2441,1184.9375
1345.097,1350.4062
1458.9717,1691.5
1369.6315,1707.625
1166.2212,899.5625
890.10535,1068.6875
991.20264,977.8125
1267.1403,2125.9688
2630.588,2930.1875
2359.2832,2385.625
2186.2898,2436.6875
2456.232,2013.4375
2392.3142,2151.5
1038.5952,1686.625
1530.627,1177.75
1113.1663,1502.8125
360.12476,249.15625
465.7647,481.5
758.98,424.9375
610.89935,429.62506
1432.8857,1171.4375
505.0796,489.25006
1423.521,1577.9688
1279.2562,767.43756
710.0369,873.6875
747.82825,616.4375
420.34082,348.75006
355.8963,284.125
351.09552,297.0
225.40222,272.5625
332.32336,273.9375
336.8288,359.59375
415.2171,399.0625
602.96906,1173.5625
1055.8322,957.5625
460.2401,640.9375
390.5855,472.06256
819.8906,690.50006
423.05847,0.6876221
863.395,715.00006
1162.2886,1280.5
883.9236,452.25006
788.06256,1632.125
2090.2146,1773.3125
609.44025,1143.5
1462.9613,769.87506
1230.7438,1564.3125
927.18445,1243.5
1181.5845,807.31256
137.94763,27.9375
170.73474,137.625
134.3418,179.5625
81.67456,0.34375
26.949219,0.0
49.339844,0.0
47.713623,0.0
36.652954,0.0
23.697021,10.8125
27.912231,0.0
204.53137,532.56256
454.19293,388.25006
205.01733,31.375122
6658.957,6763.4375
4407.583,3473.25
5193.7705,7457.625
5291.2026,4418.625
4177.9595,2997.25
5338.2905,3729.125
3920.768,3511.6875
2998.021,3313.9062
3081.9731,3160.4688
3291.4165,2814.125
2298.8022,2477.875
1789.5548,2132.25
2949.4458,2869.375
2681.8516,1985.125
889.7343,1777.0938
1059.3761,1808.9375
968.92883,1088.9375
560.05646,227.125
365.04413,231.3125
639.928,525.56256
347.61237,191.4375
456.2442,294.875
288.17383,412.37506
989.24243,503.25006
843.0973,1126.75
287.22363,289.3125
263.89148,214.5
176.50122,189.3125
240.38147,180.25
200.7041,140.4375
