preds,trues
1064.3596,789.125
2607.6511,1525.125
2011.1261,1202.1875
914.67834,1490.875
4486.5386,5102.625
2378.7822,2252.1875
2668.6548,3202.75
2014.6937,1256.0625
974.1515,824.0625
1751.0823,1890.6875
430.27478,742.9375
936.65436,477.625
900.3816,858.3125
1160.0486,1477.625
1722.3253,2345.0625
1448.8009,1409.875
1552.7671,1055.375
758.66675,443.8125
544.21497,516.5
664.7038,789.81256
1392.888,1032.625
1065.1058,1168.0
1412.3121,1672.6875
739.41095,594.8125
883.50256,903.0625
523.55725,637.4375
932.6692,868.09375
1765.2256,1459.125
655.5035,710.84375
673.9333,586.4063
493.32593,503.25006
487.37683,530.84375
592.07874,437.875
649.1358,856.9375
471.6322,398.75
598.1395,565.46875
944.5382,1120.375
1126.4006,971.5
163.02075,185.125
208.81519,895.25
857.3234,847.84375
575.20026,396.65625
761.2802,1520.2188
728.93945,688.4375
980.95276,1241.75
1152.2612,874.40625
579.7316,452.5625
462.79523,278.15637
565.3616,505.6563
473.79193,348.37506
1048.501,781.375
317.99316,407.40625
721.94916,696.8125
520.81415,554.25
356.7813,408.12506
733.0146,694.75
500.35028,376.0
530.3389,704.50006
1001.1604,1332.25
1201.7542,1170.0625
1558.1344,2082.25
550.4355,360.62506
711.5654,915.625
746.4587,981.3125
1361.9838,1295.9375
496.1931,384.37506
1078.4698,916.3125
1392.4624,1400.0625
3091.8115,2448.2188
3257.5928,3057.0312
3485.4092,3588.9688
3229.6743,5171.875
1731.2417,1558.6875
2054.315,2433.625
2019.5464,1536.6562
988.76575,888.3125
1357.6329,1377.0
1422.209,1490.1875
1176.9396,1174.9375
1313.0748,929.625
755.0335,942.875
1364.6182,1215.75
922.9387,1313.375
439.07733,408.12506
580.1128,503.18756
924.72437,1169.375
1080.867,947.75
675.2445,794.0
934.75854,945.0
1037.1724,1020.4375
931.1876,453.75006
702.9581,1130.1875
729.93756,452.18756
689.0428,784.25
666.59143,840.8125
1252.3265,1187.5625
857.1171,891.875
1134.1017,1290.3125
1522.2849,1546.125
892.5327,1077.8125
327.7295,386.50006
1653.6536,1616.0
1342.3105,1300.75
1666.5178,1638.4375
1569.18,1925.6875
2074.2427,1989.3125
651.1662,596.87506
1578.0258,1165.125
1109.192,1004.40625
1052.148,1091.8125
1240.9127,877.34375
427.69147,533.21875
592.7393,606.2813
615.19794,566.84375
434.07214,96.40625
122.627075,17.0625
405.93396,274.96887
742.712,255.0625
830.2739,849.4375
1397.4282,1531.4375
1318.9553,1323.875
1284.1682,1435.0
1208.7848,1490.1875
1138.7706,1141.375
825.0359,1090.375
412.77032,378.75
626.318,698.25
280.27917,199.1875
1095.2255,1047.7188
335.35236,523.46875
218.26062,219.0625
782.6285,468.96875
615.8571,840.8125
377.2934,348.0
352.6291,455.6875
551.653,578.00006
184.29626,239.0
181.1753,309.0
195.16785,156.5
203.58765,133.4375
374.48663,441.0
318.76135,308.9375
158.57007,46.03125
89.94922,12.562622
418.20972,256.8125
335.30963,326.375
156.75476,149.5625
426.17987,409.56256
412.41052,413.7813
239.06995,169.40637
127.65881,91.18762
211.47607,427.75
119.80176,144.75
92.609375,110.375
51.371094,81.6875
109.451904,238.3125
130.18091,142.875
76.236694,78.875
136.13184,91.5
215.0299,190.0625
107.07141,75.4375
136.88269,133.4375
57.854614,25.0625
56.48059,63.5625
68.79321,55.125122
27.554932,35.5625
85.95532,58.625
188.33643,37.6875
180.31152,60.000122
243.6831,195.00012
200.6543,121.0625
312.5144,452.18756
597.29047,706.62506
612.3526,327.0625
1660.4768,1207.125
1537.8141,1237.1875
885.84607,830.3125
981.4939,791.1875
567.67267,476.625
406.2188,224.28125
378.00214,348.6875
373.388,269.75
361.8504,255.81262
431.71722,208.1875
163.81458,116.0
352.40173,236.1875
147.58789,108.25
157.86108,183.4375
425.29785,102.0
155.16504,273.25
654.89075,459.18756
278.54028,498.43756
50.54956,260.0
256.88818,269.75
711.6067,290.75
397.58398,283.75
318.95435,421.43756
349.4132,436.8125
232.62268,206.1875
284.3988,276.0625
143.5531,475.25006
107.71106,929.5625
151.64783,90.06262
413.7834,218.375
205.12549,22.34375
126.2345,85.25012
390.38336,568.9375
460.48383,1080.625
1160.8015,1762.8125
2539.7046,2719.75
2075.9634,1762.8125
1985.0242,1732.75
2014.7424,2018.625
2859.9912,2997.9375
2774.9436,3092.2812
2138.4072,2353.9688
1629.3738,939.375
395.20837,865.28125
515.36176,457.8125
639.48016,518.625
535.98096,316.5625
356.39447,220.81262
333.47418,187.3125
311.80457,299.8125
385.73987,340.375
246.96448,464.06256
330.09814,311.6875
665.24384,696.875
562.03613,437.5
714.073,575.87506
638.9472,675.0
544.70276,743.00006
824.41516,501.8125
232.95312,139.75
702.7923,1760.75
1877.336,1451.0625
853.5182,988.3125
937.08105,168.09375
280.12195,0.34375
316.90845,292.875
257.1931,292.8125
306.4143,210.3125
273.37842,308.1875
571.87115,1010.0
699.9604,420.75
328.18518,496.25006
532.0545,566.125
714.9427,652.06256
740.59314,594.75006
676.16895,629.75
790.751,730.375
552.36365,682.93756
1194.4941,1248.375
1258.3591,1311.9375
792.49603,534.68756
311.62598,180.9375
262.6759,223.625
431.51007,202.00012
81.05017,0.0
42.8407,0.0
50.74878,0.0
53.770996,0.0
23.958374,4.125
27.564697,1.71875
656.6887,591.65625
735.68274,763.93756
981.43945,3516.625
1775.1084,2203.1875
1187.5773,1036.5625
1655.4677,1873.25
1702.2844,1952.25
1896.6885,1953.6875
1731.5148,1877.4375
2082.2007,1906.0625
1700.4172,2093.4375
2220.2395,2007.5
1536.7224,1469.25
1728.7339,1760.0625
2614.0195,1130.25
1079.1663,1123.9375
1788.1406,1769.125
1838.4099,1705.5
1891.7931,2091.3125
1547.1301,1439.1875
1250.249,1585.9375
1749.72,1402.8125
1391.5858,1510.8438
1232.8855,1062.4688
2004.145,2457.625
2354.791,2247.9375
1960.3708,1734.6875
1735.2267,1213.4375
1481.1827,1292.75
1734.1108,2220.2812
2296.9888,2329.3125
1766.1333,1950.1562
1874.7625,1686.9688
5240.2227,4630.8125
1397.1224,988.3125
2720.5278,1919.375
1092.7468,339.0
616.6272,264.8125
691.789,497.9375
864.6745,473.12506
657.6868,423.9063
540.4482,497.62506
1594.9517,2786.1875
1081.7195,1503.5
2076.951,1579.0
1708.8055,1013.5
1073.2006,979.9375
1295.5992,638.25
1349.4904,1222.5
826.01434,759.75
1973.3313,2548.875
773.1764,320.40625
657.464,760.40625
890.8533,1592.25
3549.7178,2533.8125
2728.981,3585.75
3305.6863,4727.25
1525.7112,1393.0625
1689.9,2770.8125
2808.941,2487.0
2634.2383,4011.5
5167.9253,2434.125
5475.0264,4851.6875
6484.62,6222.4375
4188.454,4938.375
4302.8223,3630.5625
2515.9568,2705.0625
1591.9044,2618.4375
4754.5713,3454.375
5498.6587,6249.6875
5689.235,5030.0
1950.0363,3026.625
8712.055,7161.1875
6621.09,4418.3438
965.90027,460.21875
823.78674,257.875
863.58435,610.87506
1081.0828,551.43756
786.5224,627.25006
754.65283,350.8125
2260.4917,1077.8125
1704.6178,2367.7812
5211.133,5435.6875
2919.1045,1820.125
7588.201,9130.3125
6202.3467,7778.4375
6160.245,6945.1875
4729.3794,4741.9375
4071.7158,6599.8438
5275.545,6216.875
4007.4727,6218.8125
5172.2075,4470.0625
2667.5068,1758.625
2742.9785,1725.0625
3743.71,3371.875
3976.6973,2156.375
3481.7393,4177.875
1444.6382,1372.8125
1963.9635,2008.8125
1415.534,2550.9062
1251.8379,1176.375
1198.6115,754.125
1101.0173,1118.3125
231.20203,414.62506
1968.8474,2062.0
1456.6375,1390.25
2880.6147,1859.9375
1551.6948,2225.9375
3659.5698,3172.375
5381.556,6582.7188
6746.529,7199.625
2017.3033,3346.0625
3784.313,2695.9375
5014.4927,7569.375
6437.0405,4035.5
4257.017,5033.4062
3912.0332,2034.3438
2041.5931,2182.875
4799.393,3731.9375
3717.8418,3664.125
2755.7378,3722.8125
1917.0095,1195.1875
730.88043,590.5625
378.69568,499.0625
443.74396,382.9375
1490.0587,849.25
2637.5967,1151.875
4266.376,3439.6875
1856.52,1976.6875
2679.6526,2358.375
4306.3755,4009.4375
4535.7295,1901.875
5567.281,5523.4375
3854.3237,2968.5625
1443.073,1399.3125
676.84973,381.62506
375.00964,95.6875
478.4508,99.9375
486.42706,298.25
580.2411,456.37506
924.3482,967.3125
1334.5461,1300.0625
1298.4946,1028.875
1293.3865,2361.1875
1557.8248,2085.0625
2552.1382,2215.0625
2354.0803,2458.375
3256.818,3007.75
2618.1997,2886.8125
2416.92,2631.6875
1449.5465,980.625
1116.5295,895.375
884.8138,324.25
1195.4357,1260.9375
1061.5995,1063.8125
1912.7065,1197.3125
1633.4109,1873.25
1925.6176,1685.875
1128.1715,1309.875
590.54803,606.00006
938.64124,831.0625
142.38342,0.0
457.30005,464.8125
501.7489,405.37506
353.54437,340.375
290.83203,220.125
290.78992,269.0625
336.1618,330.3125
331.14404,285.125
261.6223,232.68762
110.16626,155.78125
58.38867,0.0
169.531,139.00012
78.04248,130.625
