preds,trues
419.13312,283.75
761.5608,645.4375
402.9032,376.75006
371.9699,378.8125
692.6918,1130.9375
780.18274,799.5625
442.3258,534.0
446.8333,379.50006
617.36035,592.00006
762.9493,659.125
702.095,142.84375
1541.8372,839.06256
543.7687,647.875
1755.3442,1789.375
1148.7605,1184.9375
1363.7601,1350.4062
1454.3541,1691.5
1412.4242,1707.625
1182.8223,899.5625
953.77673,1068.6875
967.2494,977.8125
1027.6016,2125.9688
2597.0752,2930.1875
2352.0532,2385.625
2197.2065,2436.6875
2458.0261,2013.4375
2387.9072,2151.5
1058.9716,1686.625
1502.1001,1177.75
1061.595,1502.8125
357.53253,249.15625
396.2774,481.5
614.0048,424.9375
566.06116,429.62506
1410.0013,1171.4375
492.75964,489.25006
1437.366,1577.9688
1266.311,767.43756
782.2751,873.6875
743.7241,616.4375
445.73407,348.75006
319.15173,284.125
333.37994,297.0
193.12683,272.5625
308.67627,273.9375
325.38428,359.59375
402.13232,399.0625
606.1464,1173.5625
1075.0996,957.5625
463.9389,640.9375
392.0487,472.06256
826.55145,690.50006
413.5398,0.6876221
868.82556,715.00006
1172.5236,1280.5
884.44617,452.25006
787.90027,1632.125
2084.468,1773.3125
633.5657,1143.5
1429.5927,769.87506
1211.2197,1564.3125
1000.3935,1243.5
1154.7449,807.31256
185.53528,27.9375
124.37598,137.625
91.5343,179.5625
43.30896,0.34375
0.0,0.0
18.108154,0.0
20.201904,0.0
22.289307,0.0
10.3573,10.8125
15.410522,0.0
200.08655,532.56256
462.36072,388.25006
201.01611,31.375122
6709.8384,6763.4375
4433.811,3473.25
5240.506,7457.625
5206.045,4418.625
4111.5337,2997.25
5282.323,3729.125
3815.2368,3511.6875
2886.519,3313.9062
2991.3193,3160.4688
3209.5361,2814.125
2184.4849,2477.875
1718.5845,2132.25
2895.897,2869.375
2624.3682,1985.125
837.15063,1777.0938
1006.92993,1808.9375
908.16785,1088.9375
485.53192,227.125
303.95557,231.3125
464.98273,525.56256
294.29004,191.4375
436.0022,294.875
263.32922,412.37506
988.6326,503.25006
843.12317,1126.75
282.4889,289.3125
250.7472,214.5
149.10583,189.3125
218.82031,180.25
173.92175,140.4375
