preds,trues
1023.1914,789.125
2553.352,1525.125
1950.9761,1202.1875
834.04956,1490.875
4436.378,5102.625
2342.5796,2252.1875
2693.9087,3202.75
2006.352,1256.0625
1006.2613,824.0625
1718.6482,1890.6875
367.776,742.9375
857.3728,477.625
798.35394,858.3125
1137.2725,1477.625
1587.629,2345.0625
1474.8308,1409.875
1607.4862,1055.375
761.03705,443.8125
506.90015,516.5
625.7051,789.81256
1302.6276,1032.625
959.9087,1168.0
1392.4023,1672.6875
731.4743,594.8125
908.799,903.0625
517.84656,637.4375
933.5492,868.09375
1739.6449,1459.125
650.7569,710.84375
653.97003,586.4063
473.1126,503.25006
471.14685,530.84375
573.8949,437.875
642.6873,856.9375
458.11053,398.75
588.7094,565.46875
946.9477,1120.375
1136.9733,971.5
143.78223,185.125
194.55872,895.25
850.4883,847.84375
559.77875,396.65625
764.5112,1520.2188
729.7562,688.4375
976.87756,1241.75
1164.3135,874.40625
582.85065,452.5625
443.06018,278.15637
553.27106,505.6563
460.24445,348.37506
1039.3281,781.375
305.58337,407.40625
721.4417,696.8125
508.20563,554.25
352.72424,408.12506
727.47107,694.75
496.14752,376.0
519.9537,704.50006
1003.78076,1332.25
1211.7803,1170.0625
1566.8696,2082.25
626.8091,360.62506
719.0355,915.625
773.8327,981.3125
1383.2811,1295.9375
477.63568,384.37506
1069.7239,916.3125
1411.803,1400.0625
3008.811,2448.2188
3204.687,3057.0312
3464.3828,3588.9688
3244.274,5171.875
1747.1885,1558.6875
2043.74,2433.625
1999.4717,1536.6562
958.1195,888.3125
1303.2318,1377.0
1380.1658,1490.1875
1123.6259,1174.9375
1236.918,929.625
819.714,942.875
1224.6693,1215.75
883.77185,1313.375
440.21155,408.12506
547.7895,503.18756
910.96204,1169.375
1058.9231,947.75
669.687,794.0
934.07776,945.0
1018.03894,1020.4375
928.73914,453.75006
716.3693,1130.1875
724.7365,452.18756
673.83813,784.25
653.3357,840.8125
1251.863,1187.5625
851.0896,891.875
1131.4155,1290.3125
1496.9132,1546.125
950.6266,1077.8125
333.11682,386.50006
1611.4894,1616.0
1309.0105,1300.75
1563.8561,1638.4375
1523.3013,1925.6875
2120.595,1989.3125
622.5087,596.87506
1558.3333,1165.125
1036.7441,1004.40625
995.18555,1091.8125
1170.7935,877.34375
398.399,533.21875
558.0351,606.2813
595.7586,566.84375
414.3689,96.40625
89.29016,17.0625
381.41046,274.96887
737.7617,255.0625
837.11456,849.4375
1417.492,1531.4375
1340.6229,1323.875
1285.2395,1435.0
1221.6587,1490.1875
1138.5984,1141.375
809.9763,1090.375
412.91956,378.75
605.64954,698.25
237.67737,199.1875
1076.6442,1047.7188
296.43823,523.46875
197.95654,219.0625
766.2721,468.96875
591.9568,840.8125
363.3797,348.0
340.94318,455.6875
531.0589,578.00006
164.62354,239.0
163.19946,309.0
174.72144,156.5
180.77478,133.4375
361.1267,441.0
314.27515,308.9375
144.21997,46.03125
76.76196,12.562622
417.83478,256.8125
331.3407,326.375
149.1759,149.5625
426.18713,409.56256
411.69653,413.7813
231.31104,169.40637
114.00964,91.18762
201.35022,427.75
100.20679,144.75
77.80176,110.375
31.309082,81.6875
90.00952,238.3125
115.77258,142.875
64.62915,78.875
125.72424,91.5
208.94214,190.0625
95.52783,75.4375
127.95264,133.4375
