preds,trues
226.00623,153.6875
3868.0122,3538.3125
2740.8386,2256.3125
2062.4,1713.875
3897.129,4362.4375
2411.8008,2806.4375
3961.0654,4529.5
3417.4702,5487.8125
3551.9907,4783.5
4110.5215,3658.5
1746.3778,1501.375
2625.8604,2961.5625
1924.8992,3603.3125
2530.8425,1897.0
3401.4429,2935.75
4162.702,3520.75
2614.7578,2642.8125
2250.8286,1378.375
2931.8408,2584.125
2631.0376,2456.9375
2370.5725,2706.5
2036.4917,1121.8125
1847.0597,2373.75
2266.4778,2080.875
1552.5166,1795.0
1563.8507,1651.6875
1573.5186,1636.3125
1409.9935,940.125
653.9312,672.375
1403.2075,892.5625
796.17444,660.5
467.44836,596.87506
615.57825,340.375
390.06512,380.875
288.6183,264.875
436.2444,422.8125
1093.9589,713.62506
1277.1512,1585.9375
1330.8867,1076.375
687.9868,542.56256
1044.2661,789.81256
780.5501,814.25006
818.3756,747.875
1069.2013,1260.875
1116.4889,1216.25
929.76794,713.62506
1323.1353,1429.375
1313.4296,1261.625
1092.7612,840.12506
397.21533,885.5625
98.35266,0.0
635.13,397.0
142.71533,1838.3125
165.47974,303.3125
345.65887,299.125
405.23956,448.75
640.26874,237.625
745.0526,451.5
272.2035,299.8125
235.5636,222.25
168.89612,113.875
100.55701,104.8125
141.00732,205.4375
148.23352,407.50006
350.57355,464.06256
181.12561,150.87512
176.07251,157.87512
128.73096,95.0
200.37292,106.18762
435.0802,277.4375
122.424805,2.0625
165.92737,212.4375
252.32532,113.18762
376.77222,596.9375
165.42114,223.50012
149.78748,204.75012
320.6206,117.375
294.82275,266.96875
365.64197,107.625
430.42963,269.75
184.15198,252.9375
363.1895,330.56256
362.02954,321.50012
303.03613,278.875
301.37354,283.40625
322.2688,264.125
203.84143,290.0
130.35034,37.6875
56.013916,137.0
127.6698,130.625
79.00818,133.40637
94.51001,123.6875
78.317505,135.5625
117.77893,124.3125
174.15967,62.125122
194.48474,118.06262
280.6881,454.93756
211.54736,124.3125
73.43811,41.875
74.32898,66.37512
87.24121,99.25012
91.00049,29.312622
99.24634,93.625
67.902954,77.5
102.301636,68.4375
72.83215,20.53125
161.45593,131.25
73.07471,101.31262
78.004395,127.875
94.020386,136.93762
81.57129,44.0
53.23694,32.75
26.870605,32.0625
40.62085,41.125122
67.78162,50.250122
69.41821,39.0625
136.34497,104.40625
129.8811,132.75
150.8634,147.4375
147.1416,130.28125
154.65527,147.40637
167.09985,201.9375
130.02747,120.125
70.52417,51.6875
172.17578,121.5625
89.892334,113.18762
123.647095,61.500122
141.2284,89.4375
163.40063,104.4375
106.56177,163.5
128.37659,185.87512
100.420044,93.625
125.4198,94.31262
70.27051,33.500122
41.812866,155.125
38.505127,69.1875
46.05237,43.9375
37.904907,59.03125
52.058228,26.15625
46.020874,57.65625
74.81238,77.5625
77.62073,85.25012
24.963379,153.00012
109.24841,143.59387
226.3335,235.15637
10.324219,196.4375
126.947754,135.25012
247.58594,52.3125
50.680542,44.625
57.0542,51.656372
109.328735,74.75
88.94446,58.0
59.1886,62.1875
51.197876,81.0
18.057129,76.8125
282.5354,130.6875
213.45215,25.437622
95.49304,190.0625
122.85632,153.6875
64.664795,39.0625
54.99109,100.625
140.99329,219.4375
158.97961,122.93762
171.44727,192.625
356.74475,90.75
421.83575,353.62506
169.63428,173.25
155.20496,118.06262
60.27527,34.1875
27.521973,55.843872
34.241943,129.25
88.12537,204.75012
174.6128,123.0625
96.01306,109.6875
116.62463,113.18762
69.667114,143.5625
73.87463,81.0
