preds,trues
164.98193,167.00012
130.79663,170.5
209.24268,202.625
28.82312,223.625
241.77563,138.3125
145.83423,215.875
127.2251,83.12512
162.73706,164.87512
154.13452,106.18762
855.70874,685.3125
781.8611,437.15625
626.0762,473.15625
440.19293,357.0938
781.77246,1154.375
591.54193,962.78125
1362.9545,1802.3125
457.68646,622.75
589.8598,455.6875
342.38727,363.43756
359.06213,293.50012
718.27893,1033.75
337.70575,383.0
317.48352,271.1875
336.7265,401.1875
441.85583,368.31256
392.4696,380.1875
1239.7743,1211.25
528.215,1005.75
691.0467,1065.875
356.07947,388.56256
273.62354,192.125
333.87195,239.75
480.9057,438.9375
448.9674,321.50012
339.55225,359.25
519.10516,683.5625
752.8276,475.93756
390.56708,378.8125
302.50537,170.5
252.82458,269.75
352.0268,364.125
313.81653,391.37506
613.7739,443.06256
291.5741,243.93762
351.7766,290.75
472.2315,588.50006
727.57495,963.125
468.88782,863.875
598.52277,379.46875
570.14557,489.96875
600.4011,370.75
551.8543,964.1875
656.3471,378.50006
394.4873,437.875
457.16602,300.125
367.5506,455.31256
369.5287,608.8125
526.096,443.06256
531.13074,571.87506
391.44067,329.875
434.50378,327.0625
249.65588,357.8125
423.4347,448.0
591.46924,1276.3125
501.88812,694.125
421.6679,473.875
500.64374,495.5
487.07434,1188.25
1283.1603,1092.5
1635.2069,1952.25
1381.7192,2113.6875
793.74255,985.5
2226.1106,1959.9375
762.8439,727.5625
1135.2245,1960.625
422.5547,513.03125
457.1009,508.78125
551.3958,1031.0
455.6949,460.21875
608.75494,1134.4062
292.77905,464.43756
600.08075,359.62506
458.73962,467.5625
429.22418,292.59375
455.90283,535.0313
384.74878,144.625
168.05505,184.4375
263.49744,808.6875
243.46265,406.75
552.4534,351.56256
469.00476,297.75012
546.43396,370.37506
250.09155,365.56256
400.36322,471.06256
892.3104,677.9375
392.14716,480.25006
440.0902,413.0625
312.6521,348.0625
428.97205,550.75
827.86884,559.875
279.24084,332.0
432.19696,446.625
506.1123,470.37506
359.9093,304.75012
382.7964,498.3125
344.7871,435.43756
322.4049,341.75006
222.307,271.1875
420.88446,246.34375
308.4485,166.59375
158.27014,125.03125
193.71387,187.59375
477.47083,408.12506
575.13983,583.25
230.59717,473.875
819.0851,668.125
487.79907,606.6875
875.0125,1243.125
372.49133,443.8125
244.06787,283.75
383.4525,277.09387
341.8626,467.87506
304.02148,289.68762
324.7245,391.37506
305.04395,330.56256
710.6734,290.0625
281.8291,333.375
269.3125,203.375
227.66003,284.4375
423.9566,234.125
482.0055,218.0625
359.21082,137.625
257.4369,270.4375
387.0387,327.8125
185.40613,303.625
270.77185,241.78125
395.5893,416.15625
555.444,555.625
417.4771,455.6875
284.58545,243.1875
243.60071,136.93762
261.20068,162.0625
319.05725,320.0625
184.599,195.00012
226.9906,274.62512
376.503,311.6875
117.77649,79.625
210.2489,590.5625
841.99927,705.9375
786.04114,700.3125
479.9615,433.31256
378.15198,388.56256
330.02515,320.75
613.5676,675.18756
678.0879,485.68756
639.74115,770.93756
377.39435,383.6875
319.35608,557.75
637.2746,606.625
644.02905,671.0
437.74097,614.37506
758.8737,734.5625
479.9713,583.625
764.4553,720.5625
1179.9491,993.9375
335.74615,251.21887
502.3482,695.8125
287.03967,259.25
338.32294,406.75
333.17145,384.37506
311.61426,350.87506
524.36896,410.375
442.6737,416.9063
417.18182,334.75006
417.9571,471.75
582.61383,399.8125
480.47015,775.875
536.42755,536.37506
469.17798,437.5
872.6415,593.37506
494.6156,450.375
492.13916,380.25
649.6278,566.8125
1028.6583,1231.5625
704.6524,753.84375
502.23615,627.625
676.8099,732.50006
