preds,trues
190.41846,153.6875
71.89038,0.0
293.23267,267.68762
322.89453,178.5625
99.34143,71.28125
55.826782,0.0
90.10278,69.12512
798.1739,507.4375
299.51355,218.75012
122.49182,240.375
153.37708,383.6875
159.91858,95.6875
52.72888,29.250122
35.914673,41.875
53.496216,37.0
70.24426,93.625
157.03162,204.0
434.29242,396.28125
315.73474,302.96875
207.60925,83.875
218.45178,285.37512
202.97559,155.125
135.20093,127.125
343.43597,236.1875
631.5039,537.43756
394.83582,606.6875
362.86255,481.5
387.04254,308.9375
98.26074,100.625
201.45422,160.00012
342.05017,206.87512
499.30304,408.1875
275.27356,299.125
74.16016,111.8125
129.13623,48.1875
20.472046,0.0
1725.0862,4191.8125
1817.4406,50.250122
172.26318,81.0625
76.27832,103.4375
103.41589,51.6875
56.41992,27.1875
109.329834,68.4375
87.05908,40.500122
72.84839,44.625
32.68213,1.375
42.656372,3.437622
45.864746,20.1875
12.980713,0.0
11.086792,0.0
74.193115,51.6875
89.47876,9.6875
70.73926,18.8125
14.191162,2.40625
92.063965,39.875
77.98572,83.9375
66.3147,44.625
42.010376,9.75
14.409424,0.0
10.541992,1.0
9.410278,0.0
12.596313,0.0
10.663696,0.0
11.971191,0.0
10.292236,0.0
9.528931,0.0
9.055054,0.0
9.233887,0.0
9.272461,0.0
9.269653,0.0
16.612549,0.0
9.302246,0.0
9.495361,0.0
9.263916,0.0
9.25415,0.0
9.102295,0.0
9.305908,0.0
52.999023,72.31262
25.356445,28.625
77.13318,113.875
152.32434,153.00012
204.07715,90.06262
98.36902,103.375
98.20972,95.6875
123.6637,55.125122
46.419678,0.0
13.524658,0.125
15.130493,0.0
13.69397,0.0
11.089844,0.0
10.848999,0.0
14.678955,0.0
17.100464,7.59375
15.575439,6.9375
20.025269,5.000122
21.419067,5.1875
24.542847,38.718872
126.302246,203.8125
85.95593,69.56262
30.75415,95.50012
183.73706,255.0625
204.8534,267.0
115.30701,71.21875
21.653564,7.625
25.905151,11.125
57.03076,54.4375
38.617188,18.125
67.401855,25.125
38.683838,19.5
28.111328,19.562622
32.509155,18.125
54.22058,45.375122
106.9801,108.25
105.99646,96.4375
282.50635,220.81262
315.1156,212.4375
128.42285,60.75
162.06201,155.8125
331.28308,263.4375
284.9646,396.9375
513.50635,612.25006
497.05792,378.8125
428.4701,287.9375
229.9032,202.00012
218.04968,285.8125
230.45471,189.375
170.91614,95.75
62.863403,74.75
29.634766,0.0
16.16687,0.0
440.57068,317.9375
515.929,747.125
414.00024,507.375
549.5761,778.1875
918.67395,343.125
649.2604,268.375
613.9111,548.625
624.54,726.90625
659.2112,561.87506
664.4543,873.0
1302.2214,1397.2812
545.5432,282.34375
185.7987,318.81262
208.75537,3.125
50.278442,0.0
25.897583,0.0
50.750122,11.125
76.21619,89.375
56.048706,0.0
14.025391,0.0
14.259155,0.0
8.521851,0.0
9.752686,0.0
9.878418,0.0
9.302246,0.0
10.708374,0.0
12.8302,0.0
8.995972,0.0
9.064453,0.0
8.994263,0.0
