preds,trues
280.54065,153.6875
3857.3384,3538.3125
2769.7236,2256.3125
2063.9302,1713.875
3919.5308,4362.4375
2443.6548,2806.4375
3986.9004,4529.5
3427.2646,5487.8125
3613.4312,4783.5
4122.6636,3658.5
1793.0677,1501.375
2675.2004,2961.5625
1993.7751,3603.3125
2606.226,1897.0
3433.7388,2935.75
4205.853,3520.75
2665.566,2642.8125
2288.9434,1378.375
2950.5498,2584.125
2676.2354,2456.9375
2424.7039,2706.5
2075.7695,1121.8125
1893.8596,2373.75
2317.871,2080.875
1599.7974,1795.0
1598.7252,1651.6875
1625.2979,1636.3125
1475.365,940.125
683.0252,672.375
1546.1017,892.5625
822.1385,660.5
507.95276,596.87506
648.1651,340.375
426.33783,380.875
322.7611,264.875
462.7832,422.8125
1093.9712,713.62506
1265.1366,1585.9375
1315.6448,1076.375
696.52423,542.56256
1020.74066,789.81256
778.3423,814.25006
816.09326,747.875
1081.3654,1260.875
1130.0469,1216.25
964.2381,713.62506
1334.9271,1429.375
1313.994,1261.625
1090.7434,840.12506
389.55164,885.5625
130.59448,0.0
667.62103,397.0
182.51929,1838.3125
199.57666,303.3125
372.7804,299.125
428.5078,448.75
647.8665,237.625
751.64594,451.5
286.67615,299.8125
253.96423,222.25
192.45801,113.875
126.744995,104.8125
163.49219,205.4375
177.83801,407.50006
367.2281,464.06256
199.10425,150.87512
193.33191,157.87512
152.15906,95.0
221.21826,106.18762
440.61786,277.4375
137.89172,2.0625
188.62659,212.4375
264.7611,113.18762
385.1468,596.9375
176.03967,223.50012
167.63562,204.75012
331.09497,117.375
315.82043,266.96875
370.09088,107.625
434.8258,269.75
201.65723,252.9375
364.60333,330.56256
366.1421,321.50012
307.66858,278.875
307.31714,283.40625
326.82275,264.125
214.00159,290.0
144.99634,37.6875
75.691284,137.0
146.99377,130.625
99.66016,133.40637
116.22974,123.6875
96.31445,135.5625
137.7633,124.3125
187.7395,62.125122
205.37256,118.06262
287.44165,454.93756
221.79199,124.3125
89.75232,41.875
91.73425,66.37512
106.881836,99.25012
110.549194,29.312622
118.2124,93.625
91.30359,77.5
119.67908,68.4375
92.30139,20.53125
175.03784,131.25
91.109985,101.31262
93.89368,127.875
109.80017,136.93762
96.861084,44.0
70.52295,32.75
43.949585,32.0625
60.257324,41.125122
85.92444,50.250122
87.27063,39.0625
151.85986,104.40625
144.96228,132.75
164.70435,147.4375
161.17078,130.28125
166.58228,147.40637
179.22949,201.9375
143.22327,120.125
86.66638,51.6875
184.89441,121.5625
106.83948,113.18762
138.05725,61.500122
155.51025,89.4375
176.3617,104.4375
121.65051,163.5
141.1853,185.87512
115.510376,93.625
138.26538,94.31262
84.24475,33.500122
56.921387,155.125
53.47998,69.1875
58.72888,43.9375
54.37744,59.03125
67.35986,26.15625
62.69763,57.65625
90.05383,77.5625
91.63574,85.25012
42.889526,153.00012
120.42285,143.59387
232.62036,235.15637
25.572388,196.4375
135.70691,135.25012
253.37585,52.3125
65.05994,44.625
73.10693,51.656372
122.65234,74.75
106.21948,58.0
73.43298,62.1875
69.1969,81.0
35.871704,76.8125
286.86926,130.6875
220.48389,25.437622
104.81726,190.0625
131.67346,153.6875
76.447754,39.0625
69.763916,100.625
152.84497,219.4375
170.09167,122.93762
182.26685,192.625
357.47113,90.75
420.93652,353.62506
178.94165,173.25
162.58289,118.06262
77.364746,34.1875
46.953003,55.843872
55.740234,129.25
108.667114,204.75012
187.6593,123.0625
111.51831,109.6875
129.08801,113.18762
82.42102,143.5625
87.03247,81.0
203.45227,81.8125
73.045044,90.8125
58.736206,27.9375
65.83032,35.625
51.128662,24.03125
72.71033,50.21875
56.7677,18.125
52.6687,20.875
47.938232,20.9375
53.993896,32.0625
71.65283,41.1875
76.13464,80.3125
102.95166,48.1875
58.129883,18.125
66.20459,38.437622
1794.3787,2483.5625
3106.712,3296.4375
876.54346,793.31256
1488.3572,963.4375
288.9209,260.62512
1800.014,1077.125
1042.095,1303.5625
1027.7859,653.5
1765.2416,963.875
2628.849,2378.625
1683.7083,1591.5625
772.36957,911.4375
420.32837,422.12506
412.4248,1272.8125
665.3819,709.4375
461.47968,1014.875
798.25336,603.25
1277.4968,575.53125
726.7259,731.5
957.1597,1728.5312
1330.4872,1001.625
785.79364,347.375
388.48108,395.62506
326.3683,221.5
538.89465,464.06256
435.56036,534.0
563.3089,498.3125
263.81738,427.00006
300.0337,880.6875
1649.4175,1239.6562
411.31897,773.0
1351.3534,1362.25
257.87585,323.62512
241.58984,610.125
339.13654,398.37506
239.23059,48.875
525.1454,404.625
359.33014,1223.9062
1050.432,831.75006
597.08545,267.68762
183.07495,605.25006
513.8921,136.25
182.20874,141.125
570.2735,976.5
1145.9065,1009.3125
890.81396,1320.3125
119.82312,0.0
53.41797,0.0
74.64734,0.0
251.86536,1052.5938
1194.0674,1062.375
845.2668,999.5
880.495,840.12506
1055.981,1567.0625
1165.7089,1168.6875
1009.449,1342.0
1669.4526,1685.875
639.94324,691.9375
1286.6162,1012.8125
772.06805,563.5625
536.4735,961.375
876.97626,997.03125
642.8251,794.0
783.51086,928.25
834.30273,427.6875
706.33636,600.37506
316.99902,0.0
625.73267,982.0625
1354.6132,1247.625
1073.977,1494.0625
899.59485,830.75
180.2992,0.34375
891.47644,685.68756
493.43304,680.75
454.40308,1157.5
1046.7002,1282.625
533.11694,824.75006
953.89087,1021.875
1056.5449,1297.2812
1269.9713,1503.0938
456.44263,917.75
444.8504,373.25
547.6576,194.9375
409.96063,476.0
276.06104,153.00012
241.20166,307.50012
219.28528,180.3125
232.60754,198.4375
287.7235,442.43756
542.9558,516.1563
418.6324,582.53125
683.8524,1091.8125
718.3964,782.125
569.37244,641.56256
587.9615,604.5625
741.06323,664.0
431.26178,355.0625
439.93146,409.21875
422.21442,431.18756
651.8705,529.75
388.09528,385.8125
455.97333,371.8125
460.66772,399.75
292.19128,109.375
206.4226,154.09375
158.27173,89.71875
255.97559,259.3125
196.77063,100.5625
208.14343,135.5
213.42078,203.375
204.15186,116.0
208.61084,160.34387
38.769653,6.187622
502.98444,536.75
418.79907,676.5625
484.58014,385.8125
525.1227,328.43762
332.2481,4.125
116.008545,622.68756
1044.668,1151.1875
698.34814,968.0
313.83118,198.4375
294.9845,20.1875
345.65607,371.8125
274.54883,11.15625
315.7727,317.3125
271.95264,316.5625
416.0829,632.5
484.4953,727.62506
106.71179,198.4375
128.96277,164.1875
171.04016,167.6875
90.002075,95.75
417.49298,186.93762
376.99084,384.0625
312.11914,408.875
373.42957,374.9375
491.55573,405.37506
386.50525,404.75006
307.92773,421.43756
492.16638,366.25
480.71692,371.8125
381.59454,622.4063
522.13324,428.43756
529.42224,498.3125
481.28766,360.62506
370.40924,319.37512
332.1156,283.75
343.67566,62.875
106.4021,28.59375
54.47534,23.0625
167.30408,183.68762
151.17297,37.0
4709.88,3868.9375
2969.977,3316.6875
3117.9495,2622.625
3255.3618,4463.75
2779.8342,2618.375
2053.4395,2041.75
1946.1367,1890.0
3884.6323,3799.6875
3974.8604,3960.4688
3166.71,3146.8125
5928.34,5759.6875
3924.6646,4747.0625
4921.9604,3678.75
4030.7837,3741.6875
2682.15,2054.3125
2881.7944,2709.9375
3180.8848,3415.2188
3528.7627,3085.3125
1925.0942,1747.4375
4588.289,5301.1875
6440.012,6662.8125
6001.1475,3708.125
2760.058,2229.75
2410.6687,2485.625
2875.6973,3985.625
2161.4314,2115.125
2555.8691,3475.375
2713.2034,2456.9375
2147.9238,2424.0625
1357.4095,1547.6875
2345.092,1987.25
1149.0312,835.9375
2259.7676,1633.5
1921.6327,2515.9375
1788.1116,1836.875
3042.4443,3409.625
966.57544,529.8125
916.2305,712.9375
2410.4937,3324.25
1614.0842,1997.0
3943.3525,3534.75
3749.1553,3008.4375
1972.4324,1773.3125
2096.9565,1933.375
2253.3792,1572.0
2488.9888,2196.1875
1665.8076,1332.9375
1732.4883,1051.1875
2142.1763,1977.0312
2494.4312,2728.4688
3551.4375,3979.3125
