preds,trues
178.0,167.00012
144.30579,170.5
219.55042,202.625
46.91626,223.625
250.15479,138.3125
160.03308,215.875
141.4242,83.12512
175.974,164.87512
167.72131,106.18762
862.8789,685.3125
781.582,437.15625
634.65765,473.15625
455.9419,357.0938
784.5806,1154.375
606.8484,962.78125
1354.9432,1802.3125
467.48828,622.75
594.72217,455.6875
363.9505,363.43756
372.5946,293.50012
732.1856,1033.75
359.44916,383.0
343.47925,271.1875
359.99774,401.1875
458.05237,368.31256
412.1386,380.1875
1224.9814,1211.25
536.9192,1005.75
689.3297,1065.875
369.23303,388.56256
283.46265,192.125
357.00403,239.75
492.6958,438.9375
466.33612,321.50012
354.7854,359.25
526.8852,683.5625
757.2312,475.93756
399.91248,378.8125
315.40027,170.5
272.32373,269.75
369.8224,364.125
330.59094,391.37506
618.84064,443.06256
309.19238,243.93762
363.76776,290.75
478.94916,588.50006
725.4141,963.125
474.80792,863.875
599.32886,379.46875
576.2774,489.96875
605.51416,370.75
561.4298,964.1875
660.80444,378.50006
409.5567,437.875
473.94244,300.125
386.2356,455.31256
388.58386,608.8125
533.16235,443.06256
543.8995,571.87506
404.67346,329.875
443.74707,327.0625
267.87097,357.8125
433.28882,448.0
597.66455,1276.3125
509.43164,694.125
433.67084,473.875
507.41797,495.5
493.17096,1188.25
1275.4133,1092.5
1618.3872,1952.25
1364.3674,2113.6875
722.0926,985.5
2249.8726,1959.9375
774.45526,727.5625
1129.3591,1960.625
433.08643,513.03125
472.10516,508.78125
559.49774,1031.0
475.2257,460.21875
611.5815,1134.4062
314.23938,464.43756
607.6671,359.62506
469.63733,467.5625
436.90686,292.59375
469.34033,535.0313
397.98413,144.625
192.43225,184.4375
284.29028,808.6875
264.91064,406.75
566.3857,351.56256
481.52777,297.75012
550.6763,370.37506
270.3152,365.56256
407.41248,471.06256
888.59534,677.9375
403.23474,480.25006
446.15155,413.0625
328.9452,348.0625
440.2008,550.75
826.7076,559.875
293.46228,332.0
441.36792,446.625
517.7856,470.37506
374.57123,304.75012
397.49292,498.3125
359.3662,435.43756
339.8728,341.75006
244.54834,271.1875
431.79785,246.34375
326.18665,166.59375
178.52063,125.03125
214.47156,187.59375
486.25238,408.12506
577.73126,583.25
245.87915,473.875
810.3651,668.125
494.17017,606.6875
866.8493,1243.125
383.09174,443.8125
257.26782,283.75
402.55402,277.09387
358.46057,467.87506
325.56116,289.68762
340.30676,391.37506
321.95007,330.56256
713.3332,290.0625
298.10144,333.375
282.30908,203.375
247.64136,284.4375
435.32465,234.125
493.00275,218.0625
372.9355,137.625
271.98804,270.4375
399.23053,327.8125
203.24585,303.625
283.32483,241.78125
403.79523,416.15625
558.25024,555.625
422.7702,455.6875
296.1532,243.1875
260.46765,136.93762
277.27283,162.0625
334.19885,320.0625
205.35608,195.00012
245.84045,274.62512
390.3437,311.6875
138.44556,79.625
225.73853,590.5625
833.85315,705.9375
780.53064,700.3125
482.05786,433.31256
382.6156,388.56256
344.5896,320.75
619.9236,675.18756
681.2179,485.68756
644.3667,770.93756
393.93213,383.6875
333.562,557.75
644.9813,606.625
648.29956,671.0
450.35773,614.37506
759.14056,734.5625
492.9121,583.625
767.8251,720.5625
1174.8226,993.9375
351.71588,251.21887
513.8392,695.8125
305.56567,259.25
360.6463,406.75
349.53815,384.37506
324.72583,350.87506
532.5877,410.375
448.9248,416.9063
423.22076,334.75006
424.52747,471.75
584.1514,399.8125
488.2354,775.875
539.7517,536.37506
476.54187,437.5
867.7009,593.37506
500.93878,450.375
498.39795,380.25
655.29926,566.8125
1020.0676,1231.5625
707.9122,753.84375
507.35425,627.625
681.8257,732.50006
