preds,trues
438.26477,283.75
754.89484,645.4375
435.1032,376.75006
375.7423,378.8125
747.7256,1130.9375
768.546,799.5625
467.5445,534.0
455.13373,379.50006
701.99243,592.00006
876.5635,659.125
699.154,142.84375
1380.0721,839.06256
597.5668,647.875
1651.0027,1789.375
1162.7275,1184.9375
1305.3765,1350.4062
1428.9264,1691.5
1400.5168,1707.625
1154.0703,899.5625
959.72797,1068.6875
1021.952,977.8125
1241.3618,2125.9688
2644.947,2930.1875
2383.336,2385.625
2212.5698,2436.6875
2468.0962,2013.4375
2407.0415,2151.5
980.1361,1686.625
1465.9937,1177.75
1124.3375,1502.8125
359.71564,249.15625
431.90497,481.5
712.14795,424.9375
606.60913,429.62506
1288.0044,1171.4375
527.72876,489.25006
1281.1714,1577.9688
1270.8453,767.43756
718.78546,873.6875
772.96234,616.4375
450.90527,348.75006
199.2218,284.125
314.1278,297.0
137.72717,272.5625
317.96545,273.9375
257.6931,359.59375
397.2011,399.0625
627.8256,1173.5625
1115.4014,957.5625
496.39722,640.9375
426.812,472.06256
918.0046,690.50006
447.08136,0.6876221
887.9231,715.00006
1146.6907,1280.5
927.6914,452.25006
891.8806,1632.125
2037.009,1773.3125
647.3688,1143.5
1410.811,769.87506
1194.8792,1564.3125
936.40393,1243.5
1188.4028,807.31256
186.65955,27.9375
181.65173,137.625
109.09375,179.5625
0.0,0.34375
0.0,0.0
0.0,0.0
0.0,0.0
17.461792,0.0
18.577148,10.8125
15.590576,0.0
108.29541,532.56256
466.21252,388.25006
232.18604,31.375122
6782.8013,6763.4375
4369.653,3473.25
5234.853,7457.625
4972.943,4418.625
4056.4834,2997.25
5442.298,3729.125
3803.579,3511.6875
2968.2046,3313.9062
3082.8403,3160.4688
3235.4817,2814.125
2192.7876,2477.875
1713.8691,2132.25
2880.097,2869.375
2661.454,1985.125
895.7117,1777.0938
1079.8566,1808.9375
975.7754,1088.9375
503.05298,227.125
297.09607,231.3125
620.53546,525.56256
182.448,191.4375
295.90503,294.875
175.41394,412.37506
962.42993,503.25006
879.47906,1126.75
351.2185,289.3125
299.32837,214.5
211.73706,189.3125
145.50452,180.25
215.7727,140.4375
