preds,trues
1117.6272,789.125
2540.7148,1525.125
1910.256,1202.1875
978.9833,1490.875
4392.382,5102.625
2403.585,2252.1875
2665.8652,3202.75
2036.9122,1256.0625
981.60706,824.0625
1671.3289,1890.6875
540.3728,742.9375
879.628,477.625
588.5788,858.3125
1074.3511,1477.625
1551.0259,2345.0625
1510.9895,1409.875
1581.0413,1055.375
875.0394,443.8125
630.8378,516.5
646.2285,789.81256
1261.8658,1032.625
1025.3983,1168.0
1307.8152,1672.6875
795.12,594.8125
879.57544,903.0625
533.51904,637.4375
941.402,868.09375
1644.8201,1459.125
704.83777,710.84375
723.5601,586.4063
456.78546,503.25006
501.35962,530.84375
574.40814,437.875
657.7203,856.9375
491.9364,398.75
587.82007,565.46875
938.44055,1120.375
1160.1908,971.5
213.14001,185.125
218.3512,895.25
919.0073,847.84375
553.7808,396.65625
791.2633,1520.2188
745.28705,688.4375
947.1421,1241.75
1166.793,874.40625
596.7805,452.5625
414.65668,278.15637
562.004,505.6563
481.24353,348.37506
997.39014,781.375
364.44366,407.40625
729.61945,696.8125
532.90466,554.25
392.25458,408.12506
858.9767,694.75
517.2152,376.0
687.4092,704.50006
973.72736,1332.25
1189.4059,1170.0625
1535.003,2082.25
592.26,360.62506
842.6463,915.625
722.67303,981.3125
1271.815,1295.9375
514.32166,384.37506
1037.7429,916.3125
1247.0182,1400.0625
3093.2722,2448.2188
3263.9229,3057.0312
3460.9287,3588.9688
3223.8694,5171.875
1546.706,1558.6875
2058.504,2433.625
1950.2561,1536.6562
968.1299,888.3125
1294.0822,1377.0
1315.0513,1490.1875
1147.009,1174.9375
1177.6802,929.625
785.28864,942.875
1228.0063,1215.75
967.119,1313.375
465.0954,408.12506
578.682,503.18756
891.8902,1169.375
1054.476,947.75
677.2091,794.0
1013.21045,945.0
1056.9427,1020.4375
950.0685,453.75006
691.2029,1130.1875
734.1418,452.18756
706.0296,784.25
670.6152,840.8125
1174.3071,1187.5625
868.2998,891.875
1112.2078,1290.3125
1436.2214,1546.125
917.48535,1077.8125
366.90942,386.50006
1495.5339,1616.0
1281.8452,1300.75
1701.3499,1638.4375
1597.922,1925.6875
2144.5034,1989.3125
666.3722,596.87506
1444.5146,1165.125
1114.7058,1004.40625
1109.72,1091.8125
1136.2773,877.34375
420.63245,533.21875
603.6083,606.2813
580.2746,566.84375
429.74854,96.40625
100.72656,17.0625
426.0744,274.96887
721.80273,255.0625
833.6315,849.4375
1283.2161,1531.4375
1281.7444,1323.875
1268.4343,1435.0
1188.5933,1490.1875
1140.0986,1141.375
841.4359,1090.375
487.74817,378.75
637.71136,698.25
320.54114,199.1875
1062.8429,1047.7188
406.79303,523.46875
222.6897,219.0625
810.69324,468.96875
673.72186,840.8125
425.8448,348.0
380.8446,455.6875
577.27386,578.00006
227.51062,239.0
202.74377,309.0
117.47571,156.5
88.34448,133.4375
362.08948,441.0
303.67004,308.9375
167.5741,46.03125
115.98059,12.562622
425.53223,256.8125
333.14392,326.375
195.53503,149.5625
413.41125,409.56256
438.94733,413.7813
279.4469,169.40637
165.89294,91.18762
136.15881,427.75
146.53235,144.75
86.86987,110.375
72.31543,81.6875
14.0625,238.3125
119.962036,142.875
99.30701,78.875
118.45972,91.5
178.49963,190.0625
123.67346,75.4375
118.70215,133.4375
77.72888,25.0625
42.170166,63.5625
51.81604,55.125122
33.65674,35.5625
48.17163,58.625
97.20386,37.6875
98.041626,60.000122
147.37012,195.00012
214.72534,121.0625
258.26343,452.18756
622.1478,706.62506
771.0624,327.0625
1530.7294,1207.125
1491.0562,1237.1875
926.3495,830.3125
985.9299,791.1875
570.0539,476.625
404.28418,224.28125
347.73468,348.6875
365.4076,269.75
274.85742,255.81262
376.07806,208.1875
60.630127,116.0
275.87256,236.1875
144.49536,108.25
161.557,183.4375
424.6098,102.0
182.1073,273.25
666.26996,459.18756
304.81348,498.43756
106.26221,260.0
258.55457,269.75
711.09906,290.75
418.69635,283.75
347.03815,421.43756
352.70905,436.8125
255.53894,206.1875
274.0006,276.0625
163.29724,475.25006
133.94934,929.5625
196.88867,90.06262
323.24414,218.375
233.83582,22.34375
139.9646,85.25012
235.24255,568.9375
401.13428,1080.625
1125.515,1762.8125
2524.7192,2719.75
2049.9673,1762.8125
2040.1958,1732.75
2051.3223,2018.625
2872.8145,2997.9375
2723.9028,3092.2812
2126.309,2353.9688
1602.7085,939.375
421.8592,865.28125
504.2431,457.8125
505.08844,518.625
383.9521,316.5625
341.1103,220.81262
310.4911,187.3125
315.20923,299.8125
290.1057,340.375
191.36792,464.06256
373.96198,311.6875
705.9423,696.875
581.16284,437.5
852.09595,575.87506
656.6988,675.0
584.25995,743.00006
885.9206,501.8125
279.1914,139.75
695.9045,1760.75
1793.2627,1451.0625
870.3211,988.3125
963.1964,168.09375
341.97333,0.34375
303.26257,292.875
242.94934,292.8125
286.23352,210.3125
166.03528,308.1875
582.359,1010.0
735.48535,420.75
359.39087,496.25006
556.7835,566.125
783.7696,652.06256
727.9721,594.75006
706.79816,629.75
818.502,730.375
563.02026,682.93756
1128.0986,1248.375
1241.0059,1311.9375
822.6213,534.68756
337.11005,180.9375
220.26294,223.625
404.79608,202.00012
85.30737,0.0
0.0,0.0
0.0,0.0
0.0,0.0
7.4625244,4.125
18.825684,1.71875
658.70135,591.65625
800.9338,763.93756
1054.1814,3516.625
1729.4637,2203.1875
1154.0836,1036.5625
1685.7548,1873.25
1680.5588,1952.25
1903.0356,1953.6875
1793.7217,1877.4375
2078.916,1906.0625
1688.2906,2093.4375
2229.328,2007.5
1534.4048,1469.25
1705.1676,1760.0625
2586.5024,1130.25
1114.5505,1123.9375
1702.9724,1769.125
1802.3807,1705.5
1854.9067,2091.3125
1568.651,1439.1875
1248.6442,1585.9375
1688.9539,1402.8125
1354.7372,1510.8438
1236.594,1062.4688
1950.3656,2457.625
2323.8804,2247.9375
1981.8788,1734.6875
1757.5492,1213.4375
1400.9423,1292.75
1676.0416,2220.2812
2266.4292,2329.3125
1774.4459,1950.1562
1853.4918,1686.9688
5346.5117,4630.8125
1210.45,988.3125
2570.92,1919.375
839.9473,339.0
522.50977,264.8125
551.64764,497.9375
726.14557,473.12506
605.7346,423.9063
455.2881,497.62506
1436.278,2786.1875
1129.1748,1503.5
2057.869,1579.0
1722.6991,1013.5
1120.033,979.9375
1244.1724,638.25
1261.0355,1222.5
787.7212,759.75
1900.3635,2548.875
799.29236,320.40625
648.3787,760.40625
913.7816,1592.25
3510.5308,2533.8125
2572.8467,3585.75
3403.5503,4727.25
1440.2161,1393.0625
1712.6067,2770.8125
2767.5151,2487.0
2588.395,4011.5
5181.9233,2434.125
5505.3706,4851.6875
6505.8955,6222.4375
4112.9663,4938.375
4231.093,3630.5625
2467.1025,2705.0625
1576.8855,2618.4375
4640.043,3454.375
5441.5347,6249.6875
5399.387,5030.0
1935.54,3026.625
8626.001,7161.1875
6563.7197,4418.3438
779.6701,460.21875
776.01373,257.875
715.6573,610.87506
891.5171,551.43756
589.94464,627.25006
648.8905,350.8125
2127.0518,1077.8125
1606.7319,2367.7812
5249.278,5435.6875
2711.3013,1820.125
7971.0527,9130.3125
6117.9707,7778.4375
6106.3105,6945.1875
4695.0376,4741.9375
3949.7192,6599.8438
5087.1055,6216.875
4094.7085,6218.8125
5103.6035,4470.0625
2649.4463,1758.625
2645.5674,1725.0625
3697.0322,3371.875
3996.0356,2156.375
3428.3438,4177.875
1360.0886,1372.8125
1783.4302,2008.8125
1377.2102,2550.9062
1234.9863,1176.375
1150.7408,754.125
1061.692,1118.3125
212.17041,414.62506
1892.8317,2062.0
1409.5812,1390.25
2895.8408,1859.9375
1553.303,2225.9375
3642.0142,3172.375
5409.256,6582.7188
6641.5117,7199.625
1679.964,3346.0625
3827.811,2695.9375
5058.5317,7569.375
6200.397,4035.5
4233.21,5033.4062
3889.4731,2034.3438
1896.6558,2182.875
4717.3027,3731.9375
3632.397,3664.125
2729.942,3722.8125
1886.8448,1195.1875
739.90393,590.5625
271.17908,499.0625
372.42603,382.9375
1258.1058,849.25
2593.6616,1151.875
4192.9453,3439.6875
1886.55,1976.6875
2776.5774,2358.375
4484.458,4009.4375
4305.8296,1901.875
5629.892,5523.4375
3824.3496,2968.5625
1311.0482,1399.3125
634.5054,381.62506
268.87622,95.6875
237.80713,99.9375
348.4662,298.25
533.2981,456.37506
834.8357,967.3125
1225.2396,1300.0625
1266.7406,1028.875
1268.9325,2361.1875
1538.2443,2085.0625
2557.0479,2215.0625
2384.6436,2458.375
3223.4246,3007.75
2622.1323,2886.8125
2421.9634,2631.6875
1397.6194,980.625
970.8114,895.375
886.19165,324.25
1081.042,1260.9375
963.6762,1063.8125
1919.528,1197.3125
1590.7059,1873.25
1998.3143,1685.875
1134.8821,1309.875
678.07336,606.00006
949.1118,831.0625
191.92456,0.0
468.53864,464.8125
509.37354,405.37506
319.5194,340.375
185.70227,220.125
202.14441,269.0625
265.10693,330.3125
318.51794,285.125
281.20923,232.68762
153.9585,155.78125
87.24304,0.0
96.768555,139.00012
95.54602,130.625
142.67639,286.50012
132.42627,156.5
249.54553,295.62512
231.12976,200.15637
83.00049,5.5
39.77661,0.0
23.61377,0.0
12.097412,0.0
10.959106,0.5
256.56067,4010.125
8596.983,8366.25
11064.124,10621.249
9511.818,10177.374
12794.4,11843.125
9924.27,11678.124
9754.954,8013.25
6599.662,6237.625
10503.855,11541.125
10844.61,11991.937
10102.323,10481.4375
7098.672,5590.5
4237.2725,4071.625
3982.4795,3231.75
7397.355,9172.187
3049.0269,4912.5
3768.2065,3861.9375
6009.9365,5084.5
3542.0762,3882.875
2903.8657,3562.0625
7239.2295,8088.7812
1940.6979,2898.0
1865.2704,1541.9375
3575.5425,4075.0625
2308.1335,3417.3125
3484.7354,3765.5
3940.0854,4510.5625
9345.376,9620.999
5299.708,3418.75
8384.721,8098.5625
5295.745,4049.25
6633.284,5661.8125
5670.805,4931.75
1579.7584,1564.2812
1552.749,1372.75
2238.8423,2643.5625
2011.6498,2165.4375
1920.814,2579.9375
3604.4658,0.0
5184.533,4839.8125
4094.1099,4219.4688
3808.8179,3575.6562
3613.995,2816.2188
2169.5261,4784.5938
2169.6006,1966.5625
1434.4365,1440.1875
773.4782,722.6875
8728.486,10021.499
6701.914,5698.5625
3954.0518,1499.25
2593.9685,2786.9062
7498.244,3830.7812
1116.2852,1122.5
2655.6218,4307.125
1301.2758,1309.875
6285.2466,8197.0625
7704.3184,8431.1875
7759.0825,6984.3125
5663.1665,10544.375
9447.308,9897.187
13171.761,12430.375
5668.559,6012.9375
1703.5923,1908.9375
1235.4138,1057.2188
2514.4746,1845.3125
2635.5334,4121.1875
5429.1177,7330.375
6622.9844,5976.7812
6154.1846,4608.9375
3231.5344,3784.3125
4890.9985,3273.0
2333.7344,3859.4375
7396.754,5461.25
5641.916,8162.125
8381.842,7221.3125
5828.112,4963.2188
6886.2715,7095.4375
4310.264,3641.0
4733.322,5478.0
3489.1973,1865.5625
2525.002,2208.75
3663.8965,4791.5625
6470.606,7615.5625
6324.0547,5875.0625
4892.647,4660.1875
5402.178,4837.0
5395.664,5072.5625
4329.438,4060.4375
1904.0071,1799.875
498.9132,2117.9375
856.136,788.43756
758.4285,550.75
892.18677,547.25
1068.771,806.5625
2480.897,1995.5625
2614.3691,2322.0
1396.4117,1288.1875
1465.1042,2217.875
2650.2446,3042.6875
1744.4226,1236.5
1823.6252,2058.5
2288.9814,2825.25
1540.4766,1753.0625
1649.4249,1546.8125
1232.9823,993.9375
2273.4136,2309.4375
1996.0928,1983.0
1717.6808,1619.5
2099.4624,2350.6875
2519.7395,1914.5
2418.475,2511.125
603.886,329.125
1256.922,1471.3125
884.10345,852.75
516.89166,188.6875
255.92078,227.125
246.86365,269.5
321.53333,484.37506
153.06067,234.81262
1253.2057,1695.0
3418.5293,3809.5
5499.248,2619.75
449.33075,160.75
304.03748,68.4375
1836.7639,1835.5625
1528.0833,1834.125
1389.5261,1450.375
1550.5175,1499.3125
1997.8239,1447.5625
1772.0707,1760.4062
1366.277,1694.2812
2085.622,2048.0
2030.8694,1871.5312
1248.8702,1963.125
1162.7661,1132.3125
1773.7971,1973.9375
1771.1156,1583.875
1786.6659,1575.5
1188.3008,1188.9375
1249.9208,1075.0
1665.9938,1624.375
1732.5886,1514.6875
1224.6384,1533.5625
1983.8489,1891.125
2026.2603,2177.3438
2098.46,2804.2812
2765.5781,2582.75
2541.9553,2799.8125
2049.8228,2162.3125
2967.9973,2809.25
1681.4608,1362.2812
1467.7297,1710.3438
2098.0342,2208.8125
3033.3696,3251.8125
2378.1865,1963.0625
4151.149,3414.625
3203.5935,2754.6875
1736.7861,1263.0
828.0271,0.0
635.40247,879.25
1939.8391,3610.9375
3188.5854,3491.4375
2401.1584,2217.875
4567.589,5463.3125
2867.4724,2112.3125
