preds,trues
1112.2507,789.125
2543.5093,1525.125
1913.398,1202.1875
975.3085,1490.875
4404.163,5102.625
2403.5332,2252.1875
2662.9888,3202.75
2023.7173,1256.0625
974.68286,824.0625
1667.1184,1890.6875
530.5237,742.9375
878.16113,477.625
589.2453,858.3125
1071.571,1477.625
1548.477,2345.0625
1504.0574,1409.875
1575.1382,1055.375
878.84845,443.8125
642.6199,516.5
639.8233,789.81256
1259.8009,1032.625
1021.8191,1168.0
1304.1476,1672.6875
787.86346,594.8125
873.6257,903.0625
524.9269,637.4375
931.0807,868.09375
1641.7104,1459.125
697.9961,710.84375
711.7777,586.4063
437.93512,503.25006
491.32794,530.84375
562.6574,437.875
634.66473,856.9375
483.56482,398.75
580.92993,565.46875
929.3867,1120.375
1155.0482,971.5
203.27332,185.125
202.63025,895.25
902.224,847.84375
545.30615,396.65625
767.76324,1520.2188
738.0406,688.4375
939.6732,1241.75
1159.4314,874.40625
588.636,452.5625
392.1283,278.15637
555.6082,505.6563
472.9308,348.37506
992.3484,781.375
355.94348,407.40625
721.3218,696.8125
522.9883,554.25
382.34344,408.12506
855.7571,694.75
508.88092,376.0
657.91064,704.50006
966.00415,1332.25
1184.065,1170.0625
1528.6119,2082.25
583.39307,360.62506
833.879,915.625
716.01013,981.3125
1267.081,1295.9375
506.33514,384.37506
1032.8079,916.3125
1245.5718,1400.0625
3100.6553,2448.2188
3271.2446,3057.0312
3466.9277,3588.9688
3224.799,5171.875
1527.6525,1558.6875
2050.9565,2433.625
1934.3796,1536.6562
961.7796,888.3125
1288.8042,1377.0
1314.4359,1490.1875
1144.3641,1174.9375
1175.8022,929.625
782.40686,942.875
1225.2233,1215.75
960.0111,1313.375
457.88092,408.12506
573.142,503.18756
886.4286,1169.375
1049.6349,947.75
669.76605,794.0
1014.21436,945.0
1043.9412,1020.4375
941.60657,453.75006
685.2404,1130.1875
728.2406,452.18756
697.61523,784.25
663.0541,840.8125
1168.9077,1187.5625
861.103,891.875
1103.5461,1290.3125
1429.0386,1546.125
909.46704,1077.8125
357.93982,386.50006
1491.979,1616.0
1276.6038,1300.75
1696.4092,1638.4375
1591.6279,1925.6875
2140.7346,1989.3125
658.49603,596.87506
1439.0833,1165.125
1107.6942,1004.40625
1104.5885,1091.8125
1132.5929,877.34375
413.59668,533.21875
596.9661,606.2813
576.5239,566.84375
421.44977,96.40625
85.380005,17.0625
420.44147,274.96887
715.40955,255.0625
824.3379,849.4375
1277.8187,1531.4375
1276.4796,1323.875
1262.624,1435.0
1181.8568,1490.1875
1133.2346,1141.375
833.43536,1090.375
478.7362,378.75
633.1903,698.25
312.8479,199.1875
1057.3694,1047.7188
398.76788,523.46875
204.83044,219.0625
802.6493,468.96875
662.0475,840.8125
416.9865,348.0
370.65143,455.6875
566.5958,578.00006
216.20752,239.0
189.45044,309.0
94.66821,156.5
83.51099,133.4375
357.399,441.0
283.81396,308.9375
149.38184,46.03125
99.888306,12.562622
418.66888,256.8125
312.70532,326.375
182.76367,149.5625
410.83344,409.56256
427.05255,413.7813
267.3058,169.40637
152.40564,91.18762
104.66455,427.75
131.87427,144.75
68.438354,110.375
56.362305,81.6875
12.469238,238.3125
99.158936,142.875
83.4314,78.875
95.726685,91.5
152.26135,190.0625
106.36243,75.4375
94.73486,133.4375
60.647095,25.0625
20.11914,63.5625
29.758057,55.125122
14.619507,35.5625
23.81726,58.625
74.44971,37.6875
70.5957,60.000122
121.65686,195.00012
196.09595,121.0625
221.54688,452.18756
602.5839,706.62506
732.25116,327.0625
1524.7521,1207.125
1484.537,1237.1875
918.1614,830.3125
978.02356,791.1875
561.2439,476.625
394.38702,224.28125
336.13776,348.6875
360.42365,269.75
275.65747,255.81262
376.37994,208.1875
62.609253,116.0
246.7467,236.1875
124.871704,108.25
143.92603,183.4375
418.0417,102.0
166.72192,273.25
658.083,459.18756
289.91577,498.43756
93.30237,260.0
239.8042,269.75
702.0186,290.75
406.3703,283.75
334.76898,421.43756
335.995,436.8125
242.76868,206.1875
255.7102,276.0625
148.2406,475.25006
120.148315,929.5625
185.68127,90.06262
335.8672,218.375
220.92029,22.34375
117.77478,85.25012
240.16028,568.9375
407.6488,1080.625
1116.5641,1762.8125
2524.6895,2719.75
2044.3606,1762.8125
2032.8806,1732.75
2042.6409,2018.625
2870.9048,2997.9375
2718.3286,3092.2812
2118.0034,2353.9688
1591.3582,939.375
416.8686,865.28125
499.6985,457.8125
502.06165,518.625
387.03137,316.5625
336.7386,220.81262
307.98254,187.3125
309.67786,299.8125
302.8966,340.375
166.67908,464.06256
363.78778,311.6875
687.46643,696.875
572.52374,437.5
846.6855,575.87506
650.7361,675.0
573.20355,743.00006
869.19714,501.8125
269.2539,139.75
688.45886,1760.75
1789.5881,1451.0625
861.5432,988.3125
956.90906,168.09375
331.86432,0.34375
289.03333,292.875
229.79846,292.8125
273.87793,210.3125
168.6217,308.1875
576.08997,1010.0
727.6447,420.75
348.622,496.25006
545.357,566.125
786.3157,652.06256
720.8627,594.75006
701.14844,629.75
818.98834,730.375
551.9689,682.93756
1121.1562,1248.375
1236.1083,1311.9375
814.5654,534.68756
327.96167,180.9375
196.52844,223.625
401.55518,202.00012
73.410034,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,4.125
0.0,1.71875
651.54034,591.65625
779.4091,763.93756
1049.0989,3516.625
1722.06,2203.1875
