preds,trues
127.33606,153.6875
3758.3413,3538.3125
2808.9653,2256.3125
2053.8923,1713.875
4014.1958,4362.4375
2405.766,2806.4375
3976.0596,4529.5
3464.483,5487.8125
3462.957,4783.5
4131.3857,3658.5
1708.9724,1501.375
2639.8384,2961.5625
2037.9807,3603.3125
2550.2615,1897.0
3483.8403,2935.75
4219.073,3520.75
2644.6672,2642.8125
2336.3706,1378.375
2970.711,2584.125
2665.025,2456.9375
2385.8677,2706.5
2076.5347,1121.8125
1828.7748,2373.75
2253.5718,2080.875
1514.2886,1795.0
1519.0107,1651.6875
1564.574,1636.3125
1359.0044,940.125
724.0352,672.375
1383.0269,892.5625
776.0776,660.5
398.6056,596.87506
599.33325,340.375
371.5999,380.875
199.64758,264.875
456.0381,422.8125
1012.53986,713.62506
1179.7045,1585.9375
1274.4786,1076.375
687.34735,542.56256
1001.64307,789.81256
762.39813,814.25006
782.63806,747.875
1059.7346,1260.875
1150.0903,1216.25
971.44556,713.62506
1264.5858,1429.375
1246.0334,1261.625
1113.5876,840.12506
403.00635,885.5625
176.86438,0.0
634.4853,397.0
214.40015,1838.3125
228.68054,303.3125
326.15723,299.125
308.18652,448.75
751.73737,237.625
859.78235,451.5
307.07886,299.8125
213.9325,222.25
213.17957,113.875
136.86218,104.8125
155.2378,205.4375
59.30432,407.50006
224.97217,464.06256
209.06787,150.87512
193.70251,157.87512
100.60083,95.0
95.295654,106.18762
390.21417,277.4375
175.2019,2.0625
89.21106,212.4375
164.56616,113.18762
427.10168,596.9375
206.68933,223.50012
120.58325,204.75012
232.70825,117.375
230.92444,266.96875
231.57532,107.625
432.0312,269.75
154.71777,252.9375
255.88,330.56256
344.17877,321.50012
283.72168,278.875
284.1112,283.40625
246.72034,264.125
236.18274,290.0
160.41846,37.6875
77.0293,137.0
79.156494,130.625
94.42688,133.40637
77.11621,123.6875
92.416504,135.5625
58.771973,124.3125
143.30432,62.125122
137.69617,118.06262
265.53064,454.93756
213.00513,124.3125
87.206665,41.875
56.298706,66.37512
77.96509,99.25012
68.05359,29.312622
83.07605,93.625
28.427734,77.5
71.638306,68.4375
68.30188,20.53125
107.7832,131.25
81.00452,101.31262
66.90991,127.875
76.08179,136.93762
77.354004,44.0
41.72754,32.75
33.240234,32.0625
15.84668,41.125122
42.98816,50.250122
49.965454,39.0625
49.34021,104.40625
97.41333,132.75
116.2583,147.4375
121.23999,130.28125
131.06067,147.40637
144.68176,201.9375
131.69043,120.125
81.903564,51.6875
103.09436,121.5625
76.642334,113.18762
89.38159,61.500122
94.157104,89.4375
95.65588,104.4375
96.37842,163.5
121.90662,185.87512
108.6012,93.625
98.53259,94.31262
75.87146,33.500122
35.0542,155.125
54.457153,69.1875
59.377686,43.9375
30.086914,59.03125
44.51819,26.15625
30.728882,57.65625
66.022705,77.5625
68.116455,85.25012
42.02307,153.00012
106.30908,143.59387
192.38806,235.15637
48.326538,196.4375
151.83386,135.25012
196.3695,52.3125
88.80408,44.625
39.598633,51.656372
88.05823,74.75
24.827637,58.0
69.13721,62.1875
28.488647,81.0
13.887451,76.8125
150.00562,130.6875
161.4635,25.437622
102.33215,190.0625
127.922485,153.6875
72.67444,39.0625
62.543823,100.625
82.99756,219.4375
129.57935,122.93762
117.75427,192.625
256.66614,90.75
336.57794,353.62506
209.04456,173.25
173.50427,118.06262
80.187744,34.1875
35.35852,55.843872
38.82617,129.25
36.79651,204.75012
91.40576,123.0625
90.825195,109.6875
87.53674,113.18762
87.18054,143.5625
73.96338,81.0
126.83728,81.8125
87.82056,90.8125
57.141846,27.9375
20.383179,35.625
20.279907,24.03125
11.249756,50.21875
30.392456,18.125
6.175415,20.875
5.795044,20.9375
22.668945,32.0625
30.921875,41.1875
37.509277,80.3125
64.09546,48.1875
36.89514,18.125
36.93994,38.437622
1860.0597,2483.5625
3089.92,3296.4375
881.70264,793.31256
1411.7745,963.4375
319.41345,260.62512
1655.6763,1077.125
1067.7477,1303.5625
1067.9323,653.5
1618.669,963.875
2634.1655,2378.625
1644.0519,1591.5625
828.78876,911.4375
465.67365,422.12506
411.9402,1272.8125
652.3401,709.4375
475.4638,1014.875
856.10706,603.25
1155.915,575.53125
747.75134,731.5
923.15796,1728.5312
1262.971,1001.625
808.14813,347.375
395.00885,395.62506
197.45312,221.5
486.37512,464.06256
375.76257,534.0
526.2504,498.3125
220.61584,427.00006
218.12549,880.6875
1509.2578,1239.6562
441.92914,773.0
1264.2839,1362.25
287.9796,323.62512
229.06763,610.125
326.40515,398.37506
236.95618,48.875
523.7422,404.625
299.89038,1223.9062
1002.7626,831.75006
575.2397,267.68762
229.6466,605.25006
510.9253,136.25
190.51501,141.125
449.5232,976.5
1082.0837,1009.3125
955.1019,1320.3125
169.82227,0.0
18.9646,0.0
29.107178,0.0
161.44214,1052.5938
1148.292,1062.375
879.9683,999.5
910.1515,840.12506
1099.8655,1567.0625
1131.2909,1168.6875
1003.7311,1342.0
1633.719,1685.875
691.23456,691.9375
1190.4365,1012.8125
772.1404,563.5625
550.6115,961.375
933.34283,997.03125
634.26965,794.0
883.3639,928.25
910.1662,427.6875
704.2047,600.37506
334.49316,0.0
624.65955,982.0625
1221.3245,1247.625
1113.5934,1494.0625
904.4742,830.75
249.52332,0.34375
853.33154,685.68756
473.8081,680.75
468.16382,1157.5
1010.05054,1282.625
603.3254,824.75006
1049.4398,1021.875
1091.9839,1297.2812
1231.1544,1503.0938
493.54895,917.75
466.61188,373.25
511.4497,194.9375
303.3501,476.0
237.82251,153.00012
104.33569,307.50012
156.99341,180.3125
208.2218,198.4375
169.432,442.43756
543.54736,516.1563
414.79968,582.53125
813.39343,1091.8125
707.39514,782.125
570.73883,641.56256
592.503,604.5625
839.82697,664.0
442.44757,355.0625
415.6944,409.21875
411.6067,431.18756
639.70917,529.75
386.2392,385.8125
351.9052,371.8125
306.98633,399.75
306.833,109.375
158.59558,154.09375
111.173096,89.71875
227.88684,259.3125
180.40356,100.5625
107.71533,135.5
123.08484,203.375
109.07654,116.0
177.1305,160.34387
66.23413,6.187622
515.3006,536.75
411.04333,676.5625
493.5708,385.8125
528.5154,328.43762
355.09735,4.125
147.37024,622.68756
988.78534,1151.1875
683.50323,968.0
358.03882,198.4375
212.5,20.1875
253.11133,371.8125
