preds,trues
130.76367,167.00012
130.8805,170.5
156.79126,202.625
65.756714,223.625
163.87231,138.3125
132.55212,215.875
128.77356,83.12512
105.152954,164.87512
138.70764,106.18762
841.71045,685.3125
822.3261,437.15625
730.4748,473.15625
441.51074,357.0938
773.3695,1154.375
624.83997,962.78125
1244.9546,1802.3125
497.43274,622.75
611.89514,455.6875
380.39514,363.43756
379.6955,293.50012
730.6811,1033.75
373.20178,383.0
304.08142,271.1875
246.8584,401.1875
353.54938,368.31256
316.97742,380.1875
1122.6027,1211.25
542.3297,1005.75
693.39276,1065.875
410.25854,388.56256
307.39062,192.125
335.75177,239.75
373.26202,438.9375
418.05658,321.50012
289.02112,359.25
372.9342,683.5625
783.12836,475.93756
420.03564,378.8125
322.4182,170.5
196.78784,269.75
248.09814,364.125
276.7019,391.37506
621.818,443.06256
303.41956,243.93762
215.93567,290.75
374.1598,588.50006
740.2354,963.125
480.675,863.875
589.1231,379.46875
564.1112,489.96875
718.02563,370.75
593.8489,964.1875
650.00726,378.50006
402.77203,437.875
353.8734,300.125
232.4408,455.31256
333.0022,608.8125
511.83136,443.06256
469.38232,571.87506
374.10046,329.875
417.9746,327.0625
267.36206,357.8125
354.30768,448.0
561.05365,1276.3125
525.4016,694.125
454.78308,473.875
497.38623,495.5
504.3371,1188.25
1175.7109,1092.5
1532.3453,1952.25
1296.458,2113.6875
757.85345,985.5
2191.948,1959.9375
772.2488,727.5625
1149.3337,1960.625
410.65228,513.03125
422.8305,508.78125
401.62207,1031.0
457.38672,460.21875
547.6695,1134.4062
345.02148,464.43756
619.5078,359.62506
481.31732,467.5625
450.04968,292.59375
456.3319,535.0313
396.1383,144.625
205.4574,184.4375
164.64795,808.6875
283.8058,406.75
566.87616,351.56256
370.21075,297.75012
566.4604,370.37506
265.65942,365.56256
341.5551,471.06256
850.2034,677.9375
409.0028,480.25006
443.53033,413.0625
311.47498,348.0625
366.60767,550.75
812.4892,559.875
327.15088,332.0
343.58215,446.625
439.02332,470.37506
345.1947,304.75012
389.1068,498.3125
326.50208,435.43756
310.69727,341.75006
206.83728,271.1875
286.9369,246.34375
189.03577,166.59375
162.79077,125.03125
135.57544,187.59375
476.07898,408.12506
403.2649,583.25
263.96216,473.875
793.38654,668.125
494.9887,606.6875
875.54114,1243.125
406.8073,443.8125
272.81323,283.75
356.57465,277.09387
325.8484,467.87506
317.40906,289.68762
313.7572,391.37506
310.58582,330.56256
699.7547,290.0625
313.18933,333.375
292.38037,203.375
227.85449,284.4375
330.25372,234.125
474.22632,218.0625
257.89294,137.625
171.42749,270.4375
329.64948,327.8125
186.4347,303.625
228.42944,241.78125
263.28076,416.15625
515.5284,555.625
428.0946,455.6875
310.70337,243.1875
234.6101,136.93762
252.75232,162.0625
240.97351,320.0625
182.66467,195.00012
125.23096,274.62512
303.4375,311.6875
129.31262,79.625
99.5155,590.5625
807.89325,705.9375
871.5926,700.3125
484.75208,433.31256
395.37518,388.56256
328.92493,320.75
623.65686,675.18756
810.2524,485.68756
782.2428,770.93756
406.81067,383.6875
330.0545,557.75
535.5777,606.625
650.03064,671.0
461.5031,614.37506
849.47,734.5625
493.2328,583.625
791.1354,720.5625
1117.5801,993.9375
369.31805,251.21887
470.3368,695.8125
269.3529,259.25
221.15039,406.75
247.4773,384.37506
277.63794,350.87506
513.8402,410.375
433.84033,416.9063
419.67438,334.75006
374.4422,471.75
577.6304,399.8125
331.0094,775.875
537.4652,536.37506
476.81573,437.5
863.7082,593.37506
514.8514,450.375
503.07428,380.25
684.79285,566.8125
1051.047,1231.5625
696.3086,753.84375
521.30225,627.625
806.7786,732.50006
