preds,trues
136.44531,153.6875
3757.8892,3538.3125
2812.3245,2256.3125
2063.6143,1713.875
4009.4297,4362.4375
2412.2026,2806.4375
3971.437,4529.5
3465.8765,5487.8125
3471.833,4783.5
4134.343,3658.5
1724.0283,1501.375
2641.0874,2961.5625
2045.0,3603.3125
2551.938,1897.0
3476.481,2935.75
4208.3525,3520.75
2648.8457,2642.8125
2343.6685,1378.375
2969.9062,2584.125
2667.601,2456.9375
2389.289,2706.5
2081.7058,1121.8125
1829.5911,2373.75
2251.4155,2080.875
1517.4468,1795.0
1522.4299,1651.6875
1566.6469,1636.3125
1364.8907,940.125
727.8819,672.375
1386.8287,892.5625
778.96936,660.5
412.69415,596.87506
602.2413,340.375
372.72467,380.875
213.19714,264.875
462.27478,422.8125
1017.2486,713.62506
1186.6752,1585.9375
1279.2349,1076.375
696.2001,542.56256
1008.8024,789.81256
771.6517,814.25006
791.3609,747.875
1067.4987,1260.875
1155.6403,1216.25
979.95435,713.62506
1270.442,1429.375
1251.3937,1261.625
1119.5591,840.12506
411.59503,885.5625
186.02441,0.0
640.2552,397.0
223.17273,1838.3125
238.40356,303.3125
324.36755,299.125
300.52673,448.75
779.12836,237.625
877.1144,451.5
316.06372,299.8125
238.35742,222.25
224.94519,113.875
150.547,104.8125
169.71106,205.4375
71.51965,407.50006
231.75684,464.06256
221.82349,150.87512
209.2976,157.87512
126.38037,95.0
123.9314,106.18762
390.34534,277.4375
186.15308,2.0625
82.07141,212.4375
195.01843,113.18762
436.79974,596.9375
216.93579,223.50012
147.51917,204.75012
261.87756,117.375
223.61255,266.96875
253.6499,107.625
436.30328,269.75
178.83472,252.9375
239.65015,330.56256
364.518,321.50012
303.13794,278.875
308.03845,283.40625
280.42883,264.125
249.91699,290.0
174.37024,37.6875
93.44507,137.0
103.13611,130.625
111.24109,133.40637
97.72974,123.6875
109.10205,135.5625
85.13098,124.3125
165.52173,62.125122
164.9364,118.06262
285.01123,454.93756
229.47644,124.3125
105.08252,41.875
78.094604,66.37512
99.39221,99.25012
88.923096,29.312622
103.92688,93.625
53.459595,77.5
94.62573,68.4375
87.8363,20.53125
133.92871,131.25
99.01721,101.31262
87.56885,127.875
98.11304,136.93762
96.64111,44.0
62.909912,32.75
51.691772,32.0625
38.562744,41.125122
64.73279,50.250122
71.02112,39.0625
76.59009,104.40625
120.650635,132.75
140.099,147.4375
143.68433,130.28125
153.44727,147.40637
166.6903,201.9375
148.90417,120.125
98.839966,51.6875
130.43323,121.5625
97.23328,113.18762
112.06079,61.500122
119.02673,89.4375
123.45764,104.4375
116.645874,163.5
141.32983,185.87512
126.413086,93.625
121.128174,94.31262
94.34973,33.500122
55.677246,155.125
72.623535,69.1875
76.55493,43.9375
50.36084,59.03125
65.01416,26.15625
52.02832,57.65625
85.657715,77.5625
87.89917,85.25012
60.529053,153.00012
125.44165,143.59387
216.33508,235.15637
63.495728,196.4375
167.76416,135.25012
226.66748,52.3125
102.896484,44.625
63.399292,51.656372
110.30603,74.75
49.52356,58.0
86.93811,62.1875
50.896362,81.0
34.7865,76.8125
152.33923,130.6875
189.70972,25.437622
120.287964,190.0625
145.20947,153.6875
90.95166,39.0625
80.07129,100.625
109.62097,219.4375
152.92468,122.93762
144.01746,192.625
297.7616,90.75
309.1289,353.62506
221.58691,173.25
189.75049,118.06262
96.74194,34.1875
54.79663,55.843872
57.8761,129.25
61.046753,204.75012
118.64551,123.0625
110.65674,109.6875
111.28821,113.18762
103.807495,143.5625
92.53137,81.0
156.21118,81.8125
103.10193,90.8125
74.93713,27.9375
43.83362,35.625
41.163086,24.03125
35.191772,50.21875
49.825928,18.125
28.852173,20.875
28.065918,20.9375
43.857544,32.0625
53.278687,41.1875
60.018677,80.3125
86.46814,48.1875
56.95569,18.125
58.26062,38.437622
1866.9016,2483.5625
3089.6968,3296.4375
889.7578,793.31256
1419.2178,963.4375
328.62537,260.62512
1656.7257,1077.125
1073.4788,1303.5625
1067.9181,653.5
1620.689,963.875
2632.855,2378.625
1651.0618,1591.5625
836.26764,911.4375
473.4795,422.12506
419.85217,1272.8125
658.3748,709.4375
481.64337,1014.875
863.3344,603.25
1159.498,575.53125
780.73694,731.5
929.72986,1728.5312
1267.4989,1001.625
816.33606,347.375
403.62195,395.62506
204.32336,221.5
489.2838,464.06256
389.6352,534.0
529.0154,498.3125
237.6576,427.00006
244.80542,880.6875
1515.5979,1239.6562
451.78418,773.0
1272.833,1362.25
298.20288,323.62512
241.1228,610.125
338.11053,398.37506
246.9043,48.875
530.26886,404.625
317.7732,1223.9062
1010.20215,831.75006
585.2643,267.68762
240.61353,605.25006
522.7771,136.25
202.38452,141.125
426.54065,976.5
1088.1344,1009.3125
961.60547,1320.3125
179.77368,0.0
42.80298,0.0
46.858643,0.0
159.0586,1052.5938
1155.4873,1062.375
886.8751,999.5
917.3566,840.12506
1104.2666,1567.0625
1139.0166,1168.6875
1012.10974,1342.0
1640.0618,1685.875
698.38434,691.9375
1196.4534,1012.8125
778.4934,563.5625
557.65607,961.375
942.78284,997.03125
640.8189,794.0
901.0436,928.25
895.979,427.6875
713.85065,600.37506
344.65692,0.0
631.8182,982.0625
1225.2532,1247.625
1118.7506,1494.0625
911.92944,830.75
260.31274,0.34375
858.58417,685.68756
482.4552,680.75
476.28186,1157.5
1016.5304,1282.625
611.4559,824.75006
1054.6799,1021.875
1097.6925,1297.2812
1237.1566,1503.0938
502.57977,917.75
474.93518,373.25
521.60205,194.9375
320.80188,476.0
251.53052,153.00012
113.448364,307.50012
173.05762,180.3125
226.17126,198.4375
199.5321,442.43756
553.0362,516.1563
431.2315,582.53125
787.4369,1091.8125
716.5511,782.125
579.38873,641.56256
600.7021,604.5625
830.8809,664.0
451.16754,355.0625
433.0238,409.21875
424.53455,431.18756
647.5454,529.75
396.23865,385.8125
324.21814,371.8125
390.23224,399.75
318.2755,109.375
181.52136,154.09375
133.74939,89.71875
227.24072,259.3125
196.71753,100.5625
