preds,trues
153.97571,167.00012
149.43677,170.5
183.61536,202.625
80.5155,223.625
193.81665,138.3125
153.60791,215.875
146.77441,83.12512
132.8761,164.87512
158.90259,106.18762
849.66833,685.3125
822.379,437.15625
719.0323,473.15625
454.0346,357.0938
781.9607,1154.375
634.6548,962.78125
1250.7367,1802.3125
506.0404,622.75
619.54205,455.6875
389.83643,363.43756
389.09393,293.50012
747.21564,1033.75
381.66193,383.0
303.53284,271.1875
269.39246,401.1875
332.94757,368.31256
357.1958,380.1875
1127.7406,1211.25
550.7786,1005.75
703.4555,1065.875
419.83215,388.56256
317.28174,192.125
349.6936,239.75
414.7323,438.9375
435.02795,321.50012
309.70288,359.25
362.86456,683.5625
797.31665,475.93756
429.5332,378.8125
334.52673,170.5
229.69958,269.75
278.30615,364.125
296.86548,391.37506
630.6134,443.06256
317.69482,243.93762
234.26636,290.75
423.7282,588.50006
758.48126,963.125
489.4829,863.875
598.432,379.46875
574.0132,489.96875
721.4998,370.75
600.357,964.1875
657.85895,378.50006
413.36414,437.875
388.11353,300.125
260.6588,455.31256
353.17407,608.8125
524.2127,443.06256
506.12213,571.87506
389.9046,329.875
419.81732,327.0625
280.51807,357.8125
385.97693,448.0
591.1035,1276.3125
534.2447,694.125
465.05457,473.875
507.97388,495.5
515.2541,1188.25
1182.574,1092.5
1538.363,1952.25
1301.8516,2113.6875
765.7959,985.5
2195.3933,1959.9375
781.6791,727.5625
1156.2247,1960.625
423.2226,513.03125
446.31378,508.78125
383.06073,1031.0
467.73706,460.21875
535.63446,1134.4062
354.68506,464.43756
630.3349,359.62506
490.1297,467.5625
458.83728,292.59375
468.46027,535.0313
409.15625,144.625
218.82959,184.4375
181.2732,808.6875
294.7932,406.75
574.6427,351.56256
324.3219,297.75012
585.1252,370.37506
279.92822,365.56256
367.95856,471.06256
858.6337,677.9375
419.26178,480.25006
454.70428,413.0625
325.86536,348.0625
395.47516,550.75
823.99384,559.875
336.5548,332.0
388.69366,446.625
483.30603,470.37506
361.60535,304.75012
401.13348,498.3125
344.0562,435.43756
328.24524,341.75006
226.3169,271.1875
264.9497,246.34375
220.07751,166.59375
179.45349,125.03125
160.78857,187.59375
483.43774,408.12506
513.21936,583.25
276.00037,473.875
803.3869,668.125
505.70752,606.6875
892.8361,1243.125
415.93958,443.8125
285.51794,283.75
378.64966,277.09387
343.3205,467.87506
328.79468,289.68762
329.70367,391.37506
324.01465,330.56256
708.70215,290.0625
324.47583,333.375
304.35266,203.375
244.54456,284.4375
315.84668,234.125
482.55432,218.0625
239.72473,137.625
201.7583,270.4375
318.93494,327.8125
202.9187,303.625
252.63245,241.78125
247.14331,416.15625
520.0363,555.625
439.22882,455.6875
321.80347,243.1875
254.35925,136.93762
270.49255,162.0625
272.57825,320.0625
199.32434,195.00012
150.39307,274.62512
292.63696,311.6875
144.57117,79.625
123.413574,590.5625
816.95325,705.9375
862.94965,700.3125
493.90057,433.31256
406.15234,388.56256
345.34576,320.75
643.1217,675.18756
811.89154,485.68756
781.7961,770.93756
417.87976,383.6875
344.27124,557.75
652.5867,606.625
658.5189,671.0
470.6137,614.37506
882.6315,734.5625
502.406,583.625
809.68823,720.5625
1126.1781,993.9375
378.19342,251.21887
467.00208,695.8125
285.96436,259.25
244.61096,406.75
272.12598,384.37506
298.52405,350.87506
521.4935,410.375
450.2071,416.9063
433.97614,334.75006
404.01532,471.75
604.62225,399.8125
409.63202,775.875
549.67267,536.37506
494.0251,437.5
878.34235,593.37506
524.989,450.375
514.47943,380.25
700.8457,566.8125
1064.2538,1231.5625
704.57605,753.84375
530.0046,627.625
814.0249,732.50006
