preds,trues
177.61572,153.6875
116.2229,0.0
206.92773,267.68762
329.85577,178.5625
142.18921,71.28125
86.84143,0.0
66.64197,69.12512
766.859,507.4375
341.1161,218.75012
173.9458,240.375
156.23572,383.6875
189.26343,95.6875
100.79065,29.250122
52.119507,41.875
66.59802,37.0
7.7420654,93.625
109.08435,204.0
368.49774,396.28125
326.13928,302.96875
237.92004,83.875
204.68628,285.37512
199.77698,155.125
152.50073,127.125
226.24731,236.1875
648.7843,537.43756
419.76007,606.6875
396.72235,481.5
407.55518,308.9375
159.04309,100.625
145.07996,160.00012
212.0116,206.87512
506.68683,408.1875
310.81372,299.125
130.88086,111.8125
92.48645,48.1875
45.23047,0.0
1551.523,4191.8125
1741.9783,50.250122
175.07776,81.0625
162.76282,103.4375
51.548462,51.6875
81.61218,27.1875
82.470215,68.4375
98.920166,40.500122
126.00525,44.625
44.404663,1.375
40.758545,3.437622
54.185547,20.1875
26.029907,0.0
22.773804,0.0
49.267456,51.6875
78.81665,9.6875
66.19214,18.8125
33.470093,2.40625
64.81116,39.875
74.36841,83.9375
80.07263,44.625
52.33667,9.75
29.033936,0.0
19.2583,1.0
20.393799,0.0
23.095703,0.0
12.115845,0.0
20.211182,0.0
16.358643,0.0
20.047485,0.0
20.166748,0.0
19.97705,0.0
20.178833,0.0
20.177979,0.0
24.267456,0.0
20.825684,0.0
21.000732,0.0
20.245483,0.0
20.306519,0.0
20.211426,0.0
20.193115,0.0
42.55359,72.31262
50.461304,28.625
69.31641,113.875
131.72205,153.00012
169.80566,90.06262
123.4364,103.375
117.112305,95.6875
140.30188,55.125122
72.1853,0.0
33.634277,0.125
10.73877,0.0
14.077637,0.0
9.211548,0.0
18.863525,0.0
0.6435547,0.0
24.868042,7.59375
26.854858,6.9375
28.76416,5.000122
30.463867,5.1875
31.457275,38.718872
94.59973,203.8125
101.736084,69.56262
56.07959,95.50012
139.79846,255.0625
214.46216,267.0
147.47656,71.21875
57.760498,7.625
31.7854,11.125
52.098755,54.4375
47.912598,18.125
61.497925,25.125
25.277344,19.5
31.110718,19.562622
40.340454,18.125
54.328125,45.375122
90.329834,108.25
108.97363,96.4375
154.38269,220.81262
286.13452,212.4375
165.47717,60.75
158.73547,155.8125
291.68567,263.4375
290.46057,396.9375
454.65228,612.25006
505.4229,378.8125
422.265,287.9375
260.9558,202.00012
246.48962,285.8125
222.5105,189.375
182.52051,95.75
55.086914,74.75
21.670532,0.0
0.9991455,0.0
445.10107,317.9375
521.3724,747.125
436.26813,507.375
555.56964,778.1875
983.1677,343.125
658.9883,268.375
648.7311,548.625
629.8389,726.90625
647.13196,561.87506
665.0672,873.0
1202.1617,1397.2812
586.5634,282.34375
232.07593,318.81262
198.23169,3.125
46.58362,0.0
0.0,0.0
0.0,11.125
