preds,trues
427.06342,283.75
768.6273,645.4375
423.28656,376.75006
394.33044,378.8125
693.4675,1130.9375
781.3344,799.5625
458.88788,534.0
453.28766,379.50006
630.2013,592.00006
775.2586,659.125
711.1483,142.84375
1532.5859,839.06256
562.3094,647.875
1742.4362,1789.375
1171.827,1184.9375
1328.6027,1350.4062
1477.0248,1691.5
1404.6752,1707.625
1203.6783,899.5625
945.01587,1068.6875
1004.13885,977.8125
1278.5521,2125.9688
2652.3784,2930.1875
2346.7546,2385.625
2191.2773,2436.6875
2438.006,2013.4375
2368.9336,2151.5
1080.3491,1686.625
1536.9994,1177.75
1122.2622,1502.8125
377.20465,249.15625
444.50665,481.5
745.839,424.9375
634.18713,429.62506
1401.3949,1171.4375
516.6557,489.25006
1401.5325,1577.9688
1269.6252,767.43756
733.03064,873.6875
762.72504,616.4375
437.7113,348.75006
354.22632,284.125
370.281,297.0
233.02417,272.5625
344.62994,273.9375
351.45776,359.59375
416.1886,399.0625
609.5986,1173.5625
1059.1864,957.5625
473.18085,640.9375
401.36353,472.06256
827.86676,690.50006
430.7981,0.6876221
881.81226,715.00006
1169.3569,1280.5
900.8993,452.25006
806.5082,1632.125
2067.4036,1773.3125
666.31573,1143.5
1443.2062,769.87506
1242.3859,1564.3125
958.5938,1243.5
1181.6218,807.31256
134.23572,27.9375
193.76306,137.625
146.93982,179.5625
82.88757,0.34375
29.833008,0.0
42.568848,0.0
42.952393,0.0
23.884766,0.0
11.665283,10.8125
17.30249,0.0
196.66821,532.56256
446.14575,388.25006
204.70251,31.375122
6370.488,6763.4375
4283.507,3473.25
5077.916,7457.625
4930.2466,4418.625
4016.8442,2997.25
5402.208,3729.125
3849.4658,3511.6875
2921.9126,3313.9062
3120.4763,3160.4688
3300.3784,2814.125
2165.0652,2477.875
1784.6477,2132.25
2936.2869,2869.375
2612.9614,1985.125
895.46497,1777.0938
1044.7227,1808.9375
930.6544,1088.9375
499.55542,227.125
338.281,231.3125
604.7619,525.56256
301.97876,191.4375
423.79236,294.875
281.00842,412.37506
980.19586,503.25006
862.03284,1126.75
302.7649,289.3125
272.0492,214.5
185.68823,189.3125
278.25586,180.25
224.17786,140.4375
