preds,trues
1059.8068,789.125
2588.6646,1525.125
1986.325,1202.1875
961.286,1490.875
4314.9727,5102.625
2314.3838,2252.1875
2704.7703,3202.75
2009.5173,1256.0625
1016.42847,824.0625
1757.9395,1890.6875
359.67883,742.9375
903.1717,477.625
834.3822,858.3125
1129.4043,1477.625
1632.9095,2345.0625
1508.6454,1409.875
1599.6454,1055.375
785.02014,443.8125
563.116,516.5
668.3503,789.81256
1385.9537,1032.625
1068.6135,1168.0
1380.2036,1672.6875
756.8244,594.8125
897.30554,903.0625
538.53485,637.4375
935.19556,868.09375
1771.9797,1459.125
688.20996,710.84375
685.05365,586.4063
497.02924,503.25006
500.17407,530.84375
603.8466,437.875
662.5864,856.9375
488.9571,398.75
606.80743,565.46875
953.83417,1120.375
1130.3484,971.5
171.77405,185.125
208.07336,895.25
844.88446,847.84375
593.1535,396.65625
775.5997,1520.2188
728.40485,688.4375
979.84534,1241.75
1144.6033,874.40625
592.42883,452.5625
454.1018,278.15637
565.5135,505.6563
482.28314,348.37506
1037.3651,781.375
314.8302,407.40625
724.53253,696.8125
524.23584,554.25
357.13983,408.12506
748.34314,694.75
502.72253,376.0
542.5093,704.50006
1001.9065,1332.25
1193.4244,1170.0625
1567.5468,2082.25
574.7804,360.62506
726.9443,915.625
748.31604,981.3125
1325.736,1295.9375
510.06848,384.37506
1085.0603,916.3125
1343.2104,1400.0625
3110.1284,2448.2188
3268.9624,3057.0312
3421.9512,3588.9688
3231.3018,5171.875
1690.3611,1558.6875
2036.93,2433.625
2021.7485,1536.6562
983.85333,888.3125
1324.1067,1377.0
1399.8245,1490.1875
1170.6929,1174.9375
1258.5507,929.625
817.2518,942.875
1308.3055,1215.75
926.3512,1313.375
444.96893,408.12506
570.7006,503.18756
935.3627,1169.375
1072.3335,947.75
687.1337,794.0
926.61194,945.0
1019.7715,1020.4375
933.5023,453.75006
707.0034,1130.1875
746.7048,452.18756
697.71875,784.25
673.08435,840.8125
1252.4745,1187.5625
862.43024,891.875
1129.1302,1290.3125
1504.649,1546.125
902.64685,1077.8125
340.039,386.50006
1641.7588,1616.0
1303.4537,1300.75
1724.6548,1638.4375
1620.9634,1925.6875
2143.6077,1989.3125
665.711,596.87506
1588.6223,1165.125
1147.0792,1004.40625
1056.957,1091.8125
1214.7169,877.34375
429.46967,533.21875
590.66315,606.2813
614.66876,566.84375
442.07098,96.40625
124.78943,17.0625
405.58075,274.96887
755.12103,255.0625
835.7482,849.4375
1355.9526,1531.4375
1301.46,1323.875
1286.2355,1435.0
1207.3762,1490.1875
1152.3728,1141.375
851.17944,1090.375
439.40527,378.75
661.1905,698.25
267.73877,199.1875
1109.7965,1047.7188
366.5218,523.46875
260.6819,219.0625
808.992,468.96875
620.86115,840.8125
412.88605,348.0
378.06903,455.6875
548.0253,578.00006
193.46387,239.0
189.29883,309.0
194.65662,156.5
202.57361,133.4375
372.6737,441.0
324.38428,308.9375
153.86731,46.03125
81.677734,12.562622
421.33582,256.8125
339.0451,326.375
156.6831,149.5625
431.02478,409.56256
421.70593,413.7813
257.31042,169.40637
121.82617,91.18762
212.17139,427.75
128.60535,144.75
85.77576,110.375
52.282227,81.6875
104.579834,238.3125
120.958984,142.875
68.143555,78.875
131.25183,91.5
214.4701,190.0625
100.41235,75.4375
128.18652,133.4375
50.70935,25.0625
49.983276,63.5625
59.47278,55.125122
21.542236,35.5625
76.83496,58.625
182.91663,37.6875
174.2074,60.000122
239.87476,195.00012
197.82288,121.0625
316.56665,452.18756
603.41986,706.62506
626.4338,327.0625
1657.5497,1207.125
1547.9647,1237.1875
884.0769,830.3125
973.72205,791.1875
584.57874,476.625
395.32666,224.28125
381.76843,348.6875
383.88666,269.75
380.0359,255.81262
428.185,208.1875
159.5957,116.0
349.90167,236.1875
146.76099,108.25
161.08179,183.4375
433.4702,102.0
162.29626,273.25
668.63416,459.18756
285.5974,498.43756
44.581055,260.0
259.23474,269.75
723.28284,290.75
409.578,283.75
318.8026,421.43756
355.20886,436.8125
233.3623,206.1875
288.48218,276.0625
142.63245,475.25006
113.0896,929.5625
144.42041,90.06262
416.15204,218.375
213.55786,22.34375
129.64612,85.25012
381.99243,568.9375
462.27875,1080.625
1150.7764,1762.8125
2519.0093,2719.75
2081.7656,1762.8125
2042.9246,1732.75
2048.503,2018.625
2866.211,2997.9375
2792.1367,3092.2812
2125.7246,2353.9688
1637.4392,939.375
401.17297,865.28125
512.90356,457.8125
579.48975,518.625
520.18024,316.5625
333.34204,220.81262
333.28113,187.3125
290.70325,299.8125
378.24585,340.375
247.36621,464.06256
347.90637,311.6875
674.0751,696.875
577.7567,437.5
729.1882,575.87506
664.2471,675.0
566.2664,743.00006
832.86206,501.8125
229.7594,139.75
726.5786,1760.75
1861.4556,1451.0625
855.9786,988.3125
962.5729,168.09375
270.77808,0.34375
303.22656,292.875
258.87097,292.8125
314.98083,210.3125
286.7838,308.1875
580.2437,1010.0
714.57074,420.75
341.5799,496.25006
538.5307,566.125
721.419,652.06256
752.69385,594.75006
687.6732,629.75
807.8573,730.375
557.195,682.93756
1193.2532,1248.375
1244.969,1311.9375
798.6847,534.68756
320.8772,180.9375
258.96765,223.625
440.90997,202.00012
70.33826,0.0
41.66504,0.0
46.429688,0.0
46.463257,0.0
23.126587,4.125
20.259277,1.71875
667.1622,591.65625
741.78235,763.93756
983.71497,3516.625
1756.9226,2203.1875
1218.6586,1036.5625
1693.9518,1873.25
1717.4342,1952.25
1943.3903,1953.6875
1780.694,1877.4375
2081.621,1906.0625
1693.5242,2093.4375
2207.7832,2007.5
1559.051,1469.25
1743.3479,1760.0625
2598.6733,1130.25
1101.563,1123.9375
1788.9595,1769.125
1841.8644,1705.5
1886.9597,2091.3125
1583.1447,1439.1875
1248.96,1585.9375
1737.1958,1402.8125
1410.1332,1510.8438
1236.3093,1062.4688
2013.7832,2457.625
2319.0671,2247.9375
1972.4878,1734.6875
1756.6157,1213.4375
1493.011,1292.75
1750.4747,2220.2812
2273.386,2329.3125
1799.8289,1950.1562
1873.523,1686.9688
5141.9185,4630.8125
1234.7783,988.3125
2640.4077,1919.375
1040.8575,339.0
657.67114,264.8125
658.95715,497.9375
807.26483,473.12506
635.47656,423.9063
531.0471,497.62506
1592.5598,2786.1875
1069.1288,1503.5
2074.0037,1579.0
1734.512,1013.5
1089.3558,979.9375
1273.6835,638.25
1315.8943,1222.5
830.643,759.75
1980.3407,2548.875
773.4717,320.40625
677.4632,760.40625
914.6193,1592.25
3493.205,2533.8125
2729.039,3585.75
3288.962,4727.25
1557.124,1393.0625
1706.8239,2770.8125
2809.1885,2487.0
2623.7993,4011.5
5068.0737,2434.125
5373.9307,4851.6875
6192.3022,6222.4375
4135.634,4938.375
4261.5713,3630.5625
2482.9265,2705.0625
1580.9823,2618.4375
4706.753,3454.375
5250.6235,6249.6875
5295.4355,5030.0
1947.0437,3026.625
8188.8677,7161.1875
6325.316,4418.3438
999.90985,460.21875
689.32556,257.875
795.46045,610.87506
972.2031,551.43756
747.5282,627.25006
717.7185,350.8125
2157.4443,1077.8125
1670.1694,2367.7812
4961.086,5435.6875
2920.747,1820.125
7338.61,9130.3125
5962.4805,7778.4375
5930.376,6945.1875
4747.7075,4741.9375
3972.2354,6599.8438
5142.3916,6216.875
3999.0767,6218.8125
5150.006,4470.0625
2479.8096,1758.625
2680.0896,1725.0625
3718.1924,3371.875
3951.6084,2156.375
3354.8076,4177.875
1439.8712,1372.8125
1936.2966,2008.8125
1351.7894,2550.9062
1247.2686,1176.375
1157.5078,754.125
1069.396,1118.3125
222.46863,414.62506
1983.8429,2062.0
1457.3862,1390.25
2881.4182,1859.9375
1561.4708,2225.9375
3596.6064,3172.375
5257.8584,6582.7188
6378.77,7199.625
2048.4375,3346.0625
3828.5723,2695.9375
4959.6255,7569.375
6089.8657,4035.5
4097.7217,5033.4062
3887.088,2034.3438
1960.03,2182.875
4702.467,3731.9375
3609.2734,3664.125
