preds,trues
419.82,283.75
761.3381,645.4375
412.2459,376.75006
383.50403,378.8125
681.9672,1130.9375
771.4203,799.5625
447.3615,534.0
439.23273,379.50006
617.92584,592.00006
760.69666,659.125
696.9864,142.84375
1527.8461,839.06256
546.7515,647.875
1736.4243,1789.375
1156.8893,1184.9375
1325.2571,1350.4062
1464.2715,1691.5
1381.3303,1707.625
1179.2667,899.5625
912.2556,1068.6875
972.3116,977.8125
1247.4626,2125.9688
2641.3142,2930.1875
2329.1675,2385.625
2173.6123,2436.6875
2424.4248,2013.4375
2349.5386,2151.5
1037.1398,1686.625
1492.3824,1177.75
1072.5017,1502.8125
322.9508,249.15625
396.50043,481.5
707.2458,424.9375
603.80786,429.62506
1378.0713,1171.4375
497.11102,489.25006
1393.754,1577.9688
1256.8514,767.43756
717.8779,873.6875
741.8381,616.4375
415.10675,348.75006
330.0105,284.125
344.85614,297.0
211.60974,272.5625
324.37573,273.9375
337.8058,359.59375
405.07153,399.0625
601.0313,1173.5625
1053.3961,957.5625
465.5332,640.9375
391.61182,472.06256
816.60706,690.50006
414.96582,0.6876221
866.1803,715.00006
1156.1521,1280.5
886.72,452.25006
790.81287,1632.125
2059.371,1773.3125
649.71606,1143.5
1426.78,769.87506
1224.0343,1564.3125
936.6732,1243.5
1156.3074,807.31256
105.03223,27.9375
164.35596,137.625
117.66516,179.5625
55.47107,0.34375
10.08667,0.0
28.452148,0.0
34.891235,0.0
18.62732,0.0
8.822876,10.8125
14.558228,0.0
194.25171,532.56256
444.41492,388.25006
203.41406,31.375122
6345.241,6763.4375
4282.777,3473.25
5061.802,7457.625
4897.204,4418.625
3986.2124,2997.25
5365.1,3729.125
3792.4092,3511.6875
2850.4487,3313.9062
3046.3286,3160.4688
3242.2722,2814.125
2097.8042,2477.875
1717.0002,2132.25
2892.7598,2869.375
2572.6575,1985.125
835.3687,1777.0938
992.9767,1808.9375
879.78296,1088.9375
444.18604,227.125
285.9878,231.3125
567.259,525.56256
268.70935,191.4375
396.4084,294.875
259.25818,412.37506
966.28394,503.25006
851.3769,1126.75
291.83325,289.3125
260.98376,214.5
170.4397,189.3125
260.91565,180.25
208.23926,140.4375
