preds,trues
1001.3318,789.125
2549.9478,1525.125
1938.7236,1202.1875
900.98206,1490.875
4292.9233,5102.625
2291.6475,2252.1875
2689.0952,3202.75
1976.0186,1256.0625
973.81555,824.0625
1711.1449,1890.6875
297.85876,742.9375
849.59686,477.625
781.12787,858.3125
1096.4081,1477.625
1607.0226,2345.0625
1485.1511,1409.875
1583.1245,1055.375
757.86334,443.8125
533.5198,516.5
631.78186,789.81256
1351.6338,1032.625
1042.3088,1168.0
1360.9733,1672.6875
738.3614,594.8125
879.91235,903.0625
515.5921,637.4375
912.0774,868.09375
1755.5125,1459.125
664.4409,710.84375
664.47784,586.4063
474.36743,503.25006
480.88867,530.84375
581.8976,437.875
642.95886,856.9375
472.23877,398.75
590.96344,565.46875
941.0419,1120.375
1119.1996,971.5
155.40637,185.125
191.32837,895.25
829.0298,847.84375
574.454,396.65625
758.88165,1520.2188
713.697,688.4375
966.7472,1241.75
1130.1587,874.40625
576.92755,452.5625
433.8886,278.15637
544.9188,505.6563
462.97186,348.37506
1019.1607,781.375
298.28015,407.40625
710.9425,696.8125
509.2932,554.25
341.63837,408.12506
734.4095,694.75
486.34686,376.0
529.153,704.50006
988.0281,1332.25
1181.4838,1170.0625
1560.5319,2082.25
557.60535,360.62506
710.79785,915.625
726.0109,981.3125
1312.8218,1295.9375
481.2732,384.37506
1063.1475,916.3125
1317.6646,1400.0625
3094.8682,2448.2188
3258.5837,3057.0312
3414.6694,3588.9688
3223.0903,5171.875
1662.9612,1558.6875
2010.9636,2433.625
1980.5519,1536.6562
930.3717,888.3125
1271.2803,1377.0
1334.3284,1490.1875
1124.2183,1174.9375
1215.2074,929.625
784.0377,942.875
1280.799,1215.75
896.4747,1313.375
414.64508,408.12506
540.04504,503.18756
910.8251,1169.375
1050.482,947.75
664.4187,794.0
909.05554,945.0
1004.1344,1020.4375
915.6604,453.75006
686.7063,1130.1875
726.2009,452.18756
675.3192,784.25
650.72003,840.8125
1236.6455,1187.5625
845.6491,891.875
1113.8783,1290.3125
1494.7627,1546.125
882.9562,1077.8125
316.06372,386.50006
1625.6858,1616.0
1281.9319,1300.75
1708.3555,1638.4375
1605.4067,1925.6875
2132.3682,1989.3125
637.5476,596.87506
1563.1776,1165.125
1114.2435,1004.40625
1024.1238,1091.8125
1184.9618,877.34375
400.6001,533.21875
564.2893,606.2813
587.1601,566.84375
417.85144,96.40625
100.85791,17.0625
387.45868,274.96887
742.17236,255.0625
825.0955,849.4375
1351.0927,1531.4375
1295.4606,1323.875
1279.6794,1435.0
1196.792,1490.1875
1136.2611,1141.375
824.4832,1090.375
405.01917,378.75
629.7677,698.25
235.06323,199.1875
1086.7878,1047.7188
340.31567,523.46875
237.94714,219.0625
793.54224,468.96875
603.33307,840.8125
396.52167,348.0
361.33484,455.6875
534.4479,578.00006
176.5039,239.0
172.2771,309.0
178.7981,156.5
189.68433,133.4375
359.1549,441.0
314.69617,308.9375
145.90881,46.03125
73.66223,12.562622
415.0094,256.8125
332.01587,326.375
148.9231,149.5625
424.16132,409.56256
414.64734,413.7813
250.31055,169.40637
113.80725,91.18762
203.48877,427.75
118.35278,144.75
74.173584,110.375
43.814697,81.6875
96.99182,238.3125
114.79773,142.875
62.606934,78.875
126.78992,91.5
209.69128,190.0625
95.98364,75.4375
123.28137,133.4375
45.75476,25.0625
44.81201,63.5625
54.032227,55.125122
16.792603,35.5625
72.69824,58.625
179.15466,37.6875
171.37439,60.000122
236.98145,195.00012
195.18872,121.0625
313.90186,452.18756
600.6512,706.62506
623.1031,327.0625
1661.0336,1207.125
1551.4644,1237.1875
877.4723,830.3125
962.5908,791.1875
568.311,476.625
372.64343,224.28125
354.9289,348.6875
357.74878,269.75
356.31915,255.81262
410.10376,208.1875
146.04285,116.0
339.72467,236.1875
137.40613,108.25
152.8313,183.4375
425.02625,102.0
154.71997,273.25
662.748,459.18756
279.8014,498.43756
38.2865,260.0
251.90234,269.75
717.41,290.75
402.11633,283.75
310.7787,421.43756
346.5553,436.8125
224.34912,206.1875
278.26147,276.0625
131.12854,475.25006
102.795166,929.5625
134.20312,90.06262
407.59937,218.375
205.16138,22.34375
121.66272,85.25012
373.70746,568.9375
453.73865,1080.625
1145.4181,1762.8125
2530.7385,2719.75
2083.011,1762.8125
2041.026,1732.75
2037.9783,2018.625
2859.9224,2997.9375
2772.5244,3092.2812
2093.0447,2353.9688
1595.8009,939.375
344.17224,865.28125
457.09137,457.8125
521.2217,518.625
467.23608,316.5625
287.55798,220.81262
302.708,187.3125
268.46204,299.8125
364.63348,340.375
234.25073,464.06256
340.62152,311.6875
667.63336,696.875
570.9559,437.5
721.36957,575.87506
654.1288,675.0
553.79297,743.00006
820.32355,501.8125
213.22668,139.75
713.85645,1760.75
1855.3124,1451.0625
843.40564,988.3125
949.6969,168.09375
254.0326,0.34375
283.72388,292.875
232.02258,292.8125
292.18164,210.3125
267.30737,308.1875
567.02997,1010.0
706.5951,420.75
334.89484,496.25006
530.7786,566.125
713.2892,652.06256
742.2687,594.75006
674.38336,629.75
795.6923,730.375
540.01654,682.93756
1180.3547,1248.375
1231.0187,1311.9375
782.2132,534.68756
301.46448,180.9375
237.6394,223.625
418.29608,202.00012
44.800537,0.0
21.312134,0.0
31.629639,0.0
35.343872,0.0
16.184082,4.125
15.875244,1.71875
665.9527,591.65625
740.5225,763.93756
983.9894,3516.625
1761.824,2203.1875
1216.3453,1036.5625
1691.3981,1873.25
1705.0454,1952.25
1923.0264,1953.6875
1751.2496,1877.4375
2055.337,1906.0625
1663.0557,2093.4375
2182.8208,2007.5
1527.364,1469.25
1710.6866,1760.0625
2576.364,1130.25
1062.6207,1123.9375
1757.1882,1769.125
1812.2609,1705.5
1860.9741,2091.3125
1554.2933,1439.1875
1218.8364,1585.9375
1710.238,1402.8125
1373.3977,1510.8438
1202.3135,1062.4688
1987.9382,2457.625
2295.87,2247.9375
1948.2524,1734.6875
1729.5756,1213.4375
1464.3284,1292.75
1721.9658,2220.2812
2245.1562,2329.3125
1770.9595,1950.1562
1845.1624,1686.9688
5073.008,4630.8125
1091.4628,988.3125
2531.752,1919.375
903.3063,339.0
545.3065,264.8125
573.98724,497.9375
752.3473,473.12506
597.14,423.9063
500.98828,497.62506
1586.7393,2786.1875
1055.6697,1503.5
2071.386,1579.0
1728.9205,1013.5
1073.563,979.9375
1250.3867,638.25
1286.9388,1222.5
798.36566,759.75
1959.3762,2548.875
745.8202,320.40625
652.32654,760.40625
889.65826,1592.25
3489.688,2533.8125
2723.704,3585.75
3290.5977,4727.25
1539.79,1393.0625
1680.5513,2770.8125
2783.7334,2487.0
