preds,trues
240.7843,153.6875
3775.8022,3538.3125
2720.018,2256.3125
2041.8015,1713.875
3931.2515,4362.4375
2358.2734,2806.4375
3952.498,4529.5
3444.8481,5487.8125
3517.2808,4783.5
4049.5806,3658.5
1718.8922,1501.375
2590.9575,2961.5625
1930.5138,3603.3125
2492.7798,1897.0
3406.1558,2935.75
4146.804,3520.75
2583.8154,2642.8125
2221.4062,1378.375
2951.203,2584.125
2613.087,2456.9375
2306.2666,2706.5
2025.2201,1121.8125
1841.6482,2373.75
2224.7761,2080.875
1550.5038,1795.0
1557.5618,1651.6875
1581.9598,1636.3125
1405.4082,940.125
649.5421,672.375
1510.1873,892.5625
800.4481,660.5
476.79053,596.87506
617.1166,340.375
412.06543,380.875
310.62878,264.875
431.1405,422.8125
1074.4738,713.62506
1237.9719,1585.9375
1277.9987,1076.375
673.12146,542.56256
981.79944,789.81256
772.1909,814.25006
771.63635,747.875
1059.3976,1260.875
1099.8323,1216.25
922.32874,713.62506
1296.1504,1429.375
1285.8846,1261.625
1056.2747,840.12506
349.7608,885.5625
95.53528,0.0
622.7263,397.0
151.45325,1838.3125
181.73303,303.3125
328.65894,299.125
415.74585,448.75
653.1877,237.625
724.85077,451.5
274.11,299.8125
227.82336,222.25
161.49805,113.875
117.426025,104.8125
162.43152,205.4375
132.98914,407.50006
344.59674,464.06256
197.72827,150.87512
181.76282,157.87512
134.08032,95.0
200.66772,106.18762
432.60675,277.4375
126.80713,2.0625
171.30798,212.4375
261.9795,113.18762
381.58234,596.9375
178.7323,223.50012
147.14331,204.75012
336.78888,117.375
303.45825,266.96875
371.82404,107.625
429.14557,269.75
187.51782,252.9375
365.46222,330.56256
363.25665,321.50012
315.01123,278.875
310.2942,283.40625
315.44226,264.125
208.39636,290.0
135.7633,37.6875
60.027344,137.0
137.72412,130.625
82.31543,133.40637
96.19556,123.6875
81.450806,135.5625
116.73511,124.3125
170.6593,62.125122
193.84888,118.06262
277.0985,454.93756
212.04065,124.3125
72.121216,41.875
74.81445,66.37512
98.11157,99.25012
90.04126,29.312622
102.54895,93.625
71.358765,77.5
102.89465,68.4375
71.901,20.53125
161.63635,131.25
74.46057,101.31262
77.45715,127.875
93.5116,136.93762
83.18152,44.0
52.7489,32.75
29.788696,32.0625
40.918335,41.125122
64.72302,50.250122
65.44043,39.0625
133.66113,104.40625
126.09424,132.75
149.24915,147.4375
142.3601,130.28125
152.43188,147.40637
164.06677,201.9375
125.6637,120.125
69.123535,51.6875
169.87756,121.5625
87.12915,113.18762
123.00879,61.500122
134.52673,89.4375
163.37805,104.4375
108.55786,163.5
124.621216,185.87512
100.38806,93.625
121.37451,94.31262
74.08093,33.500122
43.73987,155.125
35.99231,69.1875
45.38623,43.9375
34.872925,59.03125
52.07483,26.15625
44.74524,57.65625
74.47754,77.5625
76.37988,85.25012
22.592651,153.00012
109.513306,143.59387
228.10815,235.15637
17.217163,196.4375
128.4331,135.25012
253.4613,52.3125
60.605347,44.625
62.19934,51.656372
117.600464,74.75
91.88989,58.0
68.24866,62.1875
51.32776,81.0
16.916016,76.8125
280.09265,130.6875
210.4674,25.437622
96.36902,190.0625
121.54004,153.6875
66.354126,39.0625
54.41736,100.625
144.6405,219.4375
161.6377,122.93762
169.6814,192.625
361.4568,90.75
427.23083,353.62506
177.36389,173.25
160.19751,118.06262
64.18091,34.1875
43.74829,55.843872
47.44641,129.25
93.95264,204.75012
181.04626,123.0625
101.86572,109.6875
121.621826,113.18762
71.72278,143.5625
74.29529,81.0
191.41882,81.8125
59.38391,90.8125
50.573242,27.9375
46.32788,35.625
35.572266,24.03125
55.492554,50.21875
35.81006,18.125
30.348145,20.875
24.72705,20.9375
36.435303,32.0625
53.517212,41.1875
58.983154,80.3125
88.73901,48.1875
41.4917,18.125
49.49182,38.437622
1873.8882,2483.5625
3129.4277,3296.4375
974.7189,793.31256
1481.1528,963.4375
246.47229,260.62512
1738.0499,1077.125
967.2665,1303.5625
987.53015,653.5
1706.1597,963.875
2613.158,2378.625
1676.2595,1591.5625
792.4215,911.4375
388.16364,422.12506
383.42908,1272.8125
606.5438,709.4375
408.6172,1014.875
765.7545,603.25
1248.9722,575.53125
715.84576,731.5
953.51807,1728.5312
1297.3335,1001.625
774.37054,347.375
366.8581,395.62506
305.85522,221.5
530.01953,464.06256
436.6626,534.0
570.42145,498.3125
242.71338,427.00006
288.6183,880.6875
1633.8975,1239.6562
401.943,773.0
1326.2745,1362.25
233.62158,323.62512
201.36975,610.125
306.99683,398.37506
200.09412,48.875
491.01538,404.625
327.1261,1223.9062
1038.7538,831.75006
585.0671,267.68762
161.3606,605.25006
526.4365,136.25
147.45251,141.125
563.00104,976.5
1126.7128,1009.3125
889.1469,1320.3125
108.13733,0.0
41.15674,0.0
43.65222,0.0
231.2644,1052.5938
1166.9576,1062.375
826.30396,999.5
874.72675,840.12506
1051.3079,1567.0625
1164.9003,1168.6875
1002.9186,1342.0
1671.337,1685.875
636.4933,691.9375
1245.8943,1012.8125
753.5603,563.5625
518.4156,961.375
859.11487,997.03125
648.81464,794.0
758.01514,928.25
823.049,427.6875
706.36743,600.37506
280.28528,0.0
617.14575,982.0625
1303.3497,1247.625
1062.931,1494.0625
880.4335,830.75
137.72437,0.34375
885.4426,685.68756
438.0498,680.75
433.98962,1157.5
1040.2834,1282.625
538.40607,824.75006
961.43445,1021.875
1035.3976,1297.2812
1269.4946,1503.0938
450.71765,917.75
435.1427,373.25
536.99005,194.9375
379.903,476.0
240.68335,153.00012
204.06665,307.50012
192.87708,180.3125
221.30432,198.4375
275.71326,442.43756
540.8294,516.1563
408.21814,582.53125
686.2294,1091.8125
727.39075,782.125
573.33026,641.56256
588.6376,604.5625
742.3251,664.0
426.1858,355.0625
428.84827,409.21875
416.78094,431.18756
641.9918,529.75
388.26855,385.8125
449.2141,371.8125
463.74878,399.75
287.65686,109.375
195.73901,154.09375
140.95374,89.71875
253.2102,259.3125
186.05066,100.5625
197.1134,135.5
202.23462,203.375
194.99536,116.0
201.52502,160.34387
20.169922,6.187622
499.95868,536.75
414.11407,676.5625
482.6667,385.8125
524.2859,328.43762
332.1825,4.125
104.671265,622.68756
1019.9342,1151.1875
715.4979,968.0
300.73877,198.4375
287.47803,20.1875
341.3673,371.8125
251.41504,11.15625
289.83618,317.3125
257.1742,316.5625
424.87433,632.5
473.21692,727.62506
93.96289,198.4375
135.01306,164.1875
154.79785,167.6875
83.70325,95.75
406.20526,186.93762
366.25745,384.0625
311.28345,408.875
363.80017,374.9375
491.05817,405.37506
393.04993,404.75006
301.96423,421.43756
482.16992,366.25
