preds,trues
163.8667,167.00012
133.44092,170.5
212.11902,202.625
29.825073,223.625
244.9021,138.3125
147.32263,215.875
130.64844,83.12512
163.90833,164.87512
153.25171,106.18762
847.2508,685.3125
782.10767,437.15625
639.5272,473.15625
447.36218,357.0938
782.0482,1154.375
578.9676,962.78125
1326.4071,1802.3125
479.22656,622.75
564.2502,455.6875
345.35345,363.43756
360.1291,293.50012
701.107,1033.75
342.59558,383.0
333.6463,271.1875
348.91516,401.1875
447.7749,368.31256
383.12927,380.1875
1208.5497,1211.25
538.1293,1005.75
690.4796,1065.875
340.47473,388.56256
275.22083,192.125
331.05176,239.75
471.3794,438.9375
450.3604,321.50012
341.18512,359.25
517.9617,683.5625
742.88086,475.93756
392.31158,378.8125
306.38745,170.5
259.02588,269.75
354.21863,364.125
318.55457,391.37506
609.79443,443.06256
294.8451,243.93762
350.7406,290.75
471.1682,588.50006
719.6536,963.125
466.20654,863.875
587.7318,379.46875
581.8886,489.96875
599.90936,370.75
547.48376,964.1875
645.78143,378.50006
391.3697,437.875
450.6635,300.125
379.35895,455.31256
372.3805,608.8125
522.19574,443.06256
537.05963,571.87506
395.86,329.875
430.15753,327.0625
249.79736,357.8125
423.30615,448.0
588.325,1276.3125
499.97638,694.125
430.70496,473.875
499.12195,495.5
493.11676,1188.25
1255.4082,1092.5
1615.4779,1952.25
1351.5303,2113.6875
722.36,985.5
2217.835,1959.9375
792.1246,727.5625
1124.0664,1960.625
424.7845,513.03125
461.55463,508.78125
541.7129,1031.0
456.46033,460.21875
592.2844,1134.4062
294.8772,464.43756
597.5202,359.62506
435.77582,467.5625
442.58197,292.59375
449.3659,535.0313
388.41058,144.625
182.88708,184.4375
266.0647,808.6875
260.98804,406.75
557.2827,351.56256
483.56427,297.75012
556.3116,370.37506
246.41785,365.56256
380.7085,471.06256
879.0593,677.9375
388.22314,480.25006
435.51672,413.0625
307.2611,348.0625
424.04138,550.75
816.06586,559.875
275.797,332.0
440.60077,446.625
504.8963,470.37506
360.5338,304.75012
388.88037,498.3125
346.883,435.43756
333.5374,341.75006
208.85046,271.1875
424.25378,246.34375
306.07385,166.59375
156.62878,125.03125
187.00317,187.59375
472.38983,408.12506
573.27527,583.25
231.78052,473.875
820.6755,668.125
486.41852,606.6875
875.22156,1243.125
381.01465,443.8125
241.25366,283.75
391.80756,277.09387
360.5083,467.87506
302.4922,289.68762
320.54626,391.37506
315.2367,330.56256
712.0362,290.0625
280.588,333.375
266.3683,203.375
232.73645,284.4375
421.3343,234.125
487.01373,218.0625
366.65417,137.625
262.48975,270.4375
383.6609,327.8125
184.80334,303.625
266.29797,241.78125
400.2638,416.15625
560.008,555.625
423.7677,455.6875
285.97424,243.1875
248.42126,136.93762
263.46338,162.0625
318.9696,320.0625
188.02869,195.00012
223.72974,274.62512
370.5454,311.6875
116.065796,79.625
208.57263,590.5625
833.4201,705.9375
773.5265,700.3125
487.9112,433.31256
378.28857,388.56256
332.02502,320.75
610.1216,675.18756
682.3992,485.68756
638.4302,770.93756
375.2492,383.6875
326.5559,557.75
632.0765,606.625
647.2254,671.0
441.857,614.37506
753.486,734.5625
488.92133,583.625
754.5372,720.5625
1159.7532,993.9375
351.8888,251.21887
499.38818,695.8125
289.16833,259.25
342.5323,406.75
333.95117,384.37506
314.17468,350.87506
522.137,410.375
448.713,416.9063
421.44177,334.75006
416.82544,471.75
587.90466,399.8125
486.0362,775.875
536.149,536.37506
473.44806,437.5
872.70593,593.37506
504.0733,450.375
492.63562,380.25
640.0893,566.8125
1014.5464,1231.5625
708.72076,753.84375
498.3108,627.625
674.58624,732.50006
