preds,trues
190.57214,153.6875
71.87549,0.0
295.38123,267.68762
322.05408,178.5625
104.308105,71.28125
58.943237,0.0
96.61267,69.12512
797.918,507.4375
297.6117,218.75012
138.49963,240.375
152.42932,383.6875
164.34094,95.6875
58.482544,29.250122
37.705322,41.875
71.28931,37.0
69.6947,93.625
152.63342,204.0
428.6734,396.28125
318.11194,302.96875
206.70056,83.875
216.56396,285.37512
208.76855,155.125
129.09949,127.125
341.54755,236.1875
624.14087,537.43756
396.61945,606.6875
355.65552,481.5
386.81158,308.9375
115.09924,100.625
206.65881,160.00012
347.32574,206.87512
501.46558,408.1875
275.8772,299.125
82.738525,111.8125
132.83167,48.1875
25.855835,0.0
1699.4487,4191.8125
1767.6713,50.250122
118.17981,81.0625
90.78198,103.4375
78.58911,51.6875
23.448975,27.1875
95.87927,68.4375
127.57239,40.500122
89.313354,44.625
32.390503,1.375
41.29602,3.437622
46.00476,20.1875
12.182251,0.0
10.38208,0.0
72.61096,51.6875
89.62048,9.6875
69.57532,18.8125
14.834717,2.40625
90.15112,39.875
75.79358,83.9375
67.532104,44.625
39.245483,9.75
15.271484,0.0
11.220581,1.0
8.637939,0.0
9.710449,0.0
8.850708,0.0
10.674194,0.0
9.433594,0.0
8.899902,0.0
8.543091,0.0
8.589111,0.0
8.627686,0.0
8.627441,0.0
15.89502,0.0
8.687622,0.0
8.950562,0.0
8.621826,0.0
8.617676,0.0
8.572876,0.0
8.660645,0.0
52.401855,72.31262
24.320312,28.625
76.98401,113.875
150.24951,153.00012
203.2887,90.06262
97.694336,103.375
98.02869,95.6875
120.80237,55.125122
44.534912,0.0
12.463623,0.125
14.626831,0.0
14.055176,0.0
10.462402,0.0
8.36438,0.0
12.849609,0.0
16.501709,7.59375
14.841919,6.9375
19.09668,5.000122
20.709717,5.1875
24.038574,38.718872
125.10547,203.8125
86.233154,69.56262
30.470093,95.50012
181.94336,255.0625
202.0249,267.0
116.2843,71.21875
20.169067,7.625
26.28357,11.125
58.08728,54.4375
32.998413,18.125
61.861084,25.125
36.46472,19.5
28.34961,19.562622
31.074707,18.125
52.234863,45.375122
106.33838,108.25
105.13818,96.4375
279.24768,220.81262
314.56335,212.4375
133.55078,60.75
162.49146,155.8125
325.0426,263.4375
295.0653,396.9375
505.56042,612.25006
496.98706,378.8125
431.25983,287.9375
229.67041,202.00012
214.84131,285.8125
226.2489,189.375
165.31934,95.75
62.524048,74.75
33.843872,0.0
19.272827,0.0
437.81134,317.9375
509.9555,747.125
409.22766,507.375
543.41644,778.1875
898.55554,343.125
650.0285,268.375
599.20953,548.625
614.64667,726.90625
647.0189,561.87506
661.78864,873.0
1276.9,1397.2812
553.48944,282.34375
184.08972,318.81262
214.29541,3.125
71.867676,0.0
22.574219,0.0
44.887573,11.125
70.94165,89.375
53.24878,0.0
14.803589,0.0
14.133301,0.0
9.644043,0.0
8.060791,0.0
9.102051,0.0
9.770508,0.0
9.959717,0.0
12.169434,0.0
8.490601,0.0
8.549316,0.0
8.502808,0.0
8.681519,0.0
8.90686,0.0
8.327148,0.0
8.437256,0.0
8.614746,0.0
8.619507,0.18762207
8.6345215,0.0
8.630737,0.0
8.628906,0.0
8.62915,0.0
8.626953,0.0
8.625977,0.0
8.62915,0.0
8.631836,0.0
8.627441,0.0
8.627319,0.0
8.639648,0.0
8.739746,0.0
8.618286,0.0
8.650024,0.0
8.66272,0.0
8.620117,0.0
8.630127,0.0
8.63855,0.0
8.627319,0.625
8.64624,0.0
8.608643,0.0
8.631592,0.0
8.627686,0.0
8.618774,0.0
8.625244,0.0
8.634888,0.0
8.639038,0.0
8.627686,0.0
8.627441,0.0
8.656128,0.0
8.650391,0.0
8.618286,0.0
8.626953,0.0
8.638672,0.0
8.634888,0.0
8.614502,0.0
8.622681,0.0
8.627441,0.0
8.627197,0.0
8.627808,0.0
8.627441,0.0
8.627686,0.0
8.627319,0.0
8.627319,0.0
8.627319,0.0
8.627686,0.0
8.775879,0.0
8.586182,0.0
8.587402,0.0
8.591675,0.0
8.638672,0.0
8.68335,0.0
8.548706,0.0
8.5802,0.0
8.627441,0.0
8.627319,0.0
8.627319,0.0
8.627319,0.0
8.627441,0.0
8.627319,0.0
8.627686,0.0
8.627441,0.0
8.627686,0.0
8.627319,0.0
8.615234,0.0
8.627319,0.0
8.629272,0.0
8.626221,0.0
8.626099,0.0
8.629272,0.0
8.627686,0.0
8.619873,0.0
8.627686,0.0
8.627197,0.0
8.627441,0.0
8.639648,0.0
8.742676,0.0
8.618286,0.0
8.651001,0.0
8.6640625,0.0
8.620117,0.0
8.629028,0.0
8.638306,0.0
8.627686,0.0
8.602539,0.0
8.630005,0.0
8.632202,0.0
8.628418,0.0
8.625,0.0
8.625732,0.0
8.632446,0.0625
8.627075,0.0
8.662109,0.0
8.624268,0.0
8.6345215,0.0
8.638184,0.0
8.624268,0.0
8.628418,0.0
8.635376,0.0
8.660278,0.0
8.642578,0.0
8.629028,0.0
8.632446,0.0
8.620728,0.0
8.629028,0.0
8.637573,0.0
8.618286,0.0
8.620728,0.0
8.627441,0.0
8.627319,0.0
8.627441,0.0
8.627686,0.0
8.627319,0.0
8.627319,0.0
8.627441,0.0
8.627441,0.0
8.627441,0.0
8.627441,0.21875
8.63623,0.0
8.64209,0.0
8.658325,0.0
8.623535,0.0
8.622803,0.0
8.617432,0.0
8.631958,0.0
8.645142,0.0
8.611572,0.0
8.617432,0.0
8.627319,0.0
8.627441,0.0
8.627319,0.0
8.627319,0.0
8.627441,0.0
8.627441,0.0
8.627441,0.0
8.627319,0.0
8.627441,0.0
8.627319,0.0
8.627441,0.0
8.627441,0.0
8.627686,0.6876221
8.647949,0.0
8.606445,0.0
8.633057,0.0
8.628296,0.0
8.618042,0.0
8.526367,0.0
8.645386,0.0
8.655884,0.0
8.633545,0.0
8.593262,0.0
8.625122,0.0
8.651245,0.0
8.605591,0.0
8.625488,0.0
8.625977,0.0
8.632568,0.0
8.621582,0.0
8.627686,0.0
8.629883,0.0
8.626953,0.0
9.131348,0.0
8.630493,0.0
8.635742,0.0
8.631592,0.0
8.629883,0.0
8.626587,0.0
8.62915,0.0
8.630737,0.0
8.627441,0.0
8.627441,0.0
8.628784,0.0
8.629883,0.0
8.626831,0.0
8.627441,0.0
8.628296,0.0
8.626953,0.0
8.626465,0.0
8.627197,0.0
8.627441,0.0
8.627441,0.0
8.627441,0.0
8.627441,0.0
8.627197,0.0
8.627075,0.0
8.627441,0.0
8.7717285,0.0
8.587891,0.0
8.588501,0.0
8.593262,0.0
8.638672,0.0
8.682007,0.0
8.551147,0.0
8.581909,0.0
8.627441,0.0
8.627686,0.0
8.627686,0.0
8.627319,0.0
8.627441,0.0
8.627441,0.0
8.627441,0.0
8.596924,0.0
8.630371,0.0
8.632568,0.0
8.628906,0.0
8.624512,0.0
8.625366,0.0
8.633789,0.0
10.745239,0.0
8.639648,0.0
9.165405,0.0
8.642334,0.0
8.651123,0.0
8.631836,0.0
8.627197,0.0
8.654785,0.0
8.626221,0.0
8.633911,0.0
8.627197,0.0
8.617432,0.0
8.611206,0.0
8.619995,0.0
8.61084,0.0
8.625488,0.0
8.656738,0.0
8.598145,0.0
8.57373,0.0
8.627441,0.0
8.627686,0.0
8.627686,0.0
8.627686,0.0
8.627319,0.0
8.627441,0.0
8.627197,0.0
8.627441,0.0
8.627686,0.0
8.627197,0.0
8.627319,0.0
8.627197,0.0
8.627686,0.0
8.627441,0.0
8.627441,0.0
11.901001,0.0
8.64624,0.0
8.661133,0.0
8.646484,0.0
8.654785,0.0
10.697632,0.0
8.632202,0.0
8.689453,0.0
8.639526,0.0
8.645142,0.0
8.628784,0.0
8.622803,0.0
8.653809,0.0
8.627441,0.0
8.627441,0.0
8.627441,0.0
8.627441,0.0
8.627441,0.0
8.627686,0.0
8.627319,0.0
8.627441,0.0
8.627441,0.0
8.627441,0.0
8.632568,0.0
8.656738,0.0
8.61731,0.0
8.646851,0.0
8.881714,0.0
9.170654,0.0
8.694214,0.0
8.700317,0.0
8.60437,0.0
8.636475,0.0
8.652344,0.0
8.628418,0.0
8.630371,0.0
8.627441,0.0
8.834717,0.0
8.630981,0.0
8.633301,0.0
8.629028,0.0
8.64502,0.0
8.620117,0.0
8.626831,0.0
8.620728,0.0
8.629028,0.0
8.633911,0.0
8.618286,0.0
8.621338,0.0
8.626953,0.0
8.627197,0.0
8.627441,0.0
8.627197,0.0
8.627686,0.0
8.627319,0.0
8.627319,0.0
8.627686,0.0
8.627441,0.0
8.627319,0.0
8.627441,0.0
8.627441,0.0
8.637573,0.0
8.720947,0.0
8.619751,0.0
8.646484,0.0
8.657349,0.0
8.62207,0.0
8.629028,0.0
8.636475,0.0
8.627686,0.0
8.627686,0.0
8.520386,0.0
8.637085,0.0
8.645264,0.0
8.633057,0.0
8.617676,0.0
8.622437,0.0
8.648315,0.0
9.06189,0.0
8.630127,1.8126221
8.706055,0.0
8.835815,0.0
8.605591,0.0
8.637939,0.0
8.63269,0.0
8.619141,0.0625
8.627319,0.0
8.631714,0.0
8.607788,0.0
8.630371,0.0
8.62207,0.0
8.622803,0.0
8.636597,0.0
8.613892,0.0
8.627441,0.0
8.629028,0.0
8.647949,0.0
8.625488,0.46887207
8.653809,0.0
8.694946,0.0
8.623657,0.0
8.536499,0.0
8.6571045,0.0
8.638184,0.0
8.640259,0.0
8.634277,0.0
8.622437,0.0
8.648315,0.0
8.602661,0.0
8.627319,0.0
8.627197,0.0
8.627441,0.0
8.627197,0.0
8.627441,0.0
8.627441,0.0
8.627441,0.0
8.627319,0.0
