preds,trues
275.70203,153.6875
3792.1377,3538.3125
2732.508,2256.3125
2075.543,1713.875
3948.7334,4362.4375
2399.4673,2806.4375
3975.123,4529.5
3474.38,5487.8125
3545.3496,4783.5
4071.334,3658.5
1778.8806,1501.375
2639.956,2961.5625
1999.9341,3603.3125
2555.7356,1897.0
3445.082,2935.75
4172.6885,3520.75
2619.9526,2642.8125
2262.9058,1378.375
2981.7295,2584.125
2655.065,2456.9375
2352.7288,2706.5
2074.5464,1121.8125
1889.2439,2373.75
2262.9854,2080.875
1596.0842,1795.0
1601.1509,1651.6875
1621.1382,1636.3125
1449.13,940.125
689.58887,672.375
1537.8074,892.5625
834.1552,660.5
510.805,596.87506
648.798,340.375
438.6137,380.875
332.5276,264.875
448.82806,422.8125
1085.6014,713.62506
1246.6635,1585.9375
1285.6343,1076.375
683.3741,542.56256
992.8932,789.81256
788.81116,814.25006
793.24695,747.875
1081.4146,1260.875
1120.1202,1216.25
944.0942,713.62506
1313.9907,1429.375
1302.562,1261.625
1076.2549,840.12506
376.7464,885.5625
122.28784,0.0
649.92413,397.0
178.8468,1838.3125
205.17859,303.3125
348.2154,299.125
431.20758,448.75
664.6891,237.625
736.25214,451.5
284.32007,299.8125
238.8274,222.25
177.31152,113.875
133.06555,104.8125
175.58704,205.4375
145.46985,407.50006
354.90845,464.06256
206.9126,150.87512
189.07825,157.87512
141.31482,95.0
209.08862,106.18762
441.55774,277.4375
134.76599,2.0625
179.37524,212.4375
268.4347,113.18762
392.04932,596.9375
190.32642,223.50012
160.28894,204.75012
348.89008,117.375
318.07397,266.96875
384.56458,107.625
438.64496,269.75
196.04578,252.9375
372.80225,330.56256
370.0854,321.50012
322.5111,278.875
317.48193,283.40625
323.51965,264.125
216.25647,290.0
144.62476,37.6875
68.64197,137.0
146.3656,130.625
90.474,133.40637
103.7511,123.6875
87.56738,135.5625
121.992065,124.3125
175.97144,62.125122
198.64526,118.06262
281.8943,454.93756
217.08948,124.3125
77.48682,41.875
81.18396,66.37512
104.54785,99.25012
97.3219,29.312622
108.06018,93.625
76.114746,77.5
107.381714,68.4375
75.97473,20.53125
165.49731,131.25
78.44751,101.31262
81.795166,127.875
97.64209,136.93762
87.181885,44.0
57.216797,32.75
34.00183,32.0625
44.920654,41.125122
68.82666,50.250122
69.420166,39.0625
137.2168,104.40625
129.5072,132.75
152.27637,147.4375
145.67212,130.28125
155.9021,147.40637
167.90369,201.9375
130.18701,120.125
74.132324,51.6875
175.10657,121.5625
92.64404,113.18762
128.44092,61.500122
139.75671,89.4375
167.90991,104.4375
113.16211,163.5
129.0747,185.87512
104.68823,93.625
125.9707,94.31262
78.71155,33.500122
48.744995,155.125
41.323975,69.1875
49.996704,43.9375
39.376343,59.03125
56.169067,26.15625
49.034546,57.65625
78.78772,77.5625
80.25903,85.25012
26.45874,153.00012
112.6488,143.59387
231.19336,235.15637
