preds,trues
170.1731,167.00012
139.6206,170.5
217.7201,202.625
35.779175,223.625
250.11377,138.3125
152.9375,215.875
136.3999,83.12512
169.86047,164.87512
158.98596,106.18762
861.9563,685.3125
795.14075,437.15625
651.12714,473.15625
461.90686,357.0938
794.7156,1154.375
595.24756,962.78125
1329.129,1802.3125
493.68506,622.75
578.72864,455.6875
364.4076,363.43756
380.40112,293.50012
721.43805,1033.75
364.28217,383.0
351.42914,271.1875
365.85748,401.1875
460.83514,368.31256
396.4405,380.1875
1216.631,1211.25
547.6851,1005.75
701.00824,1065.875
354.28436,388.56256
287.61572,192.125
347.23773,239.75
487.7027,438.9375
465.84753,321.50012
357.00403,359.25
529.78955,683.5625
752.83014,475.93756
402.2143,378.8125
317.29504,170.5
271.13562,269.75
368.0329,364.125
332.8048,391.37506
620.78326,443.06256
305.23132,243.93762
359.6322,290.75
480.0556,588.50006
727.699,963.125
475.90338,863.875
598.0454,379.46875
591.91064,489.96875
611.66516,370.75
561.52704,964.1875
661.0839,378.50006
406.4641,437.875
466.48395,300.125
394.7135,455.31256
387.43646,608.8125
536.24817,443.06256
548.9254,571.87506
408.44403,329.875
441.26544,327.0625
262.94238,357.8125
435.86682,448.0
599.70996,1276.3125
511.47913,694.125
440.41827,473.875
510.0987,495.5
504.6897,1188.25
1265.6614,1092.5
1621.4393,1952.25
1360.0139,2113.6875
738.86676,985.5
2226.7075,1959.9375
814.15155,727.5625
1146.9137,1960.625
439.51703,513.03125
477.4392,508.78125
556.46295,1031.0
472.29382,460.21875
607.2758,1134.4062
309.12866,464.43756
610.7264,359.62506
448.91327,467.5625
454.40802,292.59375
462.59772,535.0313
403.65002,144.625
198.0426,184.4375
282.85693,808.6875
274.07104,406.75
568.128,351.56256
492.64624,297.75012
563.28217,370.37506
255.58044,365.56256
390.3853,471.06256
887.164,677.9375
400.14087,480.25006
445.90424,413.0625
318.56335,348.0625
434.7495,550.75
826.988,559.875
289.3003,332.0
452.37085,446.625
516.30273,470.37506
372.52557,304.75012
401.69464,498.3125
360.19867,435.43756
344.85748,341.75006
221.78638,271.1875
434.80505,246.34375
317.80652,166.59375
167.70496,125.03125
197.65942,187.59375
481.3448,408.12506
580.2977,583.25
239.6521,473.875
826.0556,668.125
494.1172,606.6875
881.7888,1243.125
392.55914,443.8125
252.24695,283.75
404.86218,277.09387
373.64758,467.87506
315.922,289.68762
333.8357,391.37506
326.00317,330.56256
721.1212,290.0625
290.5464,333.375
276.82703,203.375
244.18518,284.4375
432.40875,234.125
497.06262,218.0625
377.52496,137.625
272.64868,270.4375
392.49158,327.8125
194.19763,303.625
274.53784,241.78125
407.7779,416.15625
566.83185,555.625
431.1767,455.6875
293.9209,243.1875
257.41113,136.93762
273.00708,162.0625
329.9812,320.0625
199.4419,195.00012
234.5376,274.62512
380.15576,311.6875
125.194336,79.625
216.34607,590.5625
838.67554,705.9375
779.17615,700.3125
494.88837,433.31256
386.03552,388.56256
341.4757,320.75
622.2782,675.18756
695.19104,485.68756
651.18823,770.93756
388.68323,383.6875
338.51953,557.75
643.90967,606.625
659.4986,671.0
455.33844,614.37506
765.9483,734.5625
501.43115,583.625
767.73456,720.5625
1170.8777,993.9375
367.61383,251.21887
515.02875,695.8125
306.97986,259.25
360.10693,406.75
350.4281,384.37506
326.9508,350.87506
532.15955,410.375
457.43652,416.9063
430.63647,334.75006
427.25903,471.75
597.5717,399.8125
497.14154,775.875
547.38116,536.37506
484.5633,437.5
881.73804,593.37506
515.5001,450.375
504.2146,380.25
653.6032,566.8125
1024.9338,1231.5625
722.17303,753.84375
512.2518,627.625
689.0319,732.50006
