preds,trues
195.0564,153.6875
77.30322,0.0
300.08435,267.68762
327.4391,178.5625
109.95337,71.28125
65.09851,0.0
103.58057,69.12512
802.3121,507.4375
304.5072,218.75012
143.33533,240.375
158.72168,383.6875
169.73596,95.6875
66.20288,29.250122
46.807617,41.875
77.98413,37.0
77.23303,93.625
158.505,204.0
432.5583,396.28125
321.90967,302.96875
210.12146,83.875
220.94617,285.37512
214.85913,155.125
137.48767,127.125
349.49323,236.1875
630.57227,537.43756
402.47522,606.6875
361.661,481.5
393.3919,308.9375
123.73132,100.625
217.89807,160.00012
358.77655,206.87512
511.83154,408.1875
285.90662,299.125
91.53882,111.8125
141.0409,48.1875
34.059082,0.0
1697.4265,4191.8125
1768.7559,50.250122
123.24756,81.0625
100.83154,103.4375
90.65222,51.6875
46.64807,27.1875
124.601074,68.4375
139.3833,40.500122
104.676025,44.625
36.196777,1.375
44.748657,3.437622
49.36963,20.1875
15.541016,0.0
13.314453,0.0
75.632324,51.6875
92.30444,9.6875
72.410645,18.8125
17.469727,2.40625
92.784424,39.875
78.68872,83.9375
70.210205,44.625
42.09546,9.75
18.23706,0.0
14.4210205,1.0
11.899902,0.0
12.968384,0.0
11.74292,0.0
13.2265625,0.0
11.783325,0.0
11.040039,0.0
10.63855,0.0
10.692139,0.0
10.724243,0.0
10.724731,0.0
17.984375,0.0
10.784302,0.0
11.04834,0.0
10.728638,0.0
10.723511,0.0
10.688965,0.0
10.777222,0.0
54.444336,72.31262
26.444336,28.625
79.027954,113.875
152.29333,153.00012
205.19849,90.06262
100.33557,103.375
101.3407,95.6875
124.490845,55.125122
48.92334,0.0
17.118896,0.125
19.658936,0.0
19.13977,0.0
15.028809,0.0
11.906494,0.0
15.664429,0.0
18.728638,7.59375
16.928833,6.9375
21.194336,5.000122
22.816406,5.1875
26.190796,38.718872
127.175415,203.8125
88.462524,69.56262
32.712524,95.50012
184.32129,255.0625
204.6554,267.0
119.54468,71.21875
24.052612,7.625
30.601318,11.125
63.525024,54.4375
38.68799,18.125
66.73462,25.125
40.63037,19.5
31.591675,19.562622
33.92688,18.125
55.034424,45.375122
109.02649,108.25
107.930176,96.4375
281.4973,220.81262
316.98767,212.4375
136.41943,60.75
166.30786,155.8125
