preds,trues
374.92102,283.75
563.5798,645.4375
400.04578,376.75006
343.56714,378.8125
639.01337,1130.9375
670.3777,799.5625
436.15588,534.0
447.58875,379.50006
574.3814,592.00006
801.14197,659.125
688.0653,142.84375
1269.1874,839.06256
675.0427,647.875
1663.6106,1789.375
1288.0687,1184.9375
1418.2141,1350.4062
1317.428,1691.5
1533.279,1707.625
1180.1105,899.5625
836.1922,1068.6875
866.39417,977.8125
1344.9487,2125.9688
2347.3792,2930.1875
2318.7722,2385.625
2189.3062,2436.6875
2369.3635,2013.4375
2161.1707,2151.5
973.3457,1686.625
1422.982,1177.75
1056.4817,1502.8125
300.15515,249.15625
356.6364,481.5
603.45355,424.9375
505.6369,429.62506
1370.67,1171.4375
477.52527,489.25006
1247.9893,1577.9688
1204.9761,767.43756
682.57825,873.6875
852.281,616.4375
488.90247,348.75006
369.61743,284.125
391.91248,297.0
283.43298,272.5625
353.77948,273.9375
390.1972,359.59375
424.31696,399.0625
624.3622,1173.5625
1079.2925,957.5625
528.8126,640.9375
435.61194,472.06256
795.63403,690.50006
504.70795,0.6876221
819.7717,715.00006
1024.9153,1280.5
850.3616,452.25006
759.788,1632.125
2031.384,1773.3125
521.07446,1143.5
1280.1663,769.87506
1157.7471,1564.3125
954.3934,1243.5
1010.9487,807.31256
121.97278,27.9375
122.04956,137.625
86.82544,179.5625
83.35559,0.34375
84.58777,0.0
84.80969,0.0
84.84729,0.0
84.854126,0.0
78.91455,10.8125
93.85217,0.0
251.74695,532.56256
532.976,388.25006
305.69275,31.375122
6245.194,6763.4375
4481.802,3473.25
5086.114,7457.625
4989.4917,4418.625
4154.9243,2997.25
5499.2744,3729.125
3730.4268,3511.6875
2963.1968,3313.9062
3005.904,3160.4688
3163.5361,2814.125
2185.9226,2477.875
1663.1257,2132.25
2739.3965,2869.375
2583.4531,1985.125
898.69183,1777.0938
1071.196,1808.9375
925.0317,1088.9375
548.69403,227.125
305.13513,231.3125
594.5325,525.56256
317.82373,191.4375
369.5429,294.875
285.22107,412.37506
1003.8683,503.25006
848.873,1126.75
404.71344,289.3125
341.0451,214.5
215.85645,189.3125
234.87146,180.25
224.94421,140.4375
